n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,stop,tgt,policy,ctl_pts,ctl_pf,pf_ratio,edge,p_pts,excess_total
421,2.7812589073634206,50.70324170703343,1.12550321612476,6.924091683420347,1.1401587470688292,0.3515439429928741,0.24838461538461537,1170.91,0.09270863024544725,621.9999999999998,1.882491961414792,0.4610949351783533,0.0166270783847981,30.0,0.5961995249406176,0.18052256532066507,0.0,0.22327790973871733,0.0,False,30,100,flatten,-2.25913571325336,0.8924693119243672,1.2775327194280632,5.04039462061678,0.025,2122.0061352796647
422,2.776350710900473,50.587290616559166,1.1274288174325366,6.900067278445833,1.1404693822497978,0.34834123222748814,0.24838461538461537,1171.6199999999997,0.09254502369668238,621.9999999999998,1.8836334405144697,0.4625866874719811,0.016587677725118485,30.0,0.5829383886255924,0.18009478672985782,0.016587677725118485,0.22037914691943128,0.0,False,30,100,+chan10,-2.293978779840848,0.8880374371234596,1.2842582244550618,5.0703294907413206,0.02,2139.6790450928374
423,0.7927423167848693,46.67839205033745,0.3492901493996181,6.359366204427042,1.0445543107388473,0.2718676122931442,0.24838461538461537,335.3299999999997,0.026424743892828926,634.2300000000006,0.5287198650331889,0.14387353338359604,0.026004728132387706,15.0,0.6879432624113475,0.15130023640661938,0.0,0.1607565011820331,0.0,False,30,100,+be1R,-2.09943163631645,0.8793399908499319,1.1878844606273695,2.8921739531013193,0.115,1223.389582161858
445,2.979139286323325,40.38358952485242,1.5562017351978255,5.364052803357664,1.2237008736897836,0.35730337078651686,0.24838461538461537,1325.7169824138796,0.09930464287744409,500.96606535308126,2.6463209269065224,0.6372222049065155,0.033707865168539325,15.0,0.8179775280898877,0.1101123595505618,0.0,0.07191011235955057,0.0,False,30,100,+trail1atr,-1.8220239195327155,0.8722665567096171,1.4028978461651158,4.8011632058560405,0.01,2136.517626605938
418,3.75306220095694,59.33260362928779,1.2932440728856158,8.131551118279486,1.1814713619085737,0.3253588516746411,0.17938888888888888,1568.7800000000009,0.1251020733652312,721.3699999999999,2.174723096330595,0.5269583251636,0.0,30.0,0.6220095693779905,0.10047846889952153,0.0,0.27751196172248804,0.0,False,30,150,flatten,-1.3878235869127686,0.936128208567345,1.2620828547797989,5.140885787869708,0.035,2148.890259329538
419,3.67420047732697,59.19371456932515,1.2705573320356716,8.102829740847246,1.1783600730359989,0.3221957040572792,0.17938888888888888,1539.4900000000005,0.12247334924423221,755.37,2.0380608178773323,0.5183222311150458,0.0,30.0,0.6085918854415274,0.10023866348448687,0.021479713603818614,0.26968973747016706,0.0,False,30,150,+chan10,-1.7168285477962872,0.9183237259097223,1.283164138951845,5.391029025123257,0.035,2258.8411615266446
420,1.7266666666666672,53.82999144822365,0.6573684240531593,7.359830230617767,1.0964755558452723,0.24523809523809523,0.17938888888888888,725.2000000000003,0.057555555555555554,781.3700000000001,0.9281134417753435,0.2681483969087486,0.002380952380952381,30.0,0.7142857142857143,0.08333333333333333,0.0,0.20238095238095238,0.0,False,30,150,+be1R,-1.0808669402151871,0.9361322188305945,1.1712827886801898,2.8075336068818544,0.1,1179.1641148903789
443,4.329693994020188,45.932551900109694,1.9839854912943304,6.114864561499344,1.3254247327723794,0.35665914221218964,0.17938888888888888,1918.0544393509433,0.14432313313400616,610.8589320048998,3.1399302504355595,0.810233782109518,0.009029345372460496,15.0,0.8645598194130926,0.05417607223476298,0.0,0.08126410835214447,0.0,False,30,150,+trail1atr,-1.3665979423123593,0.9026034016946058,1.4684464187526232,5.696291936332547,0.0,2523.457327795318
418,3.1071291866028736,63.4923299537959,1.0005209501915302,8.701642858347569,1.1464105307181642,0.30861244019138756,0.1403913043478261,1298.780000000001,0.10357097288676231,868.74,1.4950157699656987,0.40461226337150097,0.0023923444976076554,30.0,0.638755980861244,0.05502392344497608,0.0,0.3062200956937799,0.0,False,30,200,flatten,-1.5119444632119423,0.9311617072407803,1.2311615928829478,4.6190736498148155,0.055,1930.772785622593
419,3.029809069212412,63.352117398795976,0.9789514138878438,8.672059605305197,1.143325516884771,0.3054892601431981,0.1403913043478261,1269.4900000000007,0.10099363564041361,902.7399999999999,1.4062631543966158,0.3962793617016586,0.002386634844868735,30.0,0.6252983293556086,0.05489260143198091,0.021479713603818614,0.29832935560859186,0.0,False,30,200,+chan10,-1.7295161290322558,0.9185916617433711,1.2446504409966919,4.759325198244667,0.06,1994.1572580645156
420,1.0266666666666668,56.483610805067705,0.37250461280500563,7.7226426226992055,1.0572417748136194,0.22857142857142856,0.1403913043478261,431.20000000000005,0.03422222222222222,978.7400000000005,0.44056644256901717,0.1499871686924293,0.002380952380952381,30.0,0.7309523809523809,0.04285714285714286,0.0,0.2261904761904762,0.0,False,30,200,+be1R,-1.1497364346939536,0.9350815675504303,1.1306412312063898,2.1764031013606204,0.24,914.0893025714606
443,4.380412004309969,47.643908234231226,1.9351268733463416,6.342692360450619,1.3292367562013085,0.35665914221218964,0.1403913043478261,1940.522517909316,0.1460137334769989,610.8589320048998,3.1767113751456955,0.7812216630587219,0.002257336343115124,15.0,0.8939051918735892,0.022573363431151242,0.0,0.0835214446952596,0.0,False,30,200,+trail1atr,-1.1652023997131562,0.9142661648112396,1.4538837893839638,5.545614404023125,0.005,2456.707180982244
418,1.8296172248803844,70.6152478955129,0.5297242967838628,9.677840898067355,1.0840709521108427,0.291866028708134,,764.7800000000007,0.060987240829346,973.9899999999992,0.7852031335023987,0.21534889278332178,0.0,30.0,0.6555023923444976,0.0,0.0,0.3444976076555024,0.0,False,30,none,flatten,-1.421230835320781,0.9359613288523164,1.1582433148601765,3.2508480602011653,0.16,1358.8544891640872
419,1.5405489260143213,70.21738237088118,0.44909463990022963,9.61182278116502,1.0710624412390928,0.28878281622911695,,645.4900000000006,0.051351630867143915,1007.9899999999989,0.6403734164029418,0.18275666361133236,0.0,30.0,0.6420047732696897,0.0,0.02386634844868735,0.3341288782816229,0.0,False,30,none,+chan10,-1.8497205560652024,0.9150788607633938,1.1704591671427875,3.390269482079524,0.17,1420.5229129913205
420,-0.3590476190476184,58.83890465297132,-0.12505818375496117,8.044666877160815,0.9800177561053177,0.21428571428571427,,-150.79999999999973,-0.011968253968253987,1216.989999999997,-0.123912275367916,-0.050782650397621636,0.0,30.0,0.7452380952380953,0.0,0.0,0.25476190476190474,0.0,False,30,none,+be1R,-1.1032464597981828,0.9381654834988639,1.0446107572092365,0.7441988407505644,0.405,312.5635131152371
443,4.48384106736094,49.01325824408373,1.9254777279116222,6.5249898706291445,1.3370106024016972,0.35665914221218964,,1986.3415928408965,0.1494613689120312,610.8589320048998,3.251718995614136,0.7767841078260465,0.0,15.0,0.9142212189616253,0.0,0.0,0.08577878103837472,0.0,False,30,none,+trail1atr,-0.9003119901775599,0.9361234163133579,1.4282418098962992,5.3841530575385,0.02,2385.1798044895554
403,4.449454094292804,63.152418535361136,1.4143902901182177,8.814660606278899,1.1770502972017616,0.45409429280397023,0.3486,1793.13,0.08898908188585607,797.9100000000005,2.2472835282174666,0.5784611944134089,0.01488833746898263,45.0,0.42431761786600497,0.23325062034739455,0.0,0.3424317617866005,0.0,False,50,100,flatten,-2.840860299921075,0.8967981020425473,1.312503109140075,7.290314394213879,0.01,2937.9967008681933
407,4.1694594594594605,62.6225120658784,1.3432179132963296,8.697639667963571,1.1669876257718519,0.44717444717444715,0.3486,1696.9700000000003,0.08338918918918917,775.910000000001,2.1870706654122234,0.550803045896789,0.014742014742014743,45.0,0.39803439803439805,0.23095823095823095,0.04668304668304668,0.32432432432432434,0.0,False,50,100,+chan10,-2.6356760400616333,0.8972200889726729,1.3006704153359583,6.805135499521094,0.01,2769.690148305085
404,2.3708910891089103,60.06345986633354,0.7933995347518724,8.373129225190146,1.1004457895382598,0.4034653465346535,0.3486,957.8399999999997,0.04741782178217822,1050.2899999999984,0.9119766921516925,0.3247137080481675,0.024752475247524754,45.0,0.48267326732673266,0.20544554455445543,0.0,0.3118811881188119,0.0,False,50,100,+be1R,-2.9492244042188824,0.8795543661773106,1.2511401589886706,5.320115493327792,0.02,2149.326659304428
440,4.39289652504709,44.28317703471774,2.0808392952263555,5.915351604239564,1.3133996350993895,0.3886363636363636,0.3486,1932.8744710207193,0.0878579305009418,313.0201401933764,6.174920469419749,0.8391149663462131,0.031818181818181815,15.0,0.7886363636363637,0.12954545454545455,0.0,0.08181818181818182,0.0,False,50,100,+trail1atr,-1.0041654048517556,0.9322515946881087,1.4088467561579194,5.397061929898845,0.0,2374.707249155492
400,6.260000000000002,73.23935080450717,1.7094635414531172,10.260833047711454,1.2362618543724953,0.4275,0.26145,2504.0000000000005,0.12520000000000003,1116.7900000000002,2.2421404203117863,0.7019104852384058,0.005,60.0,0.45,0.135,0.0,0.415,0.0,False,50,150,flatten,-1.871336587994219,0.933242549418142,1.3246951236238422,8.13133658799422,0.03,3252.5346351976877
404,5.885742574257429,72.67816343231208,1.6277511157615476,10.131678321936556,1.2236312713606687,0.4207920792079208,0.26145,2377.840000000001,0.11771485148514854,1128.7900000000006,2.10653886019543,0.6698052419123663,0.0049504950495049506,60.0,0.42326732673267325,0.13366336633663367,0.05198019801980198,0.3910891089108911,0.0,False,50,150,+chan10,-2.007006151528465,0.9258995484161081,1.3215594212718604,7.892748725785894,0.005,3188.670485217501
401,4.308503740648379,68.74151509645108,1.2551035578583911,9.618670432180263,1.1806591191180515,0.3690773067331671,0.26145,1727.71,0.08617007481296761,1090.7899999999993,1.5839070765225214,0.514618491543295,0.007481296758104738,45.0,0.516209476309227,0.12219451371571072,0.0,0.36159600997506236,0.0,False,50,150,+be1R,-1.5266455338647913,0.9341546965218219,1.2638796588124537,5.835149274513171,0.05,2339.8948590797813
438,6.089840452761127,50.82601551282881,2.5075921713460363,6.804827811963192,1.4324887965016277,0.3858447488584475,0.26145,2667.3501183093736,0.1217968090552225,416.496297105911,6.404258901805055,1.0235941974420688,0.0136986301369863,15.0,0.8401826484018264,0.0684931506849315,0.0,0.091324200913242,0.0,False,50,150,+trail1atr,-1.0366689815608248,0.9324352758748321,1.5362876475878007,7.126509434321951,0.0,3121.4111322330145
399,4.537067669172934,77.55984992750318,1.1684893123955948,10.87974316423922,1.1638904807559118,0.40601503759398494,0.20915999999999998,1810.2900000000009,0.09074135338345868,1296.9999999999998,1.395751734772553,0.4757008694258272,0.005012531328320802,60.0,0.47368421052631576,0.07268170426065163,0.0,0.45363408521303256,0.0,False,50,200,flatten,-1.6603104413702234,0.9423142580654293,1.2351404754772344,6.197378110543157,0.05,2472.7538661067197
403,4.178982630272955,76.97858399411166,1.089815978340139,10.744483071223794,1.1519948231887929,0.39950372208436724,0.20915999999999998,1684.1300000000008,0.08357965260545908,1309.0000000000005,1.2865775401069521,0.4444598144986052,0.004962779156327543,60.0,0.4466501240694789,0.07196029776674938,0.052109181141439205,0.4292803970223325,0.0,False,50,200,+chan10,-1.969597701149425,0.92777399138139,1.2416761343714258,6.14858033142238,0.03,2477.877873563219
400,2.345,70.70881214734285,0.663283664025778,9.906304581842734,1.0980396255680653,0.34,0.20915999999999998,938.0,0.046900000000000004,1405.289999999999,0.667477887126501,0.2680942412032633,0.005,60.0,0.5475,0.06,0.0,0.3925,0.0,False,50,200,+be1R,-1.771191537195392,0.92570225138212,1.1861693367696113,4.116191537195392,0.16,1646.4766148781569
438,5.898446801544473,51.913009902445054,2.3779269678559265,6.950359771910781,1.418896386238201,0.3858447488584475,0.20915999999999998,2583.5196990764794,0.11796893603088943,454.5658661439463,5.6834881179977605,0.9574296483367324,0.0045662100456621,15.0,0.8789954337899544,0.02511415525114155,0.0,0.0958904109589041,0.0,False,50,200,+trail1atr,-0.8385657268666276,0.9453367745296379,1.5009427586736879,6.737012528411101,0.0,2950.811487444062
399,5.336566416040101,91.7375730414077,1.1619866008886306,12.86852971136586,1.1874462452913737,0.39097744360902253,,2129.2900000000004,0.106731328320802,1328.7899999999993,1.6024277726352558,0.47481920449819376,0.0,60.0,0.48872180451127817,0.0,0.0,0.5112781954887218,0.0,False,50,none,flatten,-1.3682854822529023,0.9530117019756416,1.2459933522639202,6.704851898293004,0.055,2675.2359074189085
403,4.747220843672457,90.92244852613914,1.0481437191293808,12.690733685852758,1.1679079719710161,0.38461538461538464,,1913.13,0.09494441687344911,1340.789999999999,1.426867742152016,0.4289599755217986,0.0,60.0,0.46153846153846156,0.0,0.05459057071960298,0.4838709677419355,0.0,False,50,none,+chan10,-1.9719510249271393,0.9297658003247956,1.2561313521781832,6.719171868599596,0.07,2707.826263045637
400,1.9450000000000016,79.12912435255433,0.49160154770175113,11.085990321792861,1.0811804344718419,0.3225,,778.0000000000007,0.038900000000000004,1605.289999999997,0.48464763376087944,0.1998323938018977,0.0,60.0,0.565,0.0,0.0,0.435,0.0,False,50,none,+be1R,-1.6364666612391114,0.9336551683780154,1.158008300163018,3.581466661239113,0.205,1432.5866644956452
438,6.101151150453881,53.576352931194066,2.383283426002339,7.173056018875281,1.4332920605724482,0.3858447488584475,,2672.3042038988,0.12202302300907758,454.5658661439463,5.878805257789787,0.9587853923491055,0.0,15.0,0.9018264840182648,0.0,0.0,0.09817351598173515,0.0,False,50,none,+trail1atr,-0.4883707631792825,0.9678775324872468,1.4808609689380654,6.589521913633163,0.005,2886.2105981713257
389,3.0313367609254454,71.32922133855918,0.8381881251787745,10.133531302774639,1.103109757910366,0.5012853470437018,0.4416571428571429,1179.1899999999982,0.04041782347900593,1285.1000000000001,0.9175861800638068,0.3397110030459389,0.012853470437017995,60.0,0.3213367609254499,0.2570694087403599,0.0,0.42159383033419023,0.0,False,75,100,flatten,-2.987370766488418,0.9046246603092283,1.2194115485789314,6.018707527413863,0.045,2341.2772281639927
393,2.5547837150127175,70.53873468771188,0.717997197759398,9.970100150536327,1.087045215343775,0.4860050890585242,0.4416571428571429,1004.029999999998,0.03406378286683625,1233.1000000000004,0.8142324223501726,0.2914283843636727,0.01272264631043257,60.0,0.2875318066157761,0.2544529262086514,0.08651399491094147,0.37150127226463103,0.0,False,75,100,+chan10,-3.1361277286428875,0.895962921618267,1.213270314111191,5.6909114436556045,0.035,2236.5281973566525
389,2.183007712082258,69.70628672303422,0.6176722954517839,9.902965786704884,1.0766129323286562,0.4755784061696658,0.4416571428571429,849.1899999999983,0.029106769494430088,1363.9300000000005,0.6226052656661251,0.25035310424574614,0.02056555269922879,60.0,0.34704370179948585,0.2416452442159383,0.0,0.41131105398457585,0.0,False,75,100,+be1R,-2.724238855116518,0.9099300891083224,1.183182032570956,4.907246567198776,0.085,1908.9189146403237
438,4.558435808625848,45.91219222419383,2.077901079524782,6.1469418643792055,1.3199983945905562,0.3972602739726027,0.4416571428571429,1996.5948841781214,0.060779144115011285,433.7707557503346,4.602880341078829,0.8364620924383867,0.0319634703196347,15.0,0.7831050228310502,0.1324200913242009,0.0,0.08447488584474885,0.0,False,75,100,+trail1atr,-1.0035505506812534,0.937201048595856,1.4084474153845852,5.5619863593071015,0.005,2436.1500253765103
385,5.229480519480518,81.45247374325783,1.2597507794732603,11.631669258987301,1.1693028927009754,0.4805194805194805,0.34351111111111116,2013.3499999999995,0.06972640692640686,1523.6800000000003,1.3213732542266086,0.5092049841216144,0.005194805194805195,75.0,0.34025974025974026,0.14805194805194805,0.0,0.5116883116883116,0.0,False,75,150,flatten,-1.6784412992197448,0.9477431084219712,1.233776201916055,6.907921818700263,0.04,2659.5499001996013
389,4.648303341902313,80.65358850262676,1.1366992339352695,11.458216540640317,1.150804148679935,0.4652956298200514,0.34351111111111116,1808.1899999999996,0.06197737789203079,1505.6799999999994,1.2009125444981672,0.46005612622655395,0.005141388174807198,60.0,0.3059125964010283,0.14652956298200515,0.09254498714652956,0.455012853470437,0.0,False,75,150,+chan10,-1.6123651657595257,0.94766281678393,1.2143603487423964,6.260668507661839,0.035,2435.4000494804554
386,3.1892746113989623,77.3335889825824,0.8102469447829738,11.029165267057577,1.1106760801180247,0.4274611398963731,0.34351111111111116,1231.0599999999995,0.04252366148531945,1461.9199999999996,0.8420843821823354,0.32827497911195863,0.010362694300518135,60.0,0.39378238341968913,0.12953367875647667,0.0,0.47668393782383417,0.0,False,75,150,+be1R,-1.52684210526316,0.9495695626967893,1.1696626805978183,4.716116716662122,0.11,1820.4210526315792
