n,pts,sd,t,mde,pf,win,be,total,R,dd,ret_dd,sharpe,amb,med_min,sh_stop,sh_target,sh_chan,sh_flat,sh_eod,outside_mde,ctl_pts,ctl_pf,pf_ratio,edge,p_pts,p_pf,excess_total,stop,tgt,policy,arm
421,2.7812589073634206,50.70324170703343,1.12550321612476,6.924091683420347,1.1401587470688292,0.3515439429928741,0.24838461538461537,1170.91,0.09270863024544725,621.9999999999998,1.882491961414792,0.4610949351783533,0.0166270783847981,30.0,0.5961995249406176,0.18052256532066507,0.0,0.22327790973871733,0.0,False,-2.1735536247958827,0.8957247957415685,1.2728895666273192,4.954812532159304,0.03333333333333333,0.03333333333333333,2085.976076039067,30,100,flatten,+adx<=20
422,2.776350710900473,50.587290616559166,1.1274288174325366,6.900067278445833,1.1404693822497978,0.34834123222748814,0.24838461538461537,1171.6199999999997,0.09254502369668238,621.9999999999998,1.8836334405144697,0.4625866874719811,0.016587677725118485,30.0,0.5829383886255924,0.18009478672985782,0.016587677725118485,0.22037914691943128,0.0,False,-2.362344086021505,0.8859642396635186,1.287263448333917,5.138694796921978,0.02,0.02,2168.529204301075,30,100,+chan10,+adx<=20
423,0.7927423167848693,46.67839205033745,0.3492901493996181,6.359366204427042,1.0445543107388473,0.2718676122931442,0.24838461538461537,335.3299999999997,0.026424743892828926,634.2300000000006,0.5287198650331889,0.14387353338359604,0.026004728132387706,15.0,0.6879432624113475,0.15130023640661938,0.0,0.1607565011820331,0.0,False,-2.050626166286543,0.8796019964750885,1.187530627402834,2.843368483071412,0.11333333333333333,0.11333333333333333,1202.7448683392074,30,100,+be1R,+adx<=20
445,2.979139286323325,40.38358952485242,1.5562017351978255,5.364052803357664,1.2237008736897836,0.35730337078651686,0.24838461538461537,1325.7169824138796,0.09930464287744409,500.96606535308126,2.6463209269065224,0.6372222049065155,0.033707865168539325,15.0,0.8179775280898877,0.1101123595505618,0.0,0.07191011235955057,0.0,False,-1.8220239195327155,0.8722665567096171,1.4028978461651158,4.8011632058560405,0.006666666666666667,0.006666666666666667,2136.517626605938,30,100,+trail1atr,+adx<=20
418,3.75306220095694,59.33260362928779,1.2932440728856158,8.131551118279486,1.1814713619085737,0.3253588516746411,0.17938888888888888,1568.7800000000009,0.1251020733652312,721.3699999999999,2.174723096330595,0.5269583251636,0.0,30.0,0.6220095693779905,0.10047846889952153,0.0,0.27751196172248804,0.0,False,-1.4162414056531683,0.934613950218834,1.2641276771355057,5.169303606610108,0.04,0.04,2160.768907563025,30,150,flatten,+adx<=20
419,3.67420047732697,59.19371456932515,1.2705573320356716,8.102829740847246,1.1783600730359989,0.3221957040572792,0.17938888888888888,1539.4900000000005,0.12247334924423221,755.37,2.0380608178773323,0.5183222311150458,0.0,30.0,0.6085918854415274,0.10023866348448687,0.021479713603818614,0.26968973747016706,0.0,False,-1.6589165803770245,0.9231793041142604,1.2764151750201662,5.333117057703994,0.04,0.04666666666666667,2234.5760471779736,30,150,+chan10,+adx<=20
420,1.7266666666666672,53.82999144822365,0.6573684240531593,7.359830230617767,1.0964755558452723,0.24523809523809523,0.17938888888888888,725.2000000000003,0.057555555555555554,781.3700000000001,0.9281134417753435,0.2681483969087486,0.002380952380952381,30.0,0.7142857142857143,0.08333333333333333,0.0,0.20238095238095238,0.0,False,-1.1425390487209501,0.9331423476068181,1.1750356830952389,2.8692057153876176,0.09333333333333334,0.11333333333333333,1205.0664004627995,30,150,+be1R,+adx<=20
443,4.329693994020188,45.932551900109694,1.9839854912943304,6.114864561499344,1.3254247327723794,0.35665914221218964,0.17938888888888888,1918.0544393509433,0.14432313313400616,610.8589320048998,3.1399302504355595,0.810233782109518,0.009029345372460496,15.0,0.8645598194130926,0.05417607223476298,0.0,0.08126410835214447,0.0,False,-1.4326561520417385,0.899317234939571,1.473812222515051,5.762350146061927,0.0,0.0,2552.7211147054336,30,150,+trail1atr,+adx<=20
418,3.1071291866028736,63.4923299537959,1.0005209501915302,8.701642858347569,1.1464105307181642,0.30861244019138756,0.1403913043478261,1298.780000000001,0.10357097288676231,868.74,1.4950157699656987,0.40461226337150097,0.0023923444976076554,30.0,0.638755980861244,0.05502392344497608,0.0,0.3062200956937799,0.0,False,-1.5585225974568968,0.9278462786970849,1.2355608434707472,4.66565178405977,0.05333333333333334,0.05333333333333334,1950.242445736984,30,200,flatten,+adx<=20
419,3.029809069212412,63.352117398795976,0.9789514138878438,8.672059605305197,1.143325516884771,0.3054892601431981,0.1403913043478261,1269.4900000000007,0.10099363564041361,902.7399999999999,1.4062631543966158,0.3962793617016586,0.002386634844868735,30.0,0.6252983293556086,0.05489260143198091,0.021479713603818614,0.29832935560859186,0.0,False,-1.6515043234900995,0.9214526241716362,1.2407860012473166,4.681313392702512,0.06,0.06,1961.4703115423524,30,200,+chan10,+adx<=20
420,1.0266666666666668,56.483610805067705,0.37250461280500563,7.7226426226992055,1.0572417748136194,0.22857142857142856,0.1403913043478261,431.20000000000005,0.03422222222222222,978.7400000000005,0.44056644256901717,0.1499871686924293,0.002380952380952381,30.0,0.7309523809523809,0.04285714285714286,0.0,0.2261904761904762,0.0,False,-1.1497364346939536,0.9350815675504303,1.1306412312063898,2.1764031013606204,0.22,0.23333333333333334,914.0893025714606,30,200,+be1R,+adx<=20
443,4.380412004309969,47.643908234231226,1.9351268733463416,6.342692360450619,1.3292367562013085,0.35665914221218964,0.1403913043478261,1940.522517909316,0.1460137334769989,610.8589320048998,3.1767113751456955,0.7812216630587219,0.002257336343115124,15.0,0.8939051918735892,0.022573363431151242,0.0,0.0835214446952596,0.0,False,-1.2292427273667073,0.9118757727896618,1.4576950017378272,5.6096547316766765,0.006666666666666667,0.013333333333333334,2485.0770461327675,30,200,+trail1atr,+adx<=20
418,1.8296172248803844,70.6152478955129,0.5297242967838628,9.677840898067355,1.0840709521108427,0.291866028708134,,764.7800000000007,0.060987240829346,973.9899999999992,0.7852031335023987,0.21534889278332178,0.0,30.0,0.6555023923444976,0.0,0.0,0.3444976076555024,0.0,False,-1.46094033091263,0.9346023261583529,1.1599275133059799,3.2905575557930145,0.15333333333333332,0.16,1375.45305832148,30,none,flatten,+adx<=20
419,1.5405489260143213,70.21738237088118,0.44909463990022963,9.61182278116502,1.0710624412390928,0.28878281622911695,,645.4900000000006,0.051351630867143915,1007.9899999999989,0.6403734164029418,0.18275666361133236,0.0,30.0,0.6420047732696897,0.0,0.02386634844868735,0.3341288782816229,0.0,False,-1.906843020934343,0.9109046438430357,1.175822791637513,3.447391946948664,0.16,0.16,1444.4572257714901,30,none,+chan10,+adx<=20
420,-0.3590476190476184,58.83890465297132,-0.12505818375496117,8.044666877160815,0.9800177561053177,0.21428571428571427,,-150.79999999999973,-0.011968253968253987,1216.989999999997,-0.123912275367916,-0.050782650397621636,0.0,30.0,0.7452380952380953,0.0,0.0,0.25476190476190474,0.0,False,-1.165503487572452,0.9294868672901804,1.0543642848472456,0.8064558685248335,0.4066666666666667,0.4066666666666667,338.7114647804301,30,none,+be1R,+adx<=20
