market,cfg,block,usd_trade,pf,sharpe,dd,ret_dd
NQ,stop - / flat off (cash close) / tgt -,research,48.03142857142624,1.6160967225310496,1.1176554977497442,1128.420000000042,2.979564346608277
NQ,stop - / flat off (cash close) / tgt -,locked,125.61882352940944,4.124754909133359,2.769505357809693,486.70000000001164,8.775508526812859
NQ,stop 3.0 / flat off (cash close) / tgt -,research,44.461126460304094,1.626944549499965,1.1532197469504109,1035.2742472457176,3.0062361354986953
NQ,stop 3.0 / flat off (cash close) / tgt -,locked,70.72882729296543,1.960981869921477,1.5472010123580158,621.8189586594017,3.8673316316140682
NQ,stop - / flat 15:00 / tgt -,research,51.96714285714053,1.7919647483486203,1.3356525661601957,1074.5200000000186,3.3854186055166715
NQ,stop - / flat 15:00 / tgt -,locked,112.95705882352708,4.218149824032047,2.6186342841540253,468.64000000001397,8.195075110958959
NQ,stop 3.0 / flat 15:00 / tgt -,research,44.988452397313814,1.7039709312688291,1.2714700728831225,987.483847554693,3.1891070174062213
NQ,stop 3.0 / flat 15:00 / tgt -,locked,63.55851558493776,1.962462900863798,1.503906231978665,500.37895865939936,4.3187058378264815
NQ,stop 2.0 / flat off (cash close) / tgt -,research,36.84350970570532,1.619216521451838,1.0580441290075857,1005.8305838215892,2.5640955056272525
NQ,stop 2.0 / flat off (cash close) / tgt -,locked,60.28408835416378,2.0132175246273083,1.5759813460944387,789.9586923285387,2.5946407374793825
NQ,stop 3.0 / flat off (cash close) / tgt 3.0,research,25.303518004651934,1.4382408225280172,1.0327019630710041,560.2276808065217,3.161654307719484
NQ,stop 3.0 / flat off (cash close) / tgt 3.0,locked,29.836732549922626,1.426033061361842,0.9034384515960057,600.5553341176055,1.6891847412993117
NQ,stop 3.0 / flat off (cash close) / tgt 6.0,research,37.041108324567645,1.5512531773077751,1.1328473589145265,1024.3915677008881,2.5311391312397338
NQ,stop 3.0 / flat off (cash close) / tgt 6.0,locked,81.7071995066983,2.110143351348955,1.7584702759552258,621.8189586594017,4.467610298047221
US100,stop - / flat off (cash close) / tgt -,research,10.768750000000017,1.5320737767047548,0.8038771364556205,638.2000000000007,2.969758696333439
US100,stop - / flat off (cash close) / tgt -,validation,34.54999999999984,1.885702775946675,1.373664179724335,477.7999999999993,5.061741314357457
US100,stop - / flat off (cash close) / tgt -,test,15.31129032258072,1.313258975712778,0.44677617388324203,1323.700000000008,0.7171564553901933
US100,stop 3.0 / flat off (cash close) / tgt -,research,13.671650078988478,1.8506148444999941,1.1919309105868008,400.29998655600684,6.0110179733051625
US100,stop 3.0 / flat off (cash close) / tgt -,validation,42.20760159105952,2.4212900475999137,1.919919367163903,326.91578027567084,9.037594052152409
US100,stop 3.0 / flat off (cash close) / tgt -,test,28.564704140041552,1.8018386396799326,1.3385462025661239,571.9987626224101,3.0961809227752872
US100,stop - / flat 15:00 / tgt -,research,14.245454545454514,1.9111127262155665,1.1318122418154548,395.10000000000036,6.345735256896968
US100,stop - / flat 15:00 / tgt -,validation,32.64142857142854,1.9913228339624278,1.4421561007495418,478.899999999996,4.771142200877045
US100,stop - / flat 15:00 / tgt -,test,27.84516129032266,1.7283466227903654,1.0076593181655213,984.8000000000065,1.7530463038180277
US100,stop 3.0 / flat 15:00 / tgt -,research,13.371040286503701,1.89292576359114,1.1832439413339977,354.3467777371916,6.64124309370756
US100,stop 3.0 / flat 15:00 / tgt -,validation,37.616173019631034,2.372232099448942,1.8366051137260089,326.91578027567084,8.054466227215434
US100,stop 3.0 / flat 15:00 / tgt -,test,32.73641214336323,1.983817640655087,1.530456244719077,467.81787643498683,4.338563477641249
US100,stop 2.0 / flat off (cash close) / tgt -,research,12.139910599865557,1.8234013818973485,1.1213265365573917,380.3396382392166,5.617674443473328
US100,stop 2.0 / flat off (cash close) / tgt -,validation,23.692674975652828,1.670580097548353,1.1352707588368087,454.3760243513025,3.650032482817431
US100,stop 2.0 / flat off (cash close) / tgt -,test,24.79012125064107,1.7550491710888543,1.258029354429208,464.623989776308,3.3080244485002273
US100,stop 3.0 / flat off (cash close) / tgt 3.0,research,6.310343438629911,1.4271527919008409,0.835267819381751,297.53893238897945,3.7326894879992536
US100,stop 3.0 / flat off (cash close) / tgt 3.0,validation,30.534720305291454,2.2712041256482056,2.129471497922505,264.92123546748735,8.068173234956545
US100,stop 3.0 / flat off (cash close) / tgt 3.0,test,21.305834527353145,1.6568365768427775,1.292091141776897,636.4307454111222,2.075578136695107
US100,stop 3.0 / flat off (cash close) / tgt 6.0,research,10.382014142275994,1.6462620142710063,1.0881071181193471,400.29998655600684,4.564662878860533
US100,stop 3.0 / flat off (cash close) / tgt 6.0,validation,33.055910706492405,2.113117901289158,1.8124687576697258,326.91578027567084,7.078011797115658
US100,stop 3.0 / flat off (cash close) / tgt 6.0,test,27.057616272977818,1.7595332379057709,1.3212241551889803,571.9987626224101,2.9328248914972384
US30,stop - / flat off (cash close) / tgt -,research,-7.871621621621622,0.877536003363818,-0.22140648733796314,2168.0,-0.5373616236162362
US30,stop - / flat off (cash close) / tgt -,validation,16.41176470588235,1.1933137017148796,0.3745856839984904,1957.0,0.5702606029637199
US30,stop - / flat off (cash close) / tgt -,test,4.582352941176128,1.0582458938763257,0.1281339854353141,1150.4000000000015,0.2031467315716118
US30,stop 3.0 / flat off (cash close) / tgt -,research,0.28996580058368193,1.0056031416470395,0.010335331922960093,1497.081005719545,0.028665742416362192
US30,stop 3.0 / flat off (cash close) / tgt -,validation,18.972045415365272,1.2451773816878116,0.4710574541516474,1426.815165101616,0.90418094774943
US30,stop 3.0 / flat off (cash close) / tgt -,test,-8.131087961745353,0.9039876641968584,-0.24999616648075654,1659.640070297508,-0.24986471071084482
US30,stop - / flat 15:00 / tgt -,research,-9.256756756756756,0.8271293375394322,-0.30867568479565194,1733.0,-0.790536641661858
US30,stop - / flat 15:00 / tgt -,validation,-0.36764705882352944,0.9959807073954984,-0.008698528942165567,1993.0,-0.012543903662819869
US30,stop - / flat 15:00 / tgt -,test,-7.556862745098353,0.9105198393350479,-0.21149963607890454,1296.5000000000073,-0.29726185885076273
US30,stop 3.0 / flat 15:00 / tgt -,research,-3.343033914805666,0.924437007792123,-0.15764997938427594,1197.0993564490418,-0.4133065620040703
US30,stop 3.0 / flat 15:00 / tgt -,validation,10.034556850160484,1.1289240453290341,0.27009906592776967,1432.815165101616,0.47623020919276793
US30,stop 3.0 / flat 15:00 / tgt -,test,-10.236970314686843,0.8800984713285859,-0.30503128379941485,1799.0400702975094,-0.2902022554520929
US30,stop 2.0 / flat off (cash close) / tgt -,research,-3.6991142824069874,0.9171188418353182,-0.161329229308126,1339.9212959770994,-0.4085828887412436
US30,stop 2.0 / flat off (cash close) / tgt -,validation,15.089060071626912,1.223885804380756,0.41971799535925364,1312.5355088848119,0.7817358676584777
US30,stop 2.0 / flat off (cash close) / tgt -,test,11.751300484491866,1.1967691696462464,0.41861926288196927,1167.6866960783154,0.5132509659670642
US30,stop 3.0 / flat off (cash close) / tgt 3.0,research,3.247957388031225,1.0691845983723218,0.1415116134639542,1452.1610570459416,0.3310223002443548
US30,stop 3.0 / flat off (cash close) / tgt 3.0,validation,-13.057514354362278,0.8258022524852361,-0.49711983341998545,1701.3626318767638,-0.5218822604074624
US30,stop 3.0 / flat off (cash close) / tgt 3.0,test,-11.591575315659844,0.8474225954448746,-0.4350032400022847,1483.9805525655247,-0.398367984052506
US30,stop 3.0 / flat off (cash close) / tgt 6.0,research,-0.5719332091449925,0.9887983239286653,-0.02289085096103315,1278.866723010371,-0.0661883786875049
US30,stop 3.0 / flat off (cash close) / tgt 6.0,validation,2.6459793772973548,1.0341942200496899,0.07940549747331914,1494.776714362015,0.12037021712170203
US30,stop 3.0 / flat off (cash close) / tgt 6.0,test,-0.2593284777019518,0.9968620438878895,-0.00786853612033204,1401.2760397601305,-0.009438363311388321
