market,arm,block,n,rule,ctl_med,p_unflattened_ctl
NQ,A source,research,70,24.01571428571312,-0.16390948483505918,0.055
NQ,A source,locked,34,62.80941176470472,-1.1180075901339914,0.04
NQ,B flat 11:00,research,70,18.24071428571312,-0.16390948483505918,0.055
NQ,B flat 11:00,locked,34,15.544705882351778,-1.1180075901339914,0.04
NQ,D stop+flat,research,70,14.478051665425664,-0.16390948483505918,0.055
NQ,D stop+flat,locked,34,3.2087481789318084,-1.1180075901339914,0.04
US100,A source,research,176,10.768750000000017,-2.66391795352862,0.0375
US100,A source,validation,70,34.54999999999984,0.7148909299656179,0.0475
US100,A source,test,62,15.31129032258072,0.4266071428569311,0.26
US100,B flat 11:00,research,176,6.730681818181841,-2.66391795352862,0.0375
US100,B flat 11:00,validation,70,12.124285714285673,0.7148909299656179,0.0475
US100,B flat 11:00,test,62,2.201612903225865,0.4266071428569311,0.26
US100,D stop+flat,research,176,6.378909463094942,-2.66391795352862,0.0375
US100,D stop+flat,validation,70,12.446530633521096,0.7148909299656179,0.0475
US100,D stop+flat,test,62,1.844555036552969,0.4266071428569311,0.26
US30,A source,research,148,-7.871621621621622,-4.738394216133942,0.5725
US30,A source,validation,68,16.41176470588235,-0.047258297258297256,0.2775
US30,A source,test,51,4.582352941176128,-5.231852315394056,0.395
US30,B flat 11:00,research,148,2.4662162162162162,-4.738394216133942,0.5725
US30,B flat 11:00,validation,68,-21.455882352941178,-0.047258297258297256,0.2775
US30,B flat 11:00,test,51,-3.7294117647061107,-5.231852315394056,0.395
US30,D stop+flat,research,148,2.9864171998153717,-4.738394216133942,0.5725
US30,D stop+flat,validation,68,-16.392112909540522,-0.047258297258297256,0.2775
US30,D stop+flat,test,51,-7.266131958570423,-5.231852315394056,0.395
