market,n,pv,atr_med,stop_pts,risk_usd,losing_run,worst20,worst20_in_R
NQ,104,2.0,25.56788838345469,76.70366515036406,153.40733030072812,7,-657.6979318499143,-4.287265351405392
US100,308,1.0,21.543536399344184,64.63060919803254,64.63060919803254,8,-149.69258251485735,-2.3161251978329522
US30,267,1.0,39.932022470391175,119.79606741117352,119.79606741117352,10,-1628.1991379516694,-13.591423935171726
