market,arm,folds,pos,mean_pct,median_pct,worst,best,trades
NQ,A source,6,4,0.23296142870656192,0.16175809085670192,-0.05076132747844418,0.6292498779030615,58
NQ,B flat 11:00,6,4,0.06161200649280709,0.08560367643718322,-0.07357661903128723,0.1958180970399071,58
NQ,C stop 3N,6,5,0.19766459993304938,0.10509155643283226,-0.04578581470099224,0.4935077167449702,58
NQ,D stop+flat,6,4,0.05985326838615601,0.09207909482320978,-0.1281636670907576,0.1958180970399071,58
US100,A source,13,10,0.1315969902127792,0.10295258492753306,-0.1840185032743553,0.43582469015961084,209
US100,B flat 11:00,13,12,0.08072548787527621,0.07473768834182387,-0.016922561410499498,0.16319422331833702,209
US100,C stop 3N,13,11,0.18496600216612732,0.1571664895262013,-0.06290011749587032,0.5946762691197455,209
US100,D stop+flat,13,11,0.07476279995603127,0.07292272347675223,-0.046791458801416975,0.15819468376658163,209
US30,A source,13,5,0.01587624163202458,-0.03114422174171227,-0.31091829268631876,0.6368252165789241,202
US30,B flat 11:00,13,6,-0.016599913199147585,-0.013134806584496473,-0.11285798374136716,0.07729914086411928,202
US30,C stop 3N,13,5,0.020673259883219854,-0.03085339064145483,-0.170827944408828,0.4692178639940026,202
US30,D stop+flat,13,5,-0.014732645646579227,-0.013134806584496473,-0.11408874357581125,0.08444652471677519,202
