book,block,n,mean,sharpe,dd,ret_dd,total
NQ only,research (to NQ cut),496,0.01636417199842507,1.1154915302882347,3.5119375786395737,2.311154207462591,8.116629311218833
NQ only,locked (after NQ cut),268,0.02000019768135001,1.5696420593068632,1.3498780386246514,3.970768339977583,5.360052978601803
US100 only,research (to NQ cut),496,0.029020536821798622,1.856668410757587,1.1825416714352333,12.172244421748038,14.39418626361212
US100 only,locked (after NQ cut),268,0.005589725492434228,0.42066324605209904,2.6658725873158184,0.5619347447811479,1.498046431972373
US30 only,research (to NQ cut),496,-0.00446341437831145,-0.4341933283835433,5.68695992302456,-0.38928593863996525,-2.21385353164248
US30 only,locked (after NQ cut),268,-0.003956952827203056,-0.534646806564686,2.3837944715498884,-0.4448635863313041,-1.0604633576904192
NQ + US30 equal,research (to NQ cut),496,0.00595037881005681,0.6361223509332389,1.9105704592271093,1.5447678862270868,2.9513878897881765
NQ + US30 equal,locked (after NQ cut),268,0.008021622427073475,1.0291966062963767,1.7971863733131421,1.1962002619085688,2.1497948104556914
US100 + US30 equal,research (to NQ cut),496,0.012278561221743587,1.2193190381197931,1.3406951973085586,4.542543583516084,6.090166365984822
US100 + US30 equal,locked (after NQ cut),268,0.0008163863326155867,0.1034470655563713,2.1375318890255617,0.1023570868178803,0.2187915371409771
all three equal,research (to NQ cut),496,0.013640431480637415,1.28560032535431,1.438394189077174,4.703616064200577,6.765654014396158
all three equal,locked (after NQ cut),268,0.007210990115527059,0.8719808970795296,1.4927598751216873,1.294612337301546,1.9325453509612514
NQ + US100 equal (same index!),research (to NQ cut),496,0.022692354410111852,1.5822510903524272,2.1965276173867885,5.124182231228235,11.255407787415473
NQ + US100 equal (same index!),locked (after NQ cut),268,0.012794961586892117,1.1253650163155702,1.949232885173731,1.7591790757118604,3.429049705287087
inverse-vol (fitted on research),research (to NQ cut),496,0.011062402655007037,1.1212532709485081,1.3434184262737032,4.0843207221021105,5.4869517168834925
inverse-vol (fitted on research),locked (after NQ cut),268,0.005823484835253195,0.7644450383908155,1.5381392057690104,1.0146636468235457,1.5606939358478562
