market,arm,block,n,usd_trade,usd,pf,win,sharpe,dd,ret_dd,hold_min,worst
NQ,A source,research,70,48.03142857142624,3362.199999999837,1.6160967225310496,0.5857142857142857,1.1176554977497442,1128.420000000042,2.979564346608277,370.0,-570.4400000000023
NQ,A source,locked,34,125.61882352940944,4271.039999999921,4.124754909133359,0.6764705882352942,2.769505357809693,486.70000000001164,8.775508526812859,360.0,-288.9400000000023
NQ,B flat 11:00,research,70,36.48142857142624,2553.699999999837,2.047774960406262,0.5857142857142857,1.6438961067551647,359.88000000000466,7.09597643658943,70.0,-238.44000000000233
NQ,B flat 11:00,locked,34,31.089411764703556,1057.0399999999208,1.8439171603301208,0.5294117647058824,1.1877978689866904,426.78000000002794,2.4767796054169633,60.0,-301.4400000000023
NQ,C stop 3N,research,70,44.461126460304094,3112.278852221287,1.626944549499965,0.4714285714285714,1.1532197469504109,1035.2742472457176,3.0062361354986953,330.0,-233.7127290169301
NQ,C stop 3N,locked,34,70.72882729296543,2404.7801279608248,1.960981869921477,0.5882352941176471,1.5472010123580158,621.8189586594017,3.8673316316140682,350.0,-399.0859321905373
NQ,D stop+flat,research,70,28.956103330851327,2026.927233159593,1.7157297756860403,0.5714285714285714,1.2896294763107192,398.489452736314,5.0865266802954485,60.0,-182.742618200984
NQ,D stop+flat,locked,34,6.417496357863617,218.19487616736296,1.1177951285981058,0.5,0.22519106343607287,547.3459321905466,0.3986416328958907,50.0,-399.0859321905373
US100,A source,research,176,10.768750000000017,1895.300000000003,1.5320737767047548,0.5738636363636364,0.8038771364556205,638.2000000000007,2.969758696333439,345.0,-349.1999999999989
US100,A source,validation,70,34.54999999999984,2418.499999999989,1.885702775946675,0.6428571428571429,1.373664179724335,477.7999999999993,5.061741314357457,345.0,-317.89999999999964
US100,A source,test,62,15.31129032258072,949.3000000000047,1.313258975712778,0.5806451612903226,0.44677617388324203,1323.700000000008,0.7171564553901933,345.0,-1271.2000000000007
US100,B flat 11:00,research,176,6.730681818181841,1184.600000000004,1.8218968986331832,0.5511363636363636,1.149781980966334,238.39999999999782,4.968959731543687,60.0,-132.29999999999927
US100,B flat 11:00,validation,70,12.124285714285673,848.6999999999971,1.6461362771221895,0.5714285714285714,1.0525080384585719,250.20000000000255,3.392086330935206,52.5,-142.29999999999927
US100,B flat 11:00,test,62,2.201612903225865,136.50000000000364,1.0891515903598747,0.46774193548387094,0.19008575663063618,725.9000000000015,0.18804243008679344,45.0,-208.6999999999971
US100,C stop 3N,research,176,13.671650078988478,2406.210413901972,1.8506148444999941,0.5227272727272727,1.1919309105868008,400.29998655600684,6.0110179733051625,330.0,-117.58223299141355
US100,C stop 3N,validation,70,42.20760159105952,2954.5321113741666,2.4212900475999137,0.6,1.919919367163903,326.91578027567084,9.037594052152409,345.0,-144.40118976835402
US100,C stop 3N,test,62,28.564704140041552,1771.0116566825764,1.8018386396799326,0.5806451612903226,1.3385462025661239,571.9987626224101,3.0961809227752872,330.0,-276.50577819267346
US100,D stop+flat,research,176,6.378909463094942,1122.6880655047098,1.7518611655646732,0.5454545454545454,1.0793184421890358,252.16646342267086,4.452170404685841,45.0,-117.58223299141355
US100,D stop+flat,validation,70,12.446530633521096,871.2571443464767,1.674899853646438,0.5714285714285714,1.0951075210417447,246.53991133418822,3.5339395541741547,45.0,-144.40118976835402
US100,D stop+flat,test,62,1.844555036552969,114.36241226628408,1.073628408924321,0.46774193548387094,0.1591454674726167,724.6366234098532,0.1578203592969671,45.0,-204.2731852797042
US30,A source,research,148,-7.871621621621622,-1165.0,0.877536003363818,0.4864864864864865,-0.22140648733796314,2168.0,-0.5373616236162362,345.0,-1087.0
US30,A source,validation,68,16.41176470588235,1116.0,1.1933137017148796,0.45588235294117646,0.3745856839984904,1957.0,0.5702606029637199,360.0,-413.0
US30,A source,test,51,4.582352941176128,233.69999999998254,1.0582458938763257,0.5098039215686274,0.1281339854353141,1150.4000000000015,0.2031467315716118,360.0,-616.9000000000015
US30,B flat 11:00,research,148,2.4662162162162162,365.0,1.1048850574712643,0.5,0.1876116384682782,637.0,0.5729984301412873,45.0,-191.0
US30,B flat 11:00,validation,68,-21.455882352941178,-1459.0,0.5755018911841723,0.4117647058823529,-1.113570763133033,1835.0,-0.7950953678474114,60.0,-352.0
US30,B flat 11:00,test,51,-3.7294117647061107,-190.20000000001164,0.9130951293064008,0.5294117647058824,-0.19312476752174865,668.0,-0.2847305389221731,60.0,-242.0
US30,C stop 3N,research,148,0.28996580058368193,42.914938486384926,1.0056031416470395,0.40540540540540543,0.010335331922960093,1497.081005719545,0.028665742416362192,315.0,-536.4114532498643
US30,C stop 3N,validation,68,18.972045415365272,1290.0990882448386,1.2451773816878116,0.39705882352941174,0.4710574541516474,1426.815165101616,0.90418094774943,315.0,-325.71629994280374
US30,C stop 3N,test,51,-8.131087961745353,-414.685486049013,0.9039876641968584,0.39215686274509803,-0.24999616648075654,1659.640070297508,-0.24986471071084482,195.0,-333.15705779874406
US30,D stop+flat,research,148,2.9864171998153717,441.989745572675,1.1317794854649728,0.49324324324324326,0.23151046748413873,460.0089234359875,0.9608286340866603,45.0,-199.27880305910367
US30,D stop+flat,validation,68,-16.392112909540522,-1114.6636778487555,0.6395781132515156,0.4117647058823529,-0.951332339187516,1693.2841684045234,-0.6582850644018209,45.0,-226.62627493303444
US30,D stop+flat,test,51,-7.266131958570423,-370.57272988709155,0.8435723952361602,0.5294117647058824,-0.36845067544472654,834.0140120038559,-0.4443243453389106,45.0,-242.0
