market,flat,block,n,usd,usd_trade,pf,sharpe,dd_usd,ret_dd
NQ,0,research,70,3362.199999999837,48.03142857142624,1.6160967225310496,1.1176554977497442,1128.420000000042,2.979564346608277
NQ,0,locked,34,4271.039999999921,125.61882352940944,4.124754909133359,2.769505357809693,486.70000000001164,8.775508526812859
NQ,660,research,70,2553.699999999837,36.48142857142624,2.047774960406262,1.6438961067551647,359.88000000000466,7.09597643658943
NQ,660,locked,34,1057.0399999999208,31.089411764703556,1.8439171603301208,1.1877978689866904,426.78000000002794,2.4767796054169633
NQ,720,research,70,3148.199999999837,44.97428571428338,2.084180510785934,1.5841585536828073,707.7800000000279,4.447992313995469
NQ,720,locked,34,2508.039999999921,73.76588235293885,2.612534879833271,1.9718843236239842,619.7800000000279,4.046661718674058
NQ,780,research,70,3139.199999999837,44.845714285711956,1.94065191204754,1.5039994787919464,774.640000000014,4.0524630796238
NQ,780,locked,34,2706.539999999921,79.6041176470565,2.607896487809441,2.047932178391317,445.7600000000093,6.071742641780026
NQ,840,research,70,4312.699999999837,61.60999999999767,2.2101951936783037,1.760641548710762,735.7000000000116,5.862036156041551
NQ,840,locked,34,3525.039999999921,103.67764705882121,3.3416902493787854,2.3131397621865246,604.7000000000116,5.829403009756661
NQ,900,research,70,3637.699999999837,51.96714285714053,1.7919647483486203,1.3356525661601957,1074.5200000000186,3.3854186055166715
NQ,900,locked,34,3840.539999999921,112.95705882352708,4.218149824032047,2.6186342841540253,468.64000000001397,8.195075110958959
NQ,930,research,70,4161.699999999837,59.45285714285482,1.9003253692854385,1.483675890925421,883.2000000000116,4.712069746376565
NQ,930,locked,34,4053.539999999921,119.22176470588002,5.265626973102456,2.858081845342157,351.70000000001164,11.52556155814554
US100,0,research,176,1895.300000000003,10.768750000000017,1.5320737767047548,0.8038771364556205,638.2000000000007,2.969758696333439
US100,0,validation,70,2418.499999999989,34.54999999999984,1.885702775946675,1.373664179724335,477.7999999999993,5.061741314357457
US100,0,test,62,949.3000000000047,15.31129032258072,1.313258975712778,0.44677617388324203,1323.700000000008,0.7171564553901933
US100,660,research,176,1184.600000000004,6.730681818181841,1.8218968986331832,1.149781980966334,238.39999999999782,4.968959731543687
US100,660,validation,70,848.6999999999971,12.124285714285673,1.6461362771221895,1.0525080384585719,250.20000000000255,3.392086330935206
US100,660,test,62,136.50000000000364,2.201612903225865,1.0891515903598747,0.19008575663063618,725.9000000000015,0.18804243008679344
US100,720,research,176,2017.4999999999918,11.463068181818135,2.026404151404149,1.2883588461708202,327.1999999999971,6.165953545232304
US100,720,validation,70,1738.7999999999993,24.83999999999999,2.310027876139535,1.6268858364269483,243.59999999999854,7.137931034482798
US100,720,test,62,791.5000000000018,12.766129032258094,1.4897592970732008,0.8554961992598725,597.5999999999913,1.324464524765752
US100,780,research,176,2071.9999999999955,11.772727272727247,1.8874801901743252,1.1275428075593006,374.2999999999993,5.53566657761154
US100,780,validation,70,1765.4999999999945,25.221428571428493,2.2948294829482907,1.6851832182985216,285.59999999999854,6.1817226890756425
