ent,ex,side,entry,exit,pnl,ret,hold_h
284,320,-1.0,4730.1,4775.6,-10.62405657385679,-0.009619246950381521,36
3280,3302,-1.0,5657.6,5737.7,-15.003911713888483,-0.014157946832578983,22
3543,3562,-1.0,5663.8,5760.4,-17.601265713080767,-0.017055686994597252,19
4606,4674,1.0,5967.8,5910.7,-10.106590621420587,-0.009568015013908027,68
5565,5618,1.0,6235.3,6218.3,-3.5263707389642844,-0.002726412522252364,53
6536,6629,1.0,6592.5,6640.8,5.963313342281448,0.0073265073947668125,93
7026,7073,-1.0,6712.1,6513.342430144071,27.169572959184258,0.029611830851138943,47
7100,7132,-1.0,6330.1,6272.8485,7.857856407067245,0.009044327893714232,32
7185,7244,1.0,6641.3,6780.997262063861,19.706297054722214,0.021034626061744,59
7352,7383,1.0,6932.1,6915.6,-3.3919990796507298,-0.0023802310988012554,31
7425,7461,-1.0,6725.3,6830.2,-16.612969825762804,-0.015597817197745778,36
7481,7497,1.0,6910.2,6815.9,-14.402945050267665,-0.013646493589187014,16
7565,7600,1.0,7141.4,7104.5,-5.976003765045142,-0.005167054079032063,35
7758,7803,-1.0,6682.1,6540.6651875,19.439361650009783,0.021166222070905905,45
7807,7826,1.0,6788.3,6527.2,-38.76913101961433,-0.0384632382186999,19
7891,7940,-1.0,6380.0,6521.4,-21.879149528737717,-0.022163009404388756,49
7940,7985,1.0,6521.4,6457.4,-9.968455513144004,-0.009813843653203258,45
8033,8177,1.0,6620.2,6759.394637622931,18.259366991441166,0.02102574508669397,144
8280,8290,-1.0,6441.2,6607.8,-25.010564239683383,-0.0258647456995591,10
8310,8352,1.0,6741.9,6617.3,-17.632509019459174,-0.018481436983639576,42
8445,8556,1.0,6766.6,6905.728240326315,17.35890863492812,0.020561026265231375,111
9475,9521,1.0,7235.2,7216.3,-3.2687835376297554,-0.002612229102167185,46
9836,9904,-1.0,7177.2,7319.3,-18.769036702161095,-0.019798807334336477,68
10958,11061,-1.0,7368.2,7213.524188640966,17.66672983295926,0.020992347026279723,103
11123,11165,1.0,7277.6,7126.5,-19.595853172317376,-0.02076233923271409,42
11167,11295,-1.0,7102.5,6946.938821187181,18.430479401499113,0.021902313102825643,128
11297,11359,-1.0,6739.8,6729.652,0.45564624595769576,0.0015056826612065422,62
11393,11416,1.0,7043.1,6923.7,-16.15287081140542,-0.016952762277974265,23
11436,11458,-1.0,6899.0,7013.8,-15.601462816206938,-0.016640092767067793,22
11475,11520,1.0,7089.8,7118.0,2.584013683303966,0.003977545205788635,45
11531,11594,-1.0,6996.5,6854.852543603142,16.771578562689257,0.020245473650662094,63
11659,11665,1.0,6914.0,6786.1,-17.302132406470122,-0.01849869829331785,6
11667,11745,-1.0,6687.1,6542.99719001224,17.896931083090045,0.021549372670927602,78
11804,11851,1.0,6737.1,6877.405929365205,17.60333338677559,0.020825864150035622,47
11864,11907,1.0,6945.0,7084.77332382202,17.318186681359215,0.020125748570485325,43
11908,11986,-1.0,6856.6,6711.582841805473,18.613976040078324,0.0211500099458225,78
12034,12068,1.0,6817.3,6697.6,-17.471756806276847,-0.017558270869699077,34
12083,12143,-1.0,6647.6,6505.846952639052,18.79787332034678,0.021323943582789107,60
12155,12225,-1.0,6373.9,6241.5892683293705,18.646236038107425,0.02075820638394532,70
12252,12294,1.0,6319.8,6158.0,-25.575474917194686,-0.025602076015063813,42
12304,12329,1.0,6390.6,6141.4,-37.428705893339874,-0.038994773573686414,25
12332,12346,-1.0,6131.4,6292.4,-24.51338513007362,-0.026258277065596802,14
12349,12429,1.0,6417.2,6545.972324084191,16.662318410630252,0.020066746257587642,80
12764,12888,1.0,6843.1,6992.859783491977,18.598941632625326,0.021884786645230525,124
13400,13519,1.0,7153.9,7298.8731841693925,17.514450469644636,0.020264916223233786,119
13609,13636,-1.0,7265.8,7364.7,-13.553269203178573,-0.013611715158688531,27
14347,14441,-1.0,7539.7,7376.9071145852495,18.821711406273593,0.021591427432755994,94
14444,14504,1.0,7511.4,7471.5,-5.882753354727648,-0.005311925872673484,60
14508,14633,-1.0,7380.2,7337.7,4.411632977285289,0.0057586515270589,125
14739,14761,-1.0,6998.4,7128.5,-18.24548488364601,-0.018589963420210465,22
14766,14862,1.0,7181.5,7343.711482887759,19.69212892107798,0.022587409717713447,96
14873,14889,1.0,7577.2,7487.2,-12.001330685235024,-0.011877738478593636,16
15034,15095,1.0,7783.9,7691.9,-11.793064219318856,-0.011819267976207248,61
15729,15789,-1.0,7755.1,7593.491126413321,18.034817202864176,0.020839044446452015,60
15822,15885,1.0,7589.4,7536.7,-7.35771054827971,-0.00694389543310403,63
15929,15967,-1.0,7488.0,7581.0,-12.342015113778952,-0.012419871794871806,38
15980,16024,1.0,7633.7,7665.199999999999,2.833542476017496,0.004126439341341603,44
16091,16132,-1.0,7501.3,7489.036999999999,0.5782365840426591,0.001634783304227394,41
16196,16210,1.0,7728.8,7617.2,-14.048411673398427,-0.01443949901666497,14
16291,16340,1.0,7844.4,7827.1,-2.871936689714887,-0.002205394931415916,49
