ent,ex,side,entry,exit,pnl,ret,hold_h
284,320,-1.0,4730.1,4775.6,-10.62405657385679,-0.009619246950381521,36
3280,3302,-1.0,5657.6,5737.7,-15.003911713888483,-0.014157946832578983,22
3543,3562,-1.0,5663.8,5760.4,-17.601265713080767,-0.017055686994597252,19
4606,4674,1.0,5967.8,5910.7,-10.106590621420587,-0.009568015013908027,68
5565,5618,1.0,6235.3,6218.3,-3.5263707389642844,-0.002726412522252364,53
6536,6629,1.0,6592.5,6640.8,5.963313342281448,0.0073265073947668125,93
7026,7073,-1.0,6712.1,6636.2789999999995,9.77746385637514,0.011296166624454429,47
7100,7132,-1.0,6330.1,6342.199,-2.7925419833053216,-0.001911344212571553,32
7185,7262,1.0,6641.3,6755.763,15.513845771934863,0.017235029286434944,77
7352,7383,1.0,6932.1,6915.6,-3.283075832853297,-0.0023802310988012554,31
7425,7461,-1.0,6725.3,6830.2,-16.07949721274659,-0.015597817197745778,36
7481,7497,1.0,6910.2,6815.9,-13.940440343903857,-0.013646493589187014,16
7565,7600,1.0,7141.4,7104.5,-5.784103437929066,-0.005167054079032063,35
7758,7803,-1.0,6682.1,6652.879000000001,3.1474291798213523,0.004373026443782568,45
7807,7826,1.0,6788.3,6527.2,-36.9061870240367,-0.0384632382186999,19
7891,7940,-1.0,6380.0,6521.4,-20.827807154767928,-0.022163009404388756,49
7940,7985,1.0,6521.4,6457.4,-9.48944879168824,-0.009813843653203258,45
8033,8190,1.0,6620.2,6756.2519999999995,16.969918749908558,0.02055104075405567,157
8280,8290,-1.0,6441.2,6607.8,-23.797675540426674,-0.0258647456995591,10
8310,8352,1.0,6741.9,6617.3,-16.777419517107557,-0.018481436983639576,42
8445,8595,1.0,6766.6,6925.716,19.0113751374859,0.023514911476960387,150
9475,9521,1.0,7235.2,7216.299999999999,-3.1192703797031727,-0.002612229102167296,46
9836,9904,-1.0,7177.2,7319.3,-17.91054671153453,-0.019798807334336477,68
10958,11064,-1.0,7368.2,7184.1179999999995,20.223974030065648,0.024983306642056502,106
11123,11165,1.0,7277.6,7126.5,-18.77274704051095,-0.02076233923271409,42
11167,11359,-1.0,7102.5,6907.375,22.361571963754578,0.027472720872932066,192
11393,11416,1.0,7043.1,6923.700000000001,-15.550983555811438,-0.016952762277974154,23
11436,11458,-1.0,6899.0,7013.8,-15.020122090627192,-0.016640092767067793,22
11475,11520,1.0,7089.8,7118.0,2.4877283280615434,0.003977545205788635,45
11531,11659,-1.0,6996.5,6885.285000000001,12.497431126420402,0.015895805045379685,128
11659,11665,1.0,6914.0,6786.1,-16.586300424963103,-0.01849869829331785,6
11667,11760,-1.0,6687.1,6593.229,10.885150885251589,0.014037624680354743,93
11804,11907,1.0,6737.1,6877.420999999999,16.752660591166965,0.02082810111175415,103
11908,12008,-1.0,6856.6,6728.933999999999,15.197588719545648,0.018619432371729583,100
12034,12068,1.0,6817.3,6697.6,-16.273266710140057,-0.017558270869699077,34
12083,12246,-1.0,6647.6,6404.224,30.677488619173005,0.03661110776821708,163
12252,12294,1.0,6319.8,6158.0,-23.709478646378997,-0.025602076015063813,42
12304,12329,1.0,6390.6,6141.4,-34.697893431614126,-0.038994773573686414,25
12332,12346,-1.0,6131.4,6292.4,-22.72487932965802,-0.026258277065596802,14
12349,12432,1.0,6417.2,6540.872,14.802725970616146,0.01927195661659309,83
12764,12888,1.0,6843.1,6970.1810000000005,14.494536731468889,0.018570677032339056,124
13400,13600,1.0,7153.9,7312.039000000001,17.716166794085808,0.022105285229035987,200
13609,13636,-1.0,7265.8,7364.7,-12.536470694503757,-0.013611715158688531,27
14347,14441,-1.0,7539.7,7427.2530000000015,11.764150817913773,0.014913988620236629,94
14444,14504,1.0,7511.4,7471.499999999999,-5.405796145992363,-0.005311925872673595,60
14508,14633,-1.0,7380.2,7337.7,4.0539500992296365,0.0057586515270589,125
14739,14761,-1.0,6998.4,7128.5,-16.766191937404763,-0.018589963420210465,22
14766,14889,1.0,7181.5,7406.165,25.38546944364871,0.031283854347977424,123
15034,15095,1.0,7783.9,7691.9,-11.071633428429687,-0.011819267976207248,61
15729,15806,-1.0,7755.1,7572.399,19.252674872174953,0.023558819357584082,77
15822,15885,1.0,7589.4,7536.7,-6.926039485288145,-0.00694389543310403,63
15929,15967,-1.0,7488.0,7581.0,-11.617918841077849,-0.012419871794871806,38
15980,16024,1.0,7633.7,7665.2,2.6673007783279608,0.004126439341341603,44
16091,16132,-1.0,7501.3,7489.037000000001,0.5443119006433301,0.001634783304227172,41
16196,16210,1.0,7728.8,7617.2,-13.224202463127595,-0.01443949901666497,14
16291,16340,1.0,7844.4,7827.1,-2.7034424338510763,-0.002205394931415916,49
16731,16758,-1.0,7517.5,7633.5,-13.824521488049884,-0.01543066178915864,27
16776,16817,1.0,7720.0,7683.599999999999,-4.725325808804745,-0.004715025906735781,41
16884,17005,1.0,7829.4,7902.0,6.800026792382406,0.00927274120622279,121
18264,18535,1.0,8934.9,9128.499,17.129541650044274,0.02166772991303767,271
