ctx,brk,n,pct,win,pf,tot,mde,p_entry,p_gate,boot
30s ALL,1,39,0.05928969583187051,0.7948717948717948,3.1489304055578042,2.31229813744295,0.0595075289215467,,,
30s ALL,2,30,0.057019144332323045,0.8333333333333334,4.016512392626862,1.7105743299696914,0.059942533797021726,,,
30s first half,1,19,0.049198956488897994,0.7894736842105263,3.2764821582184998,0.9347801732890619,0.07856644224485292,,,
30s first half,2,9,0.06404261285222844,0.7777777777777778,3.94357732106638,0.576383515670056,0.12103773834169203,,,
30s second half,1,20,0.06887589820769442,0.8,3.070216726085949,1.3775179641538884,0.09042735970898041,,,
30s second half,2,7,0.06246017356950291,0.8571428571428571,4.635566830765657,0.4372212149865204,0.12918024774743692,,,
30s nulls brk2,2,30,0.057019144332323045,,,,,0.05333333333333334,0.0,0.00225
