window,sessions,share,med_bars
range 09:00-09:04:30 (540-545),92,0.31399317406143346,10.0
the full half hour (540-570),92,0.31399317406143346,60.0
the arm minutes 568-570,92,0.31399317406143346,4.0
the entry window 568-960,273,0.931740614334471,780.0
