feed,block,win,side,geom,w_atr,n,pct,pf,win_r,ctl,p,boot,mde
US100L,B_holdout,09:00-09:30 (the half hour),both,1.5N / none,1.5,680,0.0217,1.089,0.291,0.0291,0.655,0.198,0.0748
US100L,A_research,09:00-09:30 (the half hour),both,100pt / 100pt,1.5,1710,0.0407,1.107,0.535,0.0154,0.007,0.007,0.0484
US100L,B_holdout,09:00-09:30 (the half hour),both,100pt / 100pt,1.5,635,-0.0089,0.956,0.501,0.0122,0.95,0.665,0.0543
NQ,A_research,09:00-09:15 (the 09:00 bar),long,1.5N / none,1.09,472,0.031,1.184,0.299,0.017,0.17,0.086,0.0631
NQ,B_holdout,09:00-09:15 (the 09:00 bar),long,1.5N / none,1.09,219,0.0559,1.23,0.329,0.0406,0.31,0.17,0.1644
NQ,A_research,09:00-09:15 (the 09:00 bar),long,100pt / 100pt,1.09,472,0.0327,1.138,0.542,0.0274,0.33,0.072,0.0624
NQ,B_holdout,09:00-09:15 (the 09:00 bar),long,100pt / 100pt,1.09,219,0.0194,1.091,0.543,0.0097,0.292,0.239,0.079
NQ,A_research,09:00-09:15 (the 09:00 bar),both,1.5N / none,1.09,567,0.0051,1.047,0.273,0.0032,0.453,0.391,0.0565
NQ,B_holdout,09:00-09:15 (the 09:00 bar),both,1.5N / none,1.09,270,0.0772,1.333,0.311,0.0585,0.265,0.059,0.155
NQ,A_research,09:00-09:15 (the 09:00 bar),both,100pt / 100pt,1.09,533,-0.0013,0.998,0.516,0.0062,0.708,0.504,0.0595
NQ,B_holdout,09:00-09:15 (the 09:00 bar),both,100pt / 100pt,1.09,260,0.008,1.048,0.531,0.015,0.637,0.362,0.0734
NQ,A_research,09:00-09:30 (the half hour),long,1.5N / none,1.53,463,0.0304,1.183,0.305,0.0192,0.188,0.085,0.0631
NQ,B_holdout,09:00-09:30 (the half hour),long,1.5N / none,1.53,211,0.0605,1.247,0.336,0.0506,0.35,0.157,0.17
NQ,A_research,09:00-09:30 (the half hour),long,100pt / 100pt,1.53,463,0.036,1.155,0.551,0.03,0.333,0.047,0.0626
NQ,B_holdout,09:00-09:30 (the half hour),long,100pt / 100pt,1.53,211,0.0213,1.103,0.55,0.0164,0.405,0.229,0.0799
NQ,A_research,09:00-09:30 (the half hour),both,1.5N / none,1.53,576,0.0162,1.115,0.28,0.0075,0.265,0.21,0.0587
NQ,B_holdout,09:00-09:30 (the half hour),both,1.5N / none,1.53,275,0.0802,1.342,0.316,0.0609,0.255,0.051,0.1538
NQ,A_research,09:00-09:30 (the half hour),both,100pt / 100pt,1.53,536,0.0025,1.009,0.521,0.0048,0.575,0.436,0.0593
NQ,B_holdout,09:00-09:30 (the half hour),both,100pt / 100pt,1.53,264,0.0059,1.04,0.527,0.0217,0.802,0.4,0.0728
