block,n,mean,lo,hi,p_le0
ALL,57,0.03579306527084115,0.001994494970211282,0.06988217219184038,0.01825
IS,29,0.028367028384006447,-0.01515215056606173,0.07223992216392056,0.102
OOS,28,0.04348431776077708,-0.009034275167536339,0.09233927589630969,0.04725
