,atr,stop_pts,rr,be
count,45.0,45.0,45.0,45.0
mean,14.421073181566056,32.44741465852363,3.8237031231524328,0.2344875864049344
std,7.370106013986101,16.58273853146873,1.684052755665679,0.08623214170105471
min,4.941670068981309,11.118757655207945,1.364921685809813,0.10006193274504116
25%,9.448972423158242,21.260187952106044,2.6352254022073067,0.17532702456723182
50%,11.58515394795194,26.066596382891863,3.8363274794722497,0.2067684631043889
75%,16.865519134422836,37.94741805245138,4.703627278614626,0.27508610591046173
max,32.56190073504136,73.26427665384307,8.99381055878673,0.4228469830524527
