feed,block,n,pct,pf,win,tot,base_pct,p_ent,p_gate,boot_le0,ci,mde
US30L,A_research,649,0.0044,1.064,0.263,2.83,0.0142,0.738,0.637,0.383,"[-0.0245,+0.0346]",0.0419
US30L,B_holdout,319,-0.0252,0.792,0.241,-8.05,-0.0167,0.995,0.735,0.921,"[-0.0604,+0.0108]",0.0482
US30I,C_forward,138,0.0054,1.044,0.29,0.74,-0.004,0.578,0.207,0.424,"[-0.0377,+0.0501]",0.0632
