feed,block,side,geom,read,pair,n,pct,pf,win,bind,stop,tgt,flat,hold,mde,pct_0,n_0,pf_0,stop_0,flat_0,hold_0,d_pct,d_pf,d_n,d_hold
US30L,A_research,both,1.5N / none,state,21/55,1798,-0.0004,1.007,0.378,0.374,0.421,0.0,0.204,6.5,0.0268,0.0067,1734,1.047,0.638,0.359,11.1,-0.0071,-0.040000000000000036,64,-4.6
US30L,B_holdout,both,1.5N / none,state,21/55,760,-0.0193,0.836,0.345,0.395,0.45,0.0,0.155,5.5,0.0328,0.0009,733,1.006,0.683,0.317,10.1,-0.020200000000000003,-0.17000000000000004,27,-4.6
US30L,A_research,both,100pt / 100pt,cross,13/48,1701,-0.0041,0.985,0.481,0.125,0.322,0.362,0.188,8.6,0.0217,-0.0011,1694,0.999,0.363,0.261,9.8,-0.003,-0.014000000000000012,7,-1.200000000000001
US30L,B_holdout,both,100pt / 100pt,cross,13/48,742,-0.0188,0.857,0.464,0.049,0.465,0.431,0.055,4.3,0.0262,-0.02,742,0.851,0.495,0.069,4.6,0.0011999999999999997,0.006000000000000005,0,-0.2999999999999998
US30L,A_research,both,100pt / 100pt,cross,21/55,1698,-0.0023,0.993,0.489,0.093,0.332,0.365,0.207,8.8,0.0219,-0.0011,1694,0.999,0.363,0.261,9.8,-0.0012,-0.006000000000000005,4,-1.0
US30L,B_holdout,both,100pt / 100pt,cross,21/55,742,-0.0186,0.859,0.464,0.038,0.473,0.431,0.058,4.5,0.0263,-0.02,742,0.851,0.495,0.069,4.6,0.001400000000000002,0.008000000000000007,0,-0.09999999999999964
US30L,A_research,both,100pt / 100pt,state,13/48,1760,-0.0081,0.957,0.478,0.426,0.202,0.24,0.131,5.8,0.0181,-0.0011,1694,0.999,0.363,0.261,9.8,-0.006999999999999999,-0.04200000000000004,66,-4.000000000000001
US30L,B_holdout,both,100pt / 100pt,state,13/48,761,-0.0223,0.786,0.444,0.375,0.309,0.279,0.038,2.9,0.0218,-0.02,742,0.851,0.495,0.069,4.6,-0.0023,-0.06499999999999995,19,-1.6999999999999997
US30L,A_research,both,100pt / 100pt,state,21/55,1767,-0.0081,0.953,0.48,0.418,0.204,0.233,0.145,5.9,0.0179,-0.0011,1694,0.999,0.363,0.261,9.8,-0.006999999999999999,-0.04600000000000004,73,-3.9000000000000004
US30L,B_holdout,both,100pt / 100pt,state,21/55,761,-0.0247,0.763,0.443,0.396,0.311,0.258,0.035,2.9,0.0215,-0.02,742,0.851,0.495,0.069,4.6,-0.004699999999999999,-0.08799999999999997,19,-1.6999999999999997
US30I,C_forward,long,1.5N / none,cross,13/48,268,0.0016,0.995,0.31,0.082,0.608,0.0,0.31,9.9,0.0648,0.0087,268,1.043,0.642,0.358,10.8,-0.0070999999999999995,-0.04799999999999993,0,-0.9000000000000004
US30I,C_forward,long,1.5N / none,cross,21/55,268,0.0091,1.048,0.31,0.056,0.616,0.0,0.328,10.4,0.0659,0.0087,268,1.043,0.642,0.358,10.8,0.00040000000000000105,0.0050000000000001155,0,-0.40000000000000036
US30I,C_forward,long,1.5N / none,state,13/48,268,0.0118,1.09,0.388,0.336,0.451,0.0,0.213,6.8,0.0546,0.0087,268,1.043,0.642,0.358,10.8,0.0031000000000000003,0.04700000000000015,0,-4.000000000000001
US30I,C_forward,long,1.5N / none,state,21/55,268,0.0137,1.111,0.392,0.34,0.448,0.0,0.213,6.8,0.0541,0.0087,268,1.043,0.642,0.358,10.8,0.005000000000000001,0.06800000000000006,0,-4.000000000000001
US30I,C_forward,long,100pt / 100pt,cross,13/48,268,-0.0037,0.958,0.5,0.041,0.463,0.478,0.019,1.9,0.0347,-0.0015,268,0.98,0.474,0.03,2.2,-0.0022,-0.02200000000000002,0,-0.30000000000000027
US30I,C_forward,long,100pt / 100pt,cross,21/55,268,-0.0026,0.968,0.5,0.019,0.47,0.485,0.026,2.1,0.0348,-0.0015,268,0.98,0.474,0.03,2.2,-0.0010999999999999998,-0.01200000000000001,0,-0.10000000000000009
US30I,C_forward,long,100pt / 100pt,state,13/48,268,0.01,1.114,0.526,0.231,0.336,0.418,0.015,1.5,0.0318,-0.0015,268,0.98,0.474,0.03,2.2,0.0115,0.13400000000000012,0,-0.7000000000000002
US30I,C_forward,long,100pt / 100pt,state,21/55,268,0.0125,1.148,0.53,0.216,0.343,0.425,0.015,1.4,0.0316,-0.0015,268,0.98,0.474,0.03,2.2,0.014,0.16799999999999993,0,-0.8000000000000003
US30I,C_forward,both,1.5N / none,cross,13/48,315,0.0008,0.991,0.302,0.07,0.629,0.0,0.302,9.7,0.0605,0.008,315,1.037,0.654,0.346,10.4,-0.0072,-0.04599999999999993,0,-0.7000000000000011
US30I,C_forward,both,1.5N / none,cross,21/55,315,0.008,1.04,0.305,0.048,0.635,0.0,0.317,10.1,0.0616,0.008,315,1.037,0.654,0.346,10.4,0.0,0.0030000000000001137,0,-0.3000000000000007
US30I,C_forward,both,1.5N / none,state,13/48,319,-0.0009,0.984,0.361,0.301,0.492,0.0,0.207,6.7,0.0521,0.008,315,1.037,0.654,0.346,10.4,-0.0089,-0.052999999999999936,4,-3.7
US30I,C_forward,both,1.5N / none,state,21/55,319,-0.0023,0.974,0.364,0.323,0.473,0.0,0.204,6.6,0.0497,0.008,315,1.037,0.654,0.346,10.4,-0.0103,-0.06299999999999994,4,-3.8000000000000007
US30I,C_forward,both,100pt / 100pt,cross,13/48,328,-0.0114,0.886,0.482,0.037,0.479,0.457,0.027,2.1,0.0313,-0.0098,328,0.902,0.491,0.037,2.4,-0.0016000000000000007,-0.016000000000000014,0,-0.2999999999999998
US30I,C_forward,both,100pt / 100pt,cross,21/55,328,-0.01,0.898,0.482,0.021,0.482,0.463,0.034,2.2,0.0313,-0.0098,328,0.902,0.491,0.037,2.4,-0.00020000000000000052,-0.0040000000000000036,0,-0.19999999999999973
US30I,C_forward,both,100pt / 100pt,state,13/48,329,-0.003,0.959,0.498,0.222,0.371,0.392,0.015,1.5,0.0289,-0.0098,328,0.902,0.491,0.037,2.4,0.0068,0.05699999999999994,1,-0.8999999999999999
US30I,C_forward,both,100pt / 100pt,state,21/55,330,-0.0016,0.974,0.5,0.221,0.373,0.391,0.015,1.4,0.0285,-0.0098,328,0.902,0.491,0.037,2.4,0.008199999999999999,0.07199999999999995,2,-1.0
