,n,pts,tot_pts,pct,tot_pct,share,of_net
stop / ratchet,22,-11.790000000000003,-259.38000000000005,-0.022576381441504347,-0.49668039171309564,0.38596491228070173,-0.24344634964204936
target,21,97.71,2051.91,0.18781414880529593,3.9440971249112144,0.3684210526315789,1.9331869421734227
opposite cross,14,-52.11499999999917,-729.6099999999884,-0.10051514376858382,-1.4072120127601735,0.24561403508771928,-0.6897405925313734
