,rule,no gate,no breakeven,no cross exit,long only,short only,always long
rule,1.0,0.4237915804399453,0.8370402067261137,0.9646252006700544,0.8042525027239078,0.5206154402712426,0.14962012957345136
no gate,0.4237915804399453,1.0,0.31547611659432173,0.42132452256400404,0.41893209617137195,0.1130199538123783,0.11674135863337504
no breakeven,0.8370402067261137,0.31547611659432173,1.0,0.8072901569244806,0.6781122551396784,0.42990394553633077,0.08591468630635755
no cross exit,0.9646252006700544,0.42132452256400404,0.8072901569244806,1.0,0.7629787978927952,0.5215115109789233,0.13956447687738013
long only,0.8042525027239078,0.41893209617137195,0.6781122551396784,0.7629787978927952,1.0,-0.056547579495083856,0.36103617007656613
short only,0.5206154402712426,0.1130199538123783,0.42990394553633077,0.5215115109789233,-0.056547579495083856,1.0,-0.25626260644188226
always long,0.14962012957345136,0.11674135863337504,0.08591468630635755,0.13956447687738013,0.36103617007656613,-0.25626260644188226,1.0
