,n,pts,tot,tot_pct,share,of_net
stop / ratchet,26,-16.349421737165112,-425.08496516629293,-0.816105715507578,0.5909090909090909,-0.3387243909242048
target,17,97.71,1661.07,3.186453111669182,0.38636363636363635,1.322536246161921
flatten 10:30,1,20.71,20.71,0.03900291156452336,0.022727272727272728,0.01618814476228371
