feed,block,side,geom,atr,n,pct,pf,med_atr,risk,mde
US30I,C_forward,both,1.5N / 3ATR,14,316,-0.0094,0.919,68.09,102.1,0.0485
US30I,C_forward,long,1.5N / none,21,268,0.0148,1.091,59.26,88.9,0.0645
US30I,C_forward,long,1.5N / 3ATR,21,268,-0.002,0.973,59.26,88.9,0.0479
US30I,C_forward,both,1.5N / none,21,319,0.0171,1.107,59.19,88.8,0.0597
US30I,C_forward,both,1.5N / 3ATR,21,319,-0.0045,0.951,59.19,88.8,0.0434
US30I,C_forward,long,1.5N / none,30,268,0.0076,1.041,52.62,78.9,0.062
US30I,C_forward,long,1.5N / 3ATR,30,268,-0.0002,0.986,52.62,78.9,0.0446
US30I,C_forward,both,1.5N / none,30,323,0.0167,1.118,52.69,79.0,0.0581
US30I,C_forward,both,1.5N / 3ATR,30,324,-0.003,0.964,52.71,79.1,0.0395
US30I,C_forward,long,1.5N / none,50,268,0.002,1.004,46.69,70.0,0.058
US30I,C_forward,long,1.5N / 3ATR,50,268,-0.0048,0.944,46.69,70.0,0.0394
US30I,C_forward,both,1.5N / none,50,324,0.008,1.058,46.66,70.0,0.0552
US30I,C_forward,both,1.5N / 3ATR,50,327,-0.0099,0.902,46.82,70.2,0.0353
