feed,block,side,geom,read,strict,recency,arm,n,per,keep,mde,p,base,vs_none
US30L,B_holdout,long,1.5N / none,any,True,75,fresh,76,0.021646515656447346,0.10852329038652131,0.17156520427918645,0.35333333333333333,0.009765797683072603,0.011880717973374743
US30L,A_research,long,1.5N / none,any,True,150,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,any,True,150,m200,882,0.00970690271981625,0.6154608523290387,0.04101615608802494,0.68,0.014533567355964509,-0.004826664636148259
US30L,A_research,long,1.5N / none,any,True,150,or,968,0.004788905761987693,0.6808721506442021,0.039139811755924084,0.8633333333333333,0.014533567355964509,-0.009744661593976816
US30L,A_research,long,1.5N / none,any,True,150,fresh,200,0.006344293255549655,0.15213082259663033,0.10068326404688883,0.62,0.014533567355964509,-0.008189274100414853
US30L,B_holdout,long,1.5N / none,any,True,150,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,any,True,150,m200,360,-0.009969297309499072,0.6154608523290387,0.05440306655111633,0.8866666666666667,0.009765797683072603,-0.019735094992571676
US30L,B_holdout,long,1.5N / none,any,True,150,or,406,-0.017080577480541294,0.6808721506442021,0.05353601544259583,0.9733333333333334,0.009765797683072603,-0.0268463751636139
US30L,B_holdout,long,1.5N / none,any,True,150,fresh,107,0.02369690613831953,0.15213082259663033,0.13376989657856073,0.35333333333333333,0.009765797683072603,0.013931108455246926
US30L,A_research,long,1.5N / none,any,False,30,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,any,False,30,m200,882,0.00970690271981625,0.6154608523290387,0.04101615608802494,0.68,0.014533567355964509,-0.004826664636148259
US30L,A_research,long,1.5N / none,any,False,30,or,926,0.009520367406835225,0.6496531219028742,0.04006924185634256,0.7066666666666667,0.014533567355964509,-0.005013199949129283
US30L,A_research,long,1.5N / none,any,False,30,fresh,91,0.007669845891849825,0.07135777998017839,0.11703212487053194,0.5833333333333334,0.014533567355964509,-0.006863721464114684
US30L,B_holdout,long,1.5N / none,any,False,30,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,any,False,30,m200,360,-0.009969297309499072,0.6154608523290387,0.05440306655111633,0.8866666666666667,0.009765797683072603,-0.019735094992571676
US30L,B_holdout,long,1.5N / none,any,False,30,or,385,-0.016480612419304905,0.6496531219028742,0.05463740401482653,0.9633333333333334,0.009765797683072603,-0.026246410102377507
US30L,B_holdout,long,1.5N / none,any,False,30,fresh,53,0.01608861925263593,0.07135777998017839,0.20048862960034633,0.41,0.009765797683072603,0.006322821569563328
US30L,A_research,long,1.5N / none,any,False,75,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,any,False,75,m200,882,0.00970690271981625,0.6154608523290387,0.04101615608802494,0.68,0.014533567355964509,-0.004826664636148259
US30L,A_research,long,1.5N / none,any,False,75,or,948,0.007822893369025464,0.6665014866204163,0.03936502128010956,0.75,0.014533567355964509,-0.006710673986939045
US30L,A_research,long,1.5N / none,any,False,75,fresh,152,0.030711786220363003,0.11496531219028741,0.11905253529420315,0.3433333333333333,0.014533567355964509,0.016178218864398495
US30L,B_holdout,long,1.5N / none,any,False,75,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,any,False,75,m200,360,-0.009969297309499072,0.6154608523290387,0.05440306655111633,0.8866666666666667,0.009765797683072603,-0.019735094992571676
US30L,B_holdout,long,1.5N / none,any,False,75,or,397,-0.01754996889466187,0.6665014866204163,0.05377848528728643,0.9766666666666667,0.009765797683072603,-0.027315766577734477
US30L,B_holdout,long,1.5N / none,any,False,75,fresh,80,0.027238686349252018,0.11496531219028741,0.16508514674471564,0.31666666666666665,0.009765797683072603,0.017472888666179416
US30L,A_research,long,1.5N / none,any,False,150,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,any,False,150,m200,882,0.00970690271981625,0.6154608523290387,0.04101615608802494,0.68,0.014533567355964509,-0.004826664636148259
US30L,A_research,long,1.5N / none,any,False,150,or,984,0.00493766702140989,0.6917740336967294,0.03872701929840775,0.87,0.014533567355964509,-0.009595900334554618
US30L,A_research,long,1.5N / none,any,False,150,fresh,231,0.005108788312298315,0.1709613478691774,0.0911439765046574,0.6033333333333334,0.014533567355964509,-0.009424779043666193
US30L,B_holdout,long,1.5N / none,any,False,150,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,any,False,150,m200,360,-0.009969297309499072,0.6154608523290387,0.05440306655111633,0.8866666666666667,0.009765797683072603,-0.019735094992571676
US30L,B_holdout,long,1.5N / none,any,False,150,or,412,-0.018328525511256674,0.6917740336967294,0.052986803494858244,0.98,0.009765797683072603,-0.02809432319432928
US30L,B_holdout,long,1.5N / none,any,False,150,fresh,114,0.02083740016505763,0.1709613478691774,0.12736731905665208,0.37,0.009765797683072603,0.011071602481985026
US30L,A_research,long,1.5N / none,all,True,30,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,all,True,30,m200,777,0.014987706401283076,0.5411298315163529,0.043519074729487496,0.4766666666666667,0.014533567355964509,0.0004541390453185676
US30L,A_research,long,1.5N / none,all,True,30,or,818,0.015300435446581892,0.5743310208126858,0.042526487846193915,0.49333333333333335,0.014533567355964509,0.0007668680906173838
US30L,A_research,long,1.5N / none,all,True,30,fresh,86,0.018869198803525042,0.06788899900891972,0.12290848142777057,0.49333333333333335,0.014533567355964509,0.004335631447560533
US30L,B_holdout,long,1.5N / none,all,True,30,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,all,True,30,m200,315,-0.004518698563282263,0.5411298315163529,0.05513349291312986,0.7233333333333334,0.009765797683072603,-0.014284496246354866
US30L,B_holdout,long,1.5N / none,all,True,30,or,341,-0.01273852454146886,0.5743310208126858,0.055711631601011086,0.89,0.009765797683072603,-0.022504322224541462
US30L,B_holdout,long,1.5N / none,all,True,30,fresh,51,0.01160842199094552,0.06788899900891972,0.2066497574201052,0.44666666666666666,0.009765797683072603,0.0018426243078729174
US30L,A_research,long,1.5N / none,all,True,75,none,1418,0.014533567355964509,1.0,0.03936988183598201,,0.014533567355964509,0.0
US30L,A_research,long,1.5N / none,all,True,75,m200,777,0.014987706401283076,0.5411298315163529,0.043519074729487496,0.4766666666666667,0.014533567355964509,0.0004541390453185676
US30L,A_research,long,1.5N / none,all,True,75,or,842,0.014714850984093758,0.5931615460852329,0.04187816547337336,0.5166666666666667,0.014533567355964509,0.0001812836281292491
US30L,A_research,long,1.5N / none,all,True,75,fresh,143,0.039720730539476196,0.10852329038652131,0.12558992703350463,0.26,0.014533567355964509,0.025187163183511687
US30L,B_holdout,long,1.5N / none,all,True,75,none,600,0.009765797683072603,1.0,0.05924452750461042,,0.009765797683072603,0.0
US30L,B_holdout,long,1.5N / none,all,True,75,m200,315,-0.004518698563282263,0.5411298315163529,0.05513349291312986,0.7233333333333334,0.009765797683072603,-0.014284496246354866
