block,n,mean,lo,hi,p_le0
ALL,44,0.054757961539230175,0.02329515812060171,0.08731359108804691,0.0003333333333333333
IS,22,0.03912892161876558,-0.0034367920194779858,0.08629350911049659,0.0355
OOS,22,0.07038700145969475,0.024179879391683236,0.11535925103714811,0.0006666666666666666
