be_pts,be_off,fix,n,pts,win,thru
0.0,0.0,0,57,17.65561403508787,0.49122807017543857,0.0
0.0,0.0,1,57,17.65561403508787,0.49122807017543857,0.0
43.0,5.0,0,57,18.717894736842307,0.7017543859649122,0.0
43.0,5.0,1,57,18.647719298245814,0.7017543859649122,0.03508771929824561
43.0,0.0,0,57,18.80561403508792,0.38596491228070173,0.0
43.0,0.0,1,57,18.80561403508792,0.38596491228070173,0.0
25.0,5.0,0,57,12.697719298245662,0.8421052631578947,0.0
25.0,5.0,1,57,10.8959649122808,0.7894736842105263,0.14035087719298245
75.0,5.0,0,57,20.26263157894749,0.6140350877192983,0.0
75.0,5.0,1,57,20.26263157894749,0.6140350877192983,0.0
