study,p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_n,r_tpy,r_sharpe,r_sortino,r_pf,r_tot,r_per,r_maxdd,r_retdd,r_win,r_dsd,box_edges
intraday_sharpe,555,both,0.5,7,atr,4.802864787181501,251.10031531794192,points,6.914194893817729,360.440436733113,960,100.0,3.0,off,150,state,off,off,0.25,1674,271.14345898004433,1.1521004589141195,1.7629714502222666,1.260910994541627,76.32483388633239,0.04559428547570632,13.170786110523625,5.795009747014863,0.6057347670250897,0.35906983768883033,
intraday_sortino,570,long,0.2,14,atr,3.2377504926804073,93.57358852590583,points,5.864062384574136,390.88662380566325,960,50.0,25.0,200all,75,state,state,off,0.25,728,117.91662971175167,1.22623711787919,2.372151038932125,1.492327507400135,30.549029146176718,0.04196295212386912,3.4941218030619403,8.742977740331273,0.5879120879120879,0.10681036814046498,
intraday_retdd,570,long,0.0,50,atr,3.254405798254252,92.8934404118899,points,5.059518872324002,357.97139327515106,960,50.0,10.0,200all,15,state,state,behind,0.5,807,130.71252771618626,1.123462828126665,2.2961727418306026,1.4246051290849358,29.604532740323897,0.03668467501898872,2.5755256938958144,11.494559270167182,0.5551425030978935,0.10693305899727851,
free_sharpe,570,long,0.2,21,atr,3.173999968511534,166.30426321950887,points,7.536559549889861,295.0680145816276,0,50.0,25.0,200all,75,state,cross,through,0.25,701,113.54334811529934,1.4867489228815522,3.0975979236710236,1.6231078984101253,44.91039682314812,0.06406618662360644,4.192609607841085,10.711800292389729,0.6176890156918687,0.12024864322286215,
free_sortino,570,long,0.1,21,points,1.9213076911155824,28.33143302973189,none,4.909155410137496,109.7975119204703,0,50.0,10.0,200all,30,state,cross,behind,1.0,747,120.9941241685144,0.9690435470605729,4.553240273482761,1.588375515381351,31.490522453518928,0.04215598722023953,3.7015282163634318,8.507438174943,0.35207496653279785,0.05736112156977873,stop_pts
free_retdd,570,long,0.1,21,points,1.7767346477671937,210.44196515700145,r,2.9910853359654386,254.35287064321403,0,150.0,25.0,200any,75,state,cross,confluence,0.25,722,116.94478935698447,1.2860196782122708,2.915994951542854,1.5155921051964198,67.52850044472703,0.09352977900931722,4.3937990177779795,15.369046278970986,0.46537396121883656,0.19206961903612987,
