knob,value,n,pct,tot,win,t,live
stop_atr,1.0,45,0.034478612369471646,1.5515375566262242,0.4666666666666667,2.426549534691797,False
stop_atr,1.5,44,0.05070458614262847,2.2310017902756525,0.5909090909090909,3.326869371233932,False
stop_atr,2.0,44,0.051920498412735695,2.2845019301603706,0.6136363636363636,3.2408502036528537,False
stop_atr,2.25,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
stop_atr,2.5,44,0.05297611095162122,2.3309488818713335,0.6363636363636364,3.1496997455762696,False
stop_atr,3.0,44,0.05336404875319793,2.348018145140709,0.6818181818181818,3.165298031726251,False
stop_atr,4.0,44,0.050577832864826,2.225424646052344,0.7045454545454546,2.903126730387237,False
tgt_pts,40.0,44,0.027385615503240455,1.20496708214258,0.6363636363636364,2.935614918710713,False
tgt_pts,60.0,44,0.03755392214309028,1.6523725742959723,0.6363636363636364,3.20945798785809,False
tgt_pts,80.0,44,0.04662607743464615,2.0515474071244304,0.6363636363636364,3.300390966444424,False
tgt_pts,100.0,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
tgt_pts,125.0,44,0.06239225314432482,2.745259138350292,0.6363636363636364,3.229943630118361,False
tgt_pts,150.0,44,0.05295956113883263,2.3302206901086358,0.6363636363636364,2.5736662905794105,False
tgt_pts,200.0,44,0.05151510989692353,2.2666648354646353,0.6363636363636364,2.2403211686841393,False
atr_n,14.0,44,0.052918869558802914,2.328430260587328,0.6590909090909091,3.1350275267341288,False
atr_n,21.0,44,0.053043866669253266,2.3339301334471436,0.6363636363636364,3.1587379446245416,False
atr_n,30.0,44,0.053971938425316494,2.374765290713926,0.6363636363636364,3.241460747493424,False
atr_n,45.0,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
atr_n,60.0,44,0.05518070070300414,2.4279508309321822,0.6363636363636364,3.353328422734296,False
atr_n,90.0,44,0.055655004309637796,2.448820189624063,0.6363636363636364,3.399330310712634,False
cross_min,1.0,26,0.09517417515143281,2.4745285539372532,0.8076923076923077,4.637929422529491,False
cross_min,2.0,31,0.08426308132887612,2.61215552119516,0.8064516129032258,4.529019572173426,False
cross_min,3.0,37,0.07344188235654783,2.71734964719227,0.7297297297297297,4.076326861026286,False
cross_min,5.0,44,0.054757961539230175,2.4093503077261276,0.6363636363636364,3.3132825472129945,True
cross_min,8.0,63,0.03680699138286138,2.3188404571202668,0.5873015873015873,2.706711952064712,False
cross_min,12.0,79,0.023841441494949777,1.8834738781010325,0.5316455696202531,2.04780674767749,False
cross_min,20.0,102,0.01125998072847779,1.1485180343047345,0.4411764705882353,1.1703736220460685,False
