feed,block,side,label,n,keep,pct,pf,win,tot,ctl_ent,p_ent,ctl_gate,p_gate,mde
NQ,A_research,long,+ ema cross<=20,127,0.283,0.019,1.157,0.307,2.41,0.0483,0.835,0.0364,0.688,0.1203
NQ,A_research,short,bare breakout,457,,-0.0127,0.965,0.252,-5.82,-0.0021,0.76,,,0.0703
NQ,A_research,short,+ ema13>48 state,195,0.422,0.0146,1.093,0.272,2.86,0.0071,0.398,-0.002,0.255,0.1119
NQ,A_research,short,+ ema cross<=5,54,0.114,0.1091,1.638,0.296,5.89,0.0271,0.04,-0.0088,0.06,0.2595
NQ,A_research,short,+ ema cross<=20,126,0.267,0.0187,1.116,0.262,2.35,0.0034,0.263,-0.0041,0.27,0.138
NQ,A_research,both,bare breakout,576,,0.0162,1.115,0.28,9.31,0.0075,0.26,,,0.0587
NQ,A_research,both,+ ema13>48 state,455,0.5,0.0228,1.137,0.279,10.37,0.0223,0.49,0.0257,0.545,0.0667
NQ,A_research,both,+ ema cross<=5,100,0.12,0.0823,1.526,0.32,8.23,0.0541,0.203,0.0191,0.105,0.168
NQ,A_research,both,+ ema cross<=20,214,0.275,0.003,1.039,0.28,0.63,0.0282,0.88,0.0238,0.71,0.0935
NQ,B_holdout,long,bare breakout,211,,0.0605,1.247,0.336,12.78,0.0475,0.372,,,0.17
NQ,B_holdout,long,+ ema13>48 state,125,0.577,0.0853,1.367,0.32,10.67,0.051,0.19,0.0397,0.015,0.2584
NQ,B_holdout,long,+ ema cross<=5,31,0.126,0.3473,2.507,0.323,10.77,0.3238,0.427,0.0353,0.0,0.9677
NQ,B_holdout,long,+ ema cross<=20,64,0.283,0.2588,2.357,0.422,16.56,0.1957,0.2,0.0364,0.0,0.4885
NQ,B_holdout,short,bare breakout,218,,0.0205,1.09,0.257,4.47,0.0056,0.292,,,0.1422
NQ,B_holdout,short,+ ema13>48 state,90,0.422,0.0078,1.008,0.233,0.7,-0.0264,0.225,-0.002,0.35,0.2134
NQ,B_holdout,short,+ ema cross<=5,23,0.114,0.0926,1.498,0.261,2.13,-0.0736,0.052,-0.0088,0.08,0.5038
NQ,B_holdout,short,+ ema cross<=20,54,0.267,0.0207,1.163,0.278,1.12,-0.0742,0.04,-0.0041,0.253,0.2473
NQ,B_holdout,both,bare breakout,275,,0.0802,1.342,0.316,22.06,0.0638,0.305,,,0.1538
NQ,B_holdout,both,+ ema13>48 state,212,0.5,0.0567,1.211,0.283,12.02,0.0173,0.095,0.0257,0.062,0.1769
NQ,B_holdout,both,+ ema cross<=5,48,0.12,0.2773,2.238,0.292,13.31,0.1893,0.172,0.0191,0.0,0.6618
NQ,B_holdout,both,+ ema cross<=20,97,0.275,0.1964,2.031,0.351,19.05,0.1133,0.052,0.0238,0.0,0.3449
