jitter_ticks,draws,sign_kept,n_med,mean_p5,mean_med,mean_p95
0.5,50,1.0,58.0,0.03272764648679819,0.03798567570244149,0.04090085242935566
1.0,50,1.0,59.0,0.03151269985339956,0.03752133729340361,0.043600899750452185
2.0,50,1.0,60.0,0.028853598814711497,0.03556363853500179,0.043419832996418155
