feed,win,buf,side,ema,stop,tgt,flat,block,n,pct,tot,pf,win_r
US30L15,540-570,0.0,long,off,0.5,0.0,660,res,1378,-0.008401193674328455,-11.576844883224611,0.8868620249067194,0.19085631349782292
US30L15,540-570,0.0,long,off,0.5,0.0,660,lock,585,-0.011388252532534152,-6.662127731532479,0.8247563254822126,0.1794871794871795
US30L15,540-570,0.0,long,off,0.5,0.0,720,res,1378,-0.0022000962977753425,-3.031732698334422,0.9761600045485939,0.17561683599419448
US30L15,540-570,0.0,long,off,0.5,0.0,720,lock,585,-0.010750704979981807,-6.2891624132893575,0.8415675470637158,0.1623931623931624
US30L15,540-570,0.0,long,off,0.5,0.0,960,res,1378,-0.004463143969004309,-6.150212389287938,0.954750261155606,0.11828737300435414
US30L15,540-570,0.0,long,off,0.5,0.0,960,lock,585,-0.00885132733139717,-5.178026488867344,0.8765812159897518,0.11452991452991453
US30L15,540-570,0.0,long,off,0.5,1.0,660,res,1378,-0.02063548497677894,-28.43569829800138,0.6011649454824003,0.397677793904209
US30L15,540-570,0.0,long,off,0.5,1.0,660,lock,585,-0.023617278833450082,-13.816108117568298,0.5113685298592602,0.36923076923076925
US30L15,540-570,0.0,long,off,0.5,1.0,720,res,1378,-0.020683096471507834,-28.501306937737795,0.6011774766562928,0.3991291727140784
US30L15,540-570,0.0,long,off,0.5,1.0,720,lock,585,-0.02384807471893399,-13.951123710576384,0.5076524036223319,0.37094017094017095
US30L15,540-570,0.0,long,off,0.5,1.0,960,res,1378,-0.020801451825900406,-28.66440061609076,0.5998675197823992,0.3984034833091437
US30L15,540-570,0.0,long,off,0.5,1.0,960,lock,585,-0.02368755157720559,-13.85721767266527,0.51229086676697,0.36923076923076925
US30L15,540-570,0.0,long,off,0.5,1.0,0,res,1378,-0.020779159188414,-28.633681361634494,0.600118553361674,0.3984034833091437
US30L15,540-570,0.0,long,off,0.5,1.0,0,lock,585,-0.02368755157720559,-13.85721767266527,0.51229086676697,0.36923076923076925
US30L15,540-570,0.0,long,off,0.5,1.5,660,res,1378,-0.013281625895608638,-18.302080484148703,0.7536078546989097,0.35921625544267055
US30L15,540-570,0.0,long,off,0.5,1.5,660,lock,585,-0.01761867168786036,-10.306922937398312,0.6583771307919389,0.3384615384615385
US30L15,540-570,0.0,long,off,0.5,1.5,720,res,1378,-0.013215559281015208,-18.211040689238956,0.7562165577399281,0.3606676342525399
US30L15,540-570,0.0,long,off,0.5,1.5,720,lock,585,-0.01709178531595674,-9.998694409834695,0.6695755276228555,0.3418803418803419
US30L15,540-570,0.0,long,off,0.5,1.5,960,res,1378,-0.013373433832698954,-18.428591821459158,0.7542730663054115,0.3584905660377358
US30L15,540-570,0.0,long,off,0.5,1.5,960,lock,585,-0.017024063378205057,-9.959077076249958,0.6722525417572752,0.3384615384615385
US30L15,540-570,0.0,long,off,0.5,1.5,0,res,1378,-0.013351141195212548,-18.397872567002892,0.7545638417943612,0.3584905660377358
US30L15,540-570,0.0,long,off,0.5,1.5,0,lock,585,-0.017024063378205057,-9.959077076249958,0.6722525417572752,0.3384615384615385
US30L15,540-570,0.0,long,off,0.5,2.0,660,res,1378,-0.01096930618490747,-15.115703922802492,0.8211451962651447,0.31567489114658925
US30L15,540-570,0.0,long,off,0.5,2.0,660,lock,585,-0.0133884867864921,-7.832264770097879,0.7541947101603618,0.30256410256410254
US30L15,540-570,0.0,long,off,0.5,2.0,720,res,1378,-0.012584991359354406,-17.342118093190372,0.8024239129570057,0.3149492017416546
US30L15,540-570,0.0,long,off,0.5,2.0,720,lock,585,-0.014824756401755861,-8.672482495027179,0.7336348907887754,0.30256410256410254
US30L15,540-570,0.0,long,off,0.5,2.0,960,res,1378,-0.012827729945845133,-17.676611865374593,0.7987251500699156,0.3113207547169811
US30L15,540-570,0.0,long,off,0.5,2.0,960,lock,585,-0.013740180057481894,-8.038005333626908,0.7538597081397758,0.30085470085470084
US30L15,540-570,0.0,long,off,0.5,2.0,0,res,1378,-0.012805437308358729,-17.645892610918327,0.7990082725285754,0.3113207547169811
US30L15,540-570,0.0,long,off,0.5,2.0,0,lock,585,-0.0138939827364461,-8.127979900820968,0.7514676609095294,0.29914529914529914
US30L15,540-570,0.0,long,off,0.5,3.0,660,res,1378,-0.009803538567774663,-13.509276146393486,0.8593179706614359,0.25181422351233673
US30L15,540-570,0.0,long,off,0.5,3.0,660,lock,585,-0.011252491156818588,-6.582707326738873,0.8136867489145465,0.24615384615384617
US30L15,540-570,0.0,long,off,0.5,3.0,720,res,1378,-0.009004119143780723,-12.407676180129837,0.8708950722638109,0.2532656023222061
US30L15,540-570,0.0,long,off,0.5,3.0,720,lock,585,-0.012817258226497309,-7.498096062500926,0.791803993926124,0.24273504273504273
US30L15,540-570,0.0,long,off,0.5,3.0,960,res,1378,-0.00968697038059292,-13.348645184457043,0.8620968103215361,0.2467343976777939
US30L15,540-570,0.0,long,off,0.5,3.0,960,lock,585,-0.010808785967463553,-6.323139790966179,0.826198636996739,0.23931623931623933
US30L15,540-570,0.0,long,off,0.5,3.0,0,res,1378,-0.009664015301071357,-13.31701308487633,0.8627557720351773,0.24600870827285923
US30L15,540-570,0.0,long,off,0.5,3.0,0,lock,585,-0.01109366983851103,-6.489796855528953,0.8218976395564853,0.2358974358974359
US30L15,540-570,0.0,long,off,1.0,0.0,660,res,1378,0.0009614917154351696,1.3249355838696637,1.0154648587251263,0.3490566037735849
US30L15,540-570,0.0,long,off,1.0,0.0,660,lock,585,-0.009151977195756467,-5.353906659517533,0.9039505894716838,0.31794871794871793
US30L15,540-570,0.0,long,off,1.0,0.0,720,res,1378,0.004635468025968634,6.387674939784777,1.0483775731846199,0.3134978229317852
US30L15,540-570,0.0,long,off,1.0,0.0,720,lock,585,-0.007494110883350108,-4.384054866759813,0.9236792915053349,0.29743589743589743
US30L15,540-570,0.0,long,off,1.0,0.0,960,res,1378,0.01524836854029563,21.012251848527377,1.1241743080328903,0.24310595065312046
US30L15,540-570,0.0,long,off,1.0,0.0,960,lock,585,0.016075639259173595,9.404248966616553,1.1300975288643818,0.2205128205128205
US30L15,540-570,0.0,long,off,1.0,1.0,660,res,1378,-0.007495144181454927,-10.32830868204489,0.9124668567639018,0.49927431059506533
US30L15,540-570,0.0,long,off,1.0,1.0,660,lock,585,-0.009890438795492206,-5.785906695362941,0.8629910958640991,0.4905982905982906
US30L15,540-570,0.0,long,off,1.0,1.0,720,res,1378,-0.010495239900321125,-14.462440582642511,0.8844230486239377,0.49709724238026126
US30L15,540-570,0.0,long,off,1.0,1.0,720,lock,585,-0.012162367007129759,-7.1149846991709085,0.8378602952507347,0.49743589743589745
US30L15,540-570,0.0,long,off,1.0,1.0,960,res,1378,-0.011685445913009615,-16.10254446812725,0.8791252723237926,0.49709724238026126
US30L15,540-570,0.0,long,off,1.0,1.0,960,lock,585,-0.009825905090091722,-5.7481544777036575,0.8686244022727612,0.49743589743589745
US30L15,540-570,0.0,long,off,1.0,1.0,0,res,1378,-0.011845731857190595,-16.32341849920864,0.8769665815802115,0.49782293178519593
US30L15,540-570,0.0,long,off,1.0,1.0,0,lock,585,-0.010325174037039203,-6.040226811667933,0.8625899117991108,0.49572649572649574
US30L15,540-570,0.0,long,off,1.0,1.5,660,res,1378,-0.005255788181562272,-7.242476114192812,0.9492352958441174,0.420899854862119
US30L15,540-570,0.0,long,off,1.0,1.5,660,lock,585,-0.009795340071994875,-5.730273942117002,0.8844302501198718,0.40854700854700854
