feed,block,side,geom,atr,n,pct,pf,med_atr,risk,mde,pct_14,n_14,pf_14,risk_14,d_pct,d_n
US30I,C_forward,long,1.5N / 3ATR,21,268,-0.002,0.973,59.26,88.9,0.0479,-0.0051,268,0.951,102.7,0.0031000000000000003,0
US30I,C_forward,both,1.5N / none,21,319,0.0171,1.107,59.19,88.8,0.0597,0.008,315,1.037,102.3,0.0091,4
US30I,C_forward,both,1.5N / 3ATR,21,319,-0.0045,0.951,59.19,88.8,0.0434,-0.0094,316,0.919,102.1,0.004900000000000001,3
US30I,C_forward,long,1.5N / none,30,268,0.0076,1.041,52.62,78.9,0.062,0.0087,268,1.043,102.7,-0.0010999999999999994,0
US30I,C_forward,long,1.5N / 3ATR,30,268,-0.0002,0.986,52.62,78.9,0.0446,-0.0051,268,0.951,102.7,0.004900000000000001,0
US30I,C_forward,both,1.5N / none,30,323,0.0167,1.118,52.69,79.0,0.0581,0.008,315,1.037,102.3,0.0087,8
US30I,C_forward,both,1.5N / 3ATR,30,324,-0.003,0.964,52.71,79.1,0.0395,-0.0094,316,0.919,102.1,0.0064,8
US30I,C_forward,long,1.5N / none,50,268,0.002,1.004,46.69,70.0,0.058,0.0087,268,1.043,102.7,-0.006699999999999999,0
US30I,C_forward,long,1.5N / 3ATR,50,268,-0.0048,0.944,46.69,70.0,0.0394,-0.0051,268,0.951,102.7,0.0003000000000000008,0
US30I,C_forward,both,1.5N / none,50,324,0.008,1.058,46.66,70.0,0.0552,0.008,315,1.037,102.3,0.0,9
US30I,C_forward,both,1.5N / 3ATR,50,327,-0.0099,0.902,46.82,70.2,0.0353,-0.0094,316,0.919,102.1,-0.0005000000000000004,11
