,fresh cross,13>48 state,vs the 200,is long,ATR above median
fresh cross,1.0,0.392600736557975,-0.263052140404576,0.08128201109529433,0.1462979547282511
13>48 state,0.392600736557975,1.0,0.29381625656866533,0.16967512874716792,-0.2843816344145622
vs the 200,-0.263052140404576,0.29381625656866533,1.0,0.06345449817872643,-0.21600691233179367
is long,0.08128201109529433,0.16967512874716792,0.06345449817872643,1.0,-0.16093017145509608
ATR above median,0.1462979547282511,-0.2843816344145622,-0.21600691233179367,-0.16093017145509608,1.0
