arm,feed,block,n,per,sd,mde,ratio,ci_lo,ci_hi,p_le0
intraday_sharpe,US30L,A_research,1674,0.04559428547570632,0.583363392708333,0.03995117684273129,1.1412501227483047,0.01694256642620214,0.07490198407446971,0.0005
intraday_sortino,US30L,A_research,728,0.0419629521238691,0.3335410467017339,0.03463791391974702,1.2114745772823832,0.01866595518064048,0.06552213488083615,0.0
intraday_retdd,US30L,A_research,807,0.03668467501898872,0.33554436606381466,0.03309644252725747,1.1084174677920766,0.014126162654687847,0.06036640382438703,0.0005
free_sharpe,US30L,A_research,701,0.06406618662360644,0.41101073060048704,0.043497298254330304,1.472877378475534,0.03385807704951264,0.09682889263370228,0.0
free_sortino,US30L,A_research,747,0.04215598722023953,0.4303427541738919,0.04411866119287018,0.9555137458942695,0.013617528964164231,0.07336345611866987,0.001
free_retdd,US30L,A_research,722,0.09352977900931722,0.7055386050021886,0.07357331325392719,1.271245984077315,0.04258855855333943,0.1468409274969282,0.0
DEFAULT (shipped),US30L,A_research,1734,0.006677995054576398,0.5321560086229753,0.03580820527921692,0.18649343083531486,-0.01787725903919088,0.03271641724377573,0.282
USER (their inputs),US30L,A_research,281,-0.012982301468644408,0.29379743961553983,0.04910921337113685,0.26435572018904596,-0.04931215272286249,0.021136930581365426,0.772
RANDOM cell 1,US30L,A_research,83,-0.037091395983312146,0.2833032802534546,0.08713260289690178,0.4256890618451962,-0.09365643184701626,0.026203513134184928,0.8915
RANDOM cell 2,US30L,A_research,541,0.006122338445061451,0.513850007860594,0.06190216890069237,0.09890345611126032,-0.03666107496516255,0.05156347905093293,0.399
RANDOM cell 3,US30L,A_research,570,-0.034292123826907175,0.39732342952278976,0.04663101606147684,0.7353930221399751,-0.06668241066208357,-8.89350651540571e-06,0.975
intraday_sharpe,US30L,B_holdout,719,-0.016943020202603177,0.46991042766995506,0.04910421450111923,0.3450420778488778,-0.05211361145928108,0.015662869100349554,0.839
intraday_sortino,US30L,B_holdout,295,-0.0028670297699895458,0.28038281547192556,0.045741301260638474,0.06267923497962871,-0.03398596628057369,0.027667516716628357,0.569
intraday_retdd,US30L,B_holdout,332,0.0022328554354434714,0.2801709421078893,0.04308461133965266,0.05182489445804694,-0.028632186943398145,0.03546162145334599,0.439
free_sharpe,US30L,B_holdout,305,-0.002286384965042571,0.31261317632746255,0.05015629989071828,0.04558520006508056,-0.03645230261591233,0.032626346941065386,0.555
free_sortino,US30L,B_holdout,336,-0.0015730009052980286,0.19832588388022385,0.030316418299651367,0.051886106391272405,-0.021394647233851,0.02156176413017529,0.5535
free_retdd,US30L,B_holdout,321,0.00397973563863865,0.49519795306060926,0.07744519106874193,0.05138776964351673,-0.051936125844482636,0.05658161336859403,0.4575
DEFAULT (shipped),US30L,B_holdout,733,0.0008701397051811259,0.5044253849677789,0.052205117519396056,0.01666770896278201,-0.034819237125217624,0.040992226410496296,0.4855
USER (their inputs),US30L,B_holdout,135,-0.04000738963440358,0.2432398382796297,0.05865917527779817,0.6820312328793672,-0.08022243901752814,0.0023271988121460344,0.967
RANDOM cell 1,US30L,B_holdout,34,-0.024946897003103867,0.26969570369388873,0.12959931335024763,0.19249250908979604,-0.10634999210666901,0.06863113558359515,0.7175
RANDOM cell 2,US30L,B_holdout,228,-0.045615823580540144,0.30122084587996395,0.05589664365437114,0.8160744652684162,-0.08335504313608438,-0.005429962790245781,0.9875
RANDOM cell 3,US30L,B_holdout,245,-0.034967201798211923,0.2769855231006821,0.04958406858682773,0.705210419289819,-0.07051831748781359,0.0014202659430826276,0.9715
intraday_sharpe,US30I,C_forward,318,-0.018056765384426514,0.44065811887302336,0.06923988647130828,0.26078560067987544,-0.06774640031792031,0.03176021045375132,0.7615
intraday_sortino,US30I,C_forward,124,-0.006506827216464783,0.28912098962955896,0.0727506553932405,0.08944011818578551,-0.05570694112200531,0.04402896405552249,0.609
intraday_retdd,US30I,C_forward,141,-0.025335343439809806,0.2614221206920552,0.06168803095025737,0.41070112061510217,-0.06959443003816768,0.019257616281530048,0.8785
free_sharpe,US30I,C_forward,132,-0.03354691621879106,0.2910086018555204,0.07097199147880946,0.47267824277986287,-0.08371394594201093,0.014223610991185697,0.91
free_sortino,US30I,C_forward,148,-0.041190164838719436,0.05169221857793812,0.011905905888478065,3.4596413934853287,-0.04871423830903699,-0.03198033508575394,1.0
free_retdd,US30I,C_forward,157,-0.03254872569382213,0.4426934749745107,0.09899686131187801,0.3287854307954389,-0.10015037628942086,0.03467063483150463,0.82
DEFAULT (shipped),US30I,C_forward,315,0.007985753570930627,0.39227558875491775,0.06193043591868746,0.12894715582844674,-0.033542873608148956,0.05166507797157174,0.374
USER (their inputs),US30I,C_forward,59,-0.019405278751276563,0.1854757350466071,0.06765956885335787,0.2868076028290195,-0.06393250849997595,0.02798387798238744,0.7875
RANDOM cell 2,US30I,C_forward,105,-0.03850134006934875,0.25657385900885954,0.07015940345210583,0.548769490259871,-0.08254543902573863,0.01447332125732787,0.9325
RANDOM cell 3,US30I,C_forward,110,-0.020576015483034508,0.3379035938637217,0.09027439763289878,0.22792747470558553,-0.08086521903641822,0.04273687581690199,0.735
