tf,fast,slow,how,fast_min,slow_min,n,pct,tot,win
30s,13,48,as configured (13/48 bars),6.5,24.0,57,0.03579306527084115,2.0402047204379454,0.7017543859649122
30s,13,48,matched to 6.5 / 24 MINUTES,6.5,24.0,57,0.03579306527084115,2.0402047204379454,0.7017543859649122
1m,13,48,as configured (13/48 bars),13.0,48.0,34,-0.04499108925273987,-1.5296970345931555,0.5
1m,6,24,matched to 6.5 / 24 MINUTES,6.0,24.0,70,0.0047269472953079235,0.33088631067155466,0.5857142857142857
5m,13,48,as configured (13/48 bars),65.0,240.0,17,-0.013692615262600164,-0.23277445946420278,0.5882352941176471
5m,1,5,matched to 6.5 / 24 MINUTES,5.0,25.0,69,-0.02800582887169001,-1.9324021921466106,0.463768115942029
