stop_pts,tgt_pts,n,amb,amb_share,resolved,stop_first,tgt_first,unresolved
50.0,50.0,81,8,0.09876543209876543,1.0,0.75,0.25,0
50.0,100.0,81,4,0.04938271604938271,1.0,0.75,0.25,0
100.0,50.0,81,2,0.024691358024691357,1.0,1.0,0.0,0
100.0,100.0,81,1,0.012345679012345678,1.0,1.0,0.0,0
