fold,test_n,fixed,fixed_tr,rechosen,random,picked
1,9,0.7432356191848584,11,0.34938160342416114,0.567697731614408,"{'stop_pts': 60.0, 'tgt_pts': 60.0, 'be_pts': 43.0, 'x_mode': 'cross'}"
2,9,0.2651210940668697,9,0.13659029288099048,0.9720713696114952,"{'stop_pts': 100.0, 'tgt_pts': 100.0, 'be_pts': 0.0, 'x_mode': 'off'}"
3,9,0.9866243777020365,10,0.842408022808358,0.87375571106756,"{'stop_pts': 150.0, 'tgt_pts': 100.0, 'be_pts': 43.0, 'x_mode': 'off'}"
4,9,-0.4267623438443572,9,-0.38632216307705497,-0.4313561549691671,"{'stop_pts': 150.0, 'tgt_pts': 100.0, 'be_pts': 43.0, 'x_mode': 'off'}"
5,9,0.657698863444079,9,0.5724736503874327,0.5454289940915295,"{'stop_pts': 60.0, 'tgt_pts': 100.0, 'be_pts': 75.0, 'x_mode': 'off'}"
