m,size,mean,sum
2026-04,1,0.005501689079451699,0.005501689079451699
2026-05,16,0.015595346300675321,0.24952554081080514
2026-06,10,0.06008404056385118,0.6008404056385118
2026-07,14,0.05458419517743356,0.7641787324840699
2026-08,12,0.013310094148133252,0.15972112977759903
2026-09,4,0.06510930566187693,0.26043722264750774
