study,scorable,share_profit,share_beat_default,corr_pearson,corr_spearman,top1_res,top1_hold,pop_hold
intraday_sharpe,753,0.8950863213811421,0.7928286852589641,0.2501965691451163,0.20831493159810296,1.129700816837602,-0.5886770758884714,-0.5127236661002722
intraday_sortino,824,0.9478155339805825,0.8871359223300971,0.48135263648480214,0.38297585202137574,1.223028679368932,0.018678620332328942,-0.15590457342908212
intraday_retdd,794,0.9357682619647355,0.9005037783375315,0.6208669228040617,0.4961122501897305,1.1697427036958186,0.1528969531710512,-0.033550566121230085
free_sharpe,799,0.9637046307884856,0.9286608260325406,0.35734528009574773,0.30887599160604895,1.4534890079221106,-0.07111945382846034,-0.09457186455862321
free_sortino,731,0.9302325581395349,0.8454172366621067,0.3626507107415791,0.2870872032350038,1.270471142031766,0.03615542946503157,0.07808459230857662
free_retdd,809,0.9295426452410384,0.8714462299134734,0.5316507727280388,0.4886651726565323,1.3020011452612745,-0.02806864247180141,-0.26244139976767533
