block,days,traded,mean,sd,sharpe,sortino,tot
ALL,92,54,0.022176138265629836,0.10631429288013769,3.3112695556441794,7.501092770543766,2.040204720437945
IS,27,27,0.03046828974578471,0.12497191655431006,3.87022235539328,9.19754924429877,0.8226438231361872
OOS,27,27,0.04509484804821327,0.150352718257475,4.761194399219467,21.885965823685744,1.2175608973017582
