feed,block,side,geom,be,n,pct,pf,win_r,stop,tgt,flat,ctl,exc,p,mde
US30L,A_research,both,100pt / 100pt,100.0,1694,-0.0011,0.999,0.514,0.363,0.372,0.261,-0.0019,0.0009,0.46,0.0225
US30L,B_holdout,both,100pt / 100pt,100.0,742,-0.02,0.851,0.47,0.495,0.437,0.069,0.0088,-0.0288,1.0,0.0266
US30L,A_research,both,100pt / 100pt,150.0,1694,-0.0011,0.999,0.514,0.363,0.372,0.261,-0.0019,0.0009,0.46,0.0225
US30L,B_holdout,both,100pt / 100pt,150.0,742,-0.02,0.851,0.47,0.495,0.437,0.069,0.0088,-0.0288,1.0,0.0266
US30I,C_forward,long,1.5N / none,0.0,268,0.0087,1.043,0.321,0.642,0.0,0.358,-0.0086,0.0173,0.087,0.0664
US30I,C_forward,long,1.5N / none,25.0,268,0.0114,1.174,0.123,0.873,0.0,0.127,0.0049,0.0065,0.273,0.0439
US30I,C_forward,long,1.5N / none,50.0,268,0.0098,1.117,0.149,0.836,0.0,0.164,-0.0047,0.0145,0.137,0.048
US30I,C_forward,long,1.5N / none,75.0,268,0.0038,1.025,0.179,0.806,0.0,0.194,-0.0081,0.0119,0.203,0.052
US30I,C_forward,long,1.5N / none,100.0,268,-0.0012,0.975,0.198,0.787,0.0,0.213,-0.0094,0.0082,0.257,0.0536
US30I,C_forward,long,1.5N / none,150.0,268,-0.0022,0.965,0.25,0.728,0.0,0.272,-0.011,0.0088,0.263,0.059
US30I,C_forward,long,100pt / 100pt,0.0,268,-0.0015,0.98,0.507,0.474,0.493,0.03,-0.0069,0.0053,0.283,0.035
US30I,C_forward,long,100pt / 100pt,25.0,268,0.0074,1.112,0.343,0.646,0.34,0.011,0.0032,0.0042,0.3,0.028
US30I,C_forward,long,100pt / 100pt,50.0,268,-0.0008,0.982,0.384,0.597,0.377,0.022,-0.0041,0.0033,0.367,0.0306
US30I,C_forward,long,100pt / 100pt,75.0,268,-0.0062,0.929,0.44,0.541,0.429,0.026,-0.0069,0.0008,0.467,0.0331
US30I,C_forward,long,100pt / 100pt,100.0,268,-0.0015,0.98,0.507,0.474,0.493,0.03,-0.0069,0.0053,0.283,0.035
US30I,C_forward,long,100pt / 100pt,150.0,268,-0.0015,0.98,0.507,0.474,0.493,0.03,-0.0069,0.0053,0.283,0.035
US30I,C_forward,both,1.5N / none,0.0,315,0.008,1.037,0.314,0.654,0.0,0.346,-0.0008,0.0088,0.247,0.0619
US30I,C_forward,both,1.5N / none,25.0,327,0.0137,1.201,0.125,0.872,0.0,0.128,0.0094,0.0043,0.377,0.0433
US30I,C_forward,both,1.5N / none,50.0,326,0.0081,1.082,0.156,0.831,0.0,0.169,0.0047,0.0035,0.377,0.0469
US30I,C_forward,both,1.5N / none,75.0,324,0.0024,1.008,0.185,0.802,0.0,0.198,0.0011,0.0013,0.46,0.0484
US30I,C_forward,both,1.5N / none,100.0,322,-0.0044,0.945,0.205,0.78,0.0,0.22,0.0001,-0.0045,0.637,0.0501
US30I,C_forward,both,1.5N / none,150.0,316,-0.0113,0.896,0.237,0.741,0.0,0.259,-0.0013,-0.01,0.76,0.0531
US30I,C_forward,both,100pt / 100pt,0.0,328,-0.0098,0.902,0.488,0.491,0.47,0.037,-0.0054,-0.0044,0.683,0.0316
US30I,C_forward,both,100pt / 100pt,25.0,331,-0.0005,0.987,0.326,0.665,0.323,0.009,0.0029,-0.0034,0.69,0.0253
US30I,C_forward,both,100pt / 100pt,50.0,331,-0.0069,0.908,0.378,0.607,0.372,0.018,-0.003,-0.004,0.723,0.0278
US30I,C_forward,both,100pt / 100pt,75.0,328,-0.0113,0.877,0.43,0.555,0.421,0.021,-0.0046,-0.0067,0.75,0.03
US30I,C_forward,both,100pt / 100pt,100.0,328,-0.0098,0.902,0.488,0.491,0.47,0.037,-0.0054,-0.0044,0.683,0.0316
US30I,C_forward,both,100pt / 100pt,150.0,328,-0.0098,0.902,0.488,0.491,0.47,0.037,-0.0054,-0.0044,0.683,0.0316
