arm,keep,n,pct,pf,ctl,p,delta,mde,note
<< no filter >>,1.0,216.0,0.027392879249671993,1.663754584006907,,,0.0,0.1863445061793774,baseline
shp.body_share [require],0.5005714285714286,179.0,0.0475082435793977,1.6190555900664727,0.012838448493896596,0.1791044776119403,0.02011536432972571,0.1968510767384417,
shp.body_share [refuse],0.49942857142857144,164.0,-0.012354142717791063,1.4394958588232525,0.012838448493896596,0.7313432835820896,-0.039747021967463055,0.199879722774438,
shp.upper_share [require],0.5005714285714286,179.0,-0.013843219815426706,1.4190137168877621,0.012838448493896596,0.7313432835820896,-0.0412360990650987,0.19199773134180467,
shp.upper_share [refuse],0.49942857142857144,179.0,0.0030299788394769185,1.4244016340271226,0.012838448493896596,0.5671641791044776,-0.024362900410195076,0.1821608227130573,
shp.lower_share [require],0.5005714285714286,154.0,0.0895688958842544,2.0191716194482345,0.012838448493896596,0.024875621890547265,0.06217601663458241,0.2326554280544792,
shp.lower_share [refuse],0.49942857142857144,187.0,-0.010695815857233965,1.2781838214002668,0.012838448493896596,0.7064676616915423,-0.03808869510690596,0.1758685895028126,
shp.close_pos [require],0.5005714285714286,183.0,0.009794884256957662,1.4516558682138458,0.012838448493896596,0.5174129353233831,-0.017597994992714333,0.1782541167961042,
shp.close_pos [refuse],0.49942857142857144,177.0,0.0006534368551326719,1.5073991747503739,0.012838448493896596,0.5920398009950248,-0.02673944239453932,0.19308834296872185,
shp.body_atr [require],0.5005714285714286,193.0,0.0005286416580538211,1.5007602204264474,0.012838448493896596,0.5920398009950248,-0.026864237591618174,0.17356123009971258,
shp.body_atr [refuse],0.49942857142857144,145.0,0.0022248909440277806,1.4728448393505198,0.012838448493896596,0.5771144278606966,-0.025167988305644214,0.22295249675499168,
shp.range_atr [require],0.5005714285714286,201.0,-0.04695906418436879,1.2645601027753581,0.012838448493896596,0.8955223880597015,-0.07435194343404078,0.16167048531377648,
shp.range_atr [refuse],0.49942857142857144,130.0,0.04659919576074865,1.640024185904816,0.012838448493896596,0.1890547263681592,0.019206316511076654,0.2346451470051279,
shp.range_vs_med [require],0.5005714285714286,191.0,-0.029676424082041467,1.3192608202245757,0.012838448493896596,0.8208955223880597,-0.057069303331713464,0.16809866768565124,
shp.range_vs_med [refuse],0.49942857142857144,133.0,-0.004940856709098424,1.4720016439810388,0.012838448493896596,0.6417910447761194,-0.03233373595877042,0.2275924858584225,
shp.body_vs_med [require],0.5005714285714286,195.0,-0.014437968948688169,1.4109633331466258,0.012838448493896596,0.7313432835820896,-0.041830848198360165,0.17380708286556312,
shp.body_vs_med [refuse],0.49942857142857144,141.0,0.032478199339111,1.664917896726676,0.012838448493896596,0.31840796019900497,0.005085320089439009,0.23380486634489506,
shp.body_vs_prev [require],0.5005714285714286,193.0,0.0084347320979849,1.50045896374474,0.012838448493896596,0.5223880597014925,-0.018958147151687095,0.1814377376210267,
shp.body_vs_prev [refuse],0.49942857142857144,166.0,-0.024997769113102107,1.3576414479840309,0.012838448493896596,0.8059701492537313,-0.0523906483627741,0.19702313875148983,
shp.gap_atr [require],0.6594285714285715,199.0,-0.04216170500627309,1.1583380605469746,0.010424928384749576,0.9402985074626866,-0.06955458425594507,0.17319092979630688,
shp.gap_atr [refuse],0.3405714285714286,138.0,0.06610827768726496,1.9061773037975893,-0.009554550452820686,0.05970149253731343,0.03871539843759297,0.2333719084222349,
shp.close_vs_prev_hi [require],0.5005714285714286,188.0,0.05649691200218542,1.8149984006252942,0.012838448493896596,0.13930348258706468,0.02910403275251343,0.1932744424862149,
shp.close_vs_prev_hi [refuse],0.49942857142857144,162.0,-0.0021119075488784064,1.5112017458635805,0.012838448493896596,0.6169154228855721,-0.0295047867985504,0.21014379082483362,
p1.doji [require],0.072,48.0,-0.031206055198059395,0.8670606288474971,-0.02724921426586808,0.5124378109452736,-0.058598934447731385,0.285881263235548,
p1.doji [refuse],0.928,213.0,0.02555407027025098,1.6533289208359563,0.027812058736547577,0.5671641791044776,-0.0018388089794210138,0.18752976825188744,
p1.dragonfly [require],0.0,,,,,,,,inert
p1.dragonfly [refuse],1.0,,,,,,,,inert
p1.gravestone [require],0.004571428571428572,,,,,,,,inert
p1.gravestone [refuse],0.9954285714285714,,,,,,,,inert
p1.long_leg_doji [require],0.045714285714285714,31.0,-0.011588692034033716,1.0121565806798334,-0.05802258949849439,0.3482587064676617,-0.03898157128370571,0.38688320514152347,
p1.long_leg_doji [refuse],0.9542857142857143,213.0,0.02650081477056145,1.6522778157590072,0.028608204276301192,0.6069651741293532,-0.0008920644791105443,0.18764161212500235,
p1.marubozu_bull [require],0.05942857142857143,42.0,-0.10290750001386441,0.8111171861039059,-0.03683774881461574,0.746268656716418,-0.1303003792635364,0.2766267243118128,
p1.marubozu_bull [refuse],0.9405714285714286,210.0,0.03947519591669943,1.7362513613062198,0.02823008115487037,0.0945273631840796,0.012082316667027436,0.190086239206396,
p1.marubozu_bear [require],0.0034285714285714284,,,,,,,,inert
p1.marubozu_bear [refuse],0.9965714285714286,,,,,,,,inert
p1.hammer [require],0.013714285714285714,,,,,,,,inert
p1.hammer [refuse],0.9862857142857143,215.0,0.028114018430248775,1.6674831629339448,0.02758168851323871,0.43781094527363185,0.0007211391805767818,0.1872082119005233,
p1.inv_hammer [require],0.07542857142857143,55.0,-0.14716952003879666,0.434757969637231,-0.0469420974097598,0.8507462686567164,-0.17456239928846864,0.18744949797147234,
p1.inv_hammer [refuse],0.9245714285714286,209.0,0.03657427623647214,1.7129967229288285,0.025422971257531242,0.1890547263681592,0.00918139698680015,0.19196930119821373,
p1.shooting_star [require],0.05028571428571429,38.0,-0.19278588545554662,0.30227438752590313,-0.05802258949849439,0.8955223880597015,-0.2201787647052186,0.22154058009865463,
p1.shooting_star [refuse],0.9497142857142857,210.0,0.036066319946487194,1.7136480047673062,0.028608204276301192,0.10945273631840796,0.0086734406968152,0.19135022856938888,
p1.spinning_top [require],0.09942857142857142,61.0,-0.13122868643562594,0.8142193376723722,-0.03835080515539513,0.9203980099502488,-0.15862156568529792,0.29797688489400875,
p1.spinning_top [refuse],0.9005714285714286,208.0,0.04026060705702526,1.7149084202439464,0.022767408221714594,0.13930348258706468,0.01286772780735327,0.18619376547661792,
p1.belt_hold_bull [require],0.17257142857142857,104.0,-0.04531005022082751,1.1513004214487872,-0.024899797445950007,0.6417910447761194,-0.0727029294704995,0.21424667431470407,
p1.belt_hold_bull [refuse],0.8274285714285714,195.0,0.04060069822277242,1.797915698776897,0.020616836601845753,0.18407960199004975,0.01320781897310043,0.20145761645276627,
p1.closes_lower_third [require],0.18285714285714286,106.0,-0.0008408068544786686,1.3043067196659968,-0.011092602437900681,0.42786069651741293,-0.02823368610415066,0.23600836586236,
