mkt,tf,mode,block,n,units,per_unit,per_acct,tot_unit,tot_acct,dd,rdd,pf
NQ,15,carried,research,733,2.6821282401091406,-0.05610607526337434,0.011204222119920101,-41.12575316805339,8.212694813901434,28.552825165714573,0.28763160094444895,1.037811028515892
NQ,15,carried,locked,374,2.772727272727273,-0.02324811651383228,0.18692081477705758,-8.694795576173274,69.90838472661953,18.07132858143237,3.868469571099927,1.5772035962633522
NQ,15,matched,research,88,2.852272727272727,0.06300019201389706,0.5664981689717776,5.544016897222941,49.85183886951643,14.976569887789239,3.328655309128016,2.183102012203616
NQ,15,matched,locked,58,2.7586206896551726,-0.15650482415242978,-0.26355768051895934,-9.077279800840927,-15.28634547009964,18.83565039799949,-0.8115645144763985,0.46015700222768846
NQ,30,carried,research,382,2.717277486910995,-0.04053600677964043,0.1797670518729836,-15.484754589822645,68.67101381547974,18.41134239340896,3.72982112591981,1.4340065649701306
NQ,30,carried,locked,199,2.8391959798994977,0.005488500053970025,0.3851138989934347,1.092211510740035,76.6376658996935,13.532204445913667,5.663354127260163,1.8697082432877694
NQ,30,matched,research,65,2.9076923076923076,0.16729165828647782,1.0110219239581584,10.873957788621059,65.71642505728029,10.333152953947568,6.359765054302684,2.823368555150431
NQ,30,matched,locked,55,2.6363636363636362,-0.18979353317240916,-0.2881343193445161,-10.438644324482503,-15.847387563948386,23.024618273271734,-0.6882801432736421,0.5401760635660932
NQ,60,carried,research,177,2.6271186440677967,-0.032095990244741114,0.4411488909609068,-5.680990273319177,78.08335370008051,16.347490291350162,4.776473471368032,1.8535233121883248
NQ,60,carried,locked,108,2.861111111111111,-0.1398841732422065,-0.05103540064307383,-15.107490710158302,-5.511823269451974,19.196830280206168,-0.2871215293878599,0.9296275069382994
NQ,60,matched,research,49,3.1020408163265305,0.21983375575547806,1.3013533256094854,10.771854032018425,63.76631295486478,7.946408096278439,8.024545452772381,2.8767443680645197
NQ,60,matched,locked,50,2.98,-0.12263148522287885,-0.032734045427912466,-6.1315742611439426,-1.6367022713956232,15.809031676220178,-0.10352957125498952,0.9620353521020967
