feat,on_signal,on_pop,lift
seq.bull_share_10,0.9333333333333333,0.6920830629461389,1.348585716518206
seq.up_closes_5,0.8583333333333333,0.5616482803374432,1.5282399383785865
shp.close_vs_prev_hi,0.825,0.5,1.65
shp.range_vs_med,0.6083333333333333,0.4970798182998053,1.223814186248912
shp.range_atr,0.6083333333333333,0.5,1.2166666666666666
shp.body_atr,0.6,0.5,1.2
shp.close_pos,0.5916666666666667,0.5,1.1833333333333333
shp.body_vs_med,0.5833333333333334,0.4970798182998053,1.17352045256745
shp.gap_atr,0.5833333333333334,0.627190136275146,0.9300741507156407
seq.wick_rej_5,0.5833333333333334,0.5256327060350422,1.1097736625514403
shp.body_share,0.5583333333333333,0.5,1.1166666666666667
shp.upper_share,0.5333333333333333,0.500324464633355,1.065974924340683
seq.higher_highs_3,0.525,0.1573653471771577,3.3361855670103093
shp.body_vs_prev,0.525,0.5,1.05
shp.lower_share,0.38333333333333336,0.5042180402336145,0.7602531102531104
seq.up_closes_3,0.35833333333333334,0.15249837767683322,2.3497517730496456
p2.outside_bar,0.30833333333333335,0.18040233614536016,1.709142685851319
p1.closes_lower_third,0.20833333333333334,0.3111615833874108,0.6695342370524853
p1.long_upper_wick,0.20833333333333334,0.14016872160934457,1.4863040123456792
p1.spinning_top,0.14166666666666666,0.15768981181051264,0.8983882030178327
p2.engulf_bull,0.1,0.08176508760545101,1.2230158730158731
p2.prev_upper_wick,0.1,0.14016872160934457,0.713425925925926
p2.tweezer_bottom,0.09166666666666666,0.08630759247242051,1.0620927318295739
p3.morning_star,0.09166666666666666,0.057754704737183644,1.5871722846441947
p1.inv_hammer,0.09166666666666666,0.04899415963659961,1.870971302428256
p1.doji,0.08333333333333333,0.10480207657365347,0.7951496388028896
p1.belt_hold_bull,0.08333333333333333,0.05158987670343933,1.6153039832285114
p3.three_white,0.075,0.01654769630110318,4.53235294117647
p1.long_leg_doji,0.058333333333333334,0.06586632057105775,0.8856321839080461
p2.tweezer_top,0.05,0.1044776119402985,0.4785714285714286
p2.engulf_bear,0.05,0.07527579493835172,0.6642241379310345
p1.shooting_star,0.041666666666666664,0.02628163530175211,1.5853909465020575
p2.gap_up,0.03333333333333333,0.016872160934458143,1.9756410256410257
p3.three_inside_up,0.025,0.03309539260220636,0.7553921568627451
p3.three_black,0.025,0.099935107073329,0.2501623376623377
p1.hammer,0.025,0.07884490590525632,0.31707818930041154
p1.marubozu_bull,0.016666666666666666,0.020765736534717714,0.8026041666666667
p3.evening_star,0.016666666666666666,0.04282933160285529,0.3891414141414141
p2.kicker_bull,0.008333333333333333,0.00681375730045425,1.2230158730158731
p1.gravestone,0.0,0.005191434133679429,0.0
p1.dragonfly,0.0,0.006164828033744322,0.0
p2.piercing,0.0,0.0,
p2.harami_bull,0.0,0.06554185593770279,0.0
p2.harami_bear,0.0,0.06229720960415315,0.0
p1.marubozu_bear,0.0,0.012978585334198572,0.0
p2.dark_cloud,0.0,0.0,
p2.inside_bar,0.0,0.20116807268007786,0.0
p2.gap_dn,0.0,0.007138221933809215,0.0
