mkt,tf,reach,arm,block,n,n_base,keep,pct,base,pf,pf_base,tot,tot_base,ctl,p
US100L,30,matched,seq.higher_highs_3 [require],A,152,216,0.5428571428571428,0.0984130195058033,0.027392879249671993,1.9439622723508345,1.663754584006907,14.958778964882102,5.91686191792915,0.008392739672719477,0.009950248756218905
US100L,30,matched,seq.higher_highs_3 [require],B,91,115,0.5541871921182266,0.09328265369578372,0.06712209363907234,2.281914486871792,2.143476533860741,8.488721486316319,7.71904076849332,0.07547896014744564,0.3333333333333333
NQ,30,matched,seq.higher_highs_3 [require],A,46,65,0.5598290598290598,0.30515493500010765,0.16729165828647782,3.798151214763143,2.76901692103956,14.037127010004951,10.873957788621059,0.14551812799243524,0.024875621890547265
NQ,30,matched,seq.higher_highs_3 [require],B,39,55,0.5,-0.18258643104661962,-0.18979353317240916,0.5103725082023343,0.5123891228505821,-7.120870810818165,-10.438644324482503,-0.18349806440712163,0.48258706467661694
US30L,30,matched,seq.higher_highs_3 [require],A,139,195,0.5228758169934641,0.0015344031020262312,-0.03448034029400682,1.529005843453691,1.326093157688953,0.21328203118164613,-6.723666357331329,-0.013364822718964792,0.3034825870646766
US30L,30,matched,seq.higher_highs_3 [require],B,65,95,0.5409252669039146,0.05558698183162964,0.040434886089389936,2.1583647797001504,2.213493909248419,3.6131538190559267,3.841314178492044,0.08278326445638257,0.6716417910447762
US100L,30,matched,shp.lower_share [require],A,154,216,0.5005714285714286,0.0895688958842544,0.027392879249671993,2.0191716194482345,1.663754584006907,13.793609966175177,5.91686191792915,0.00721901477289532,0.014925373134328358
US100L,30,matched,shp.lower_share [require],B,88,115,0.5172413793103449,0.043067201262272634,0.06712209363907234,1.9002158843891377,2.143476533860741,3.7899137110799916,7.71904076849332,0.07103698136267358,0.7164179104477612
NQ,30,matched,shp.lower_share [require],A,45,65,0.5128205128205128,0.19933971631194475,0.16729165828647782,2.771416499705538,2.76901692103956,8.970287234037514,10.873957788621059,0.1507196629058004,0.263681592039801
NQ,30,matched,shp.lower_share [require],B,39,55,0.4797297297297297,-0.1750951123185477,-0.18979353317240916,0.4843584925509783,0.5123891228505821,-6.828709380423361,-10.438644324482503,-0.1822690714136247,0.373134328358209
US30L,30,matched,shp.lower_share [require],A,135,195,0.5016339869281046,0.008404673445920227,-0.03448034029400682,1.7060519120857218,1.326093157688953,1.1346309151992306,-6.723666357331329,-0.0173578348388188,0.24378109452736318
US30L,30,matched,shp.lower_share [require],B,71,95,0.5480427046263345,0.1390761342220457,0.040434886089389936,2.953547653818491,2.213493909248419,9.874405529765244,3.841314178492044,0.08541483788921968,0.10945273631840796
US100L,30,matched,p3.evening_star [refuse],A,214,216,0.9908571428571429,0.03288466627445228,0.027392879249671993,1.6953796627257025,1.663754584006907,7.037318582732787,5.91686191792915,0.027392879249671993,0.04477611940298507
US100L,30,matched,p3.evening_star [refuse],B,113,115,0.9876847290640394,0.07368330596556386,0.06712209363907234,2.21581547528959,2.143476533860741,8.326213574108715,7.71904076849332,0.06717286037002752,0.10945273631840796
NQ,30,matched,p3.evening_star [refuse],A,65,65,0.9786324786324786,0.15914896194967085,0.16729165828647782,2.6735924060379856,2.76901692103956,10.344682526728604,10.873957788621059,0.167310025116312,0.945273631840796
NQ,30,matched,p3.evening_star [refuse],B,54,55,0.9797297297297297,-0.18610500866776628,-0.18979353317240916,0.5276802349159657,0.5123891228505821,-10.049670468059379,-10.438644324482503,-0.18979307213777333,0.09950248756218906
US30L,30,matched,p3.evening_star [refuse],A,194,195,0.9934640522875817,-0.03316082018300098,-0.03448034029400682,1.331268768958756,1.326093157688953,-6.433199115502191,-6.723666357331329,-0.03447732036925123,0.21890547263681592
US30L,30,matched,p3.evening_star [refuse],B,94,95,0.9786476868327402,0.043732129679538885,0.040434886089389936,2.228078227405784,2.213493909248419,4.110820189876655,3.841314178492044,0.042964287152807125,0.38308457711442784
