cell,expiry,orders,max_live,mean_live,share_gt1,mean_window_min
everybar 5m L,2,32473,3,2.453992547654975,0.9769962738274874,9.993533089027808
everybar 5m L,4,32473,5,4.346641825516583,0.9769962738274874,19.987066178055617
everybar 5m L,6,32473,7,6.177947833584824,0.9769962738274874,29.980599267083424
everybar 5m L,9,32473,10,8.809888214824623,0.9769962738274874,44.97111446432421
everybar 5m L,12,32473,13,11.303806239029347,0.9769962738274874,59.96153727712253
everybar 5m L,18,32473,19,15.87757521633357,0.9769962738274874,89.94266005604656
donch 5m L,2,4202,3,1.46001903855307,0.48000951927653496,9.995002379819134
donch 5m L,4,4202,5,2.0816277962874823,0.6129224178962399,19.9859590671109
donch 5m L,6,4202,7,2.5735364112327463,0.6717039504997621,29.984769157544026
donch 5m L,9,4202,10,3.1939552594002856,0.7260828177058544,44.98072346501666
donch 5m L,12,4202,12,3.722513089005236,0.7511899095668729,59.975963826749165
donch 5m L,18,4202,17,4.507139457401237,0.777724892908139,89.96025702046644
everybar 15m L,2,10837,3,2.362138968349174,0.931069484174587,29.94555688843776
everybar 15m L,4,10837,5,4.04046322783058,0.931069484174587,59.89231337085909
everybar 15m L,6,10837,7,5.534972778444219,0.931069484174587,89.83888530035988
everybar 15m L,9,10837,10,7.432084525237612,0.931069484174587,134.13896834917412
everybar 15m L,12,10837,13,8.915613177078527,0.931069484174587,177.06837685706375
everybar 15m L,18,10837,19,10.650502906708498,0.931069484174587,263.0074743932823
donch 15m L,2,1826,3,1.4934282584884995,0.49671412924424974,29.974260679079958
donch 15m L,4,1826,5,2.133077765607886,0.6202081051478642,59.946878422782035
donch 15m L,6,1826,7,2.58105147864184,0.6610076670317634,89.91128148959474
donch 15m L,9,1826,10,3.099671412924425,0.6949616648411829,134.3472070098576
donch 15m L,12,1826,12,3.4830230010952903,0.7078313253012049,177.6341730558598
donch 15m L,18,1826,16,3.9704271631982477,0.7234392113910186,264.434282584885
