tf,sig,side,expiry,fill,per_signal,per_trade,pf,n
5,everybar,1,2,0.049887598928340465,-0.02172655871802251,-0.4355102106483611,0.9923881534323352,1620
5,everybar,1,4,0.04797832045083608,0.2634581497497868,5.491191589746358,1.0997777775111324,1558
5,everybar,1,6,0.04723924491115696,0.48117699352489823,10.185958611951774,1.1914527027080932,1534
5,everybar,1,9,0.04699288639793059,0.6712500333488088,14.284077544518919,1.2772266068372247,1526
5,everybar,1,12,0.04662334862809103,0.7478064730742056,16.039312813830037,1.316765934450731,1514
5,everybar,1,18,0.046099836787484985,0.8602998964693245,18.661669030092433,1.3762566910622747,1497
5,everybar,-1,2,0.04964124041511409,-0.3460555434610683,-6.971130063778704,0.8833023078764753,1612
5,everybar,-1,4,0.0486866011763619,-0.15114604318314034,-3.1044689818381506,0.9470878639231536,1581
5,everybar,-1,6,0.048101499707449265,0.07940712693584917,1.6508243489038605,1.029196521522697,1562
5,everybar,-1,9,0.04711606565454377,0.2742181020304787,5.820055181199826,1.1072532991703012,1530
5,everybar,-1,12,0.0468697071413174,0.4113263991626357,8.775954113014631,1.1658572558534441,1522
5,everybar,-1,18,0.0459766575308718,0.49157830522301993,10.691910452449514,1.2057015366636974,1493
5,donch,1,2,0.16515944788196096,0.8538711373859535,5.1699805753541455,1.1047711995035496,694
5,donch,1,4,0.17658257972394098,1.6947142892967795,9.597290355289848,1.1963182839175055,742
5,donch,1,6,0.17967634459781057,2.285272122987408,12.718825775884884,1.2661456929675532,755
5,donch,1,9,0.18015230842455973,2.739537805660069,15.206787132607147,1.3218579433291118,757
5,donch,1,12,0.1806282722513089,2.9419407960630384,16.28726643617508,1.3489764821032213,759
5,donch,1,18,0.18015230842455973,3.2324460804379864,17.94285129458444,1.3893676241772888,757
5,donch,-1,2,0.1883280757097792,0.15174624523304084,0.8057547694953759,1.013653105390264,597
5,donch,-1,4,0.21009463722397476,0.5574607219714256,2.653379112086215,1.0454909100960141,666
5,donch,-1,6,0.21324921135646688,0.9367287475383381,4.392648120852858,1.0761961875312156,676
5,donch,-1,9,0.21482649842271292,1.6436394422779241,7.651008857593274,1.1355468896516305,681
5,donch,-1,12,0.21545741324921136,2.0138761310854303,9.346979993471178,1.1680607634028706,683
5,donch,-1,18,0.21514195583596216,2.3587918789695443,10.96388600635404,1.2013360571494627,682
15,everybar,1,2,0.08166466734336071,0.008108524700409115,0.0992904883371001,1.0014601384035093,885
15,everybar,1,4,0.08018824397896096,0.7378673066157831,9.2016893001096,1.1465428343535813,869
15,everybar,1,6,0.07935775583648612,1.1880250534623145,14.970497098105934,1.2510652812823344,860
15,everybar,1,9,0.07926547937621113,1.4935384194445753,18.842230327730924,1.326885353321189,859
15,everybar,1,12,0.07861954415428624,1.775430294613255,22.58255645859606,1.4043595349281162,852
15,everybar,1,18,0.07871182061456122,2.0743206398685246,26.35335612456647,1.4888017218265037,853
15,everybar,-1,2,0.08018824397896096,-1.0121740504329604,-12.622474320531635,0.8217840321431467,869
15,everybar,-1,4,0.07954230875703608,-0.3578056974822587,-4.4983066631267254,0.9333677449471394,862
15,everybar,-1,6,0.07908092645566116,0.017915568724483296,0.22654727919162834,1.0034905121250348,857
15,everybar,-1,9,0.0782504383131863,0.41665674788258333,5.3246570481174,1.086061084238868,848
15,everybar,-1,12,0.07806588539263634,0.564362341186969,7.229308145913929,1.1186282971615291,846
15,everybar,-1,18,0.07797360893236135,0.760085709506641,9.747986785708248,1.1631392970356367,845
15,donch,1,2,0.19660460021905804,0.18069035204059888,0.9190545482622104,1.0134712029184407,359
15,donch,1,4,0.21193866374589265,1.8725299259265178,8.835244560056386,1.1413587871013726,387
15,donch,1,6,0.21467688937568455,3.3046899027593533,15.393785108261682,1.2639502581428648,392
15,donch,1,9,0.2157721796276013,3.8626444740893997,17.901494440830568,1.3155641717855633,394
15,donch,1,12,0.2157721796276013,4.919103944651637,22.79767462673576,1.4243993181817995,394
15,donch,1,18,0.21631982475355968,5.609805585704514,25.932924049358082,1.4946102694316914,395
15,donch,-1,2,0.2221407624633431,-3.8526236348903904,-17.3431638217508,0.7815593175001888,303
15,donch,-1,4,0.24266862170087977,-2.7896455503848303,-11.495699488594889,0.846379127534313,331
15,donch,-1,6,0.24853372434017595,-1.1362294499254428,-4.571731474036295,0.9345055557830905,339
15,donch,-1,9,0.25,0.09657960275142037,0.3863184110056815,1.0058047491381383,341
15,donch,-1,12,0.250733137829912,0.6988362838155628,2.787171611474935,1.042623165073536,342
15,donch,-1,18,0.25146627565982405,1.5291344163196123,6.080872722623764,1.095475064388403,343
