variant,sig,tf,side,depth,block,signals,fill,n,lim_sig,lim_trd,lim_pf,mkt_sig,mkt_trd,mkt_pf,edge_sig,edge_trd
intraday,everybar,5,1,0.25,research,32473,0.05549225510424045,1802,-0.09914701402385118,-1.786682012428701,0.9697932981249594,-0.07410008541370079,-1.227679629407707,0.9794226423878982,-0.025046928610150385,-0.559002383020994
intraday,everybar,5,1,0.5,research,32473,0.051981646290764634,1688,-0.20461675646929642,-3.9363269744238525,0.9337978682405755,-0.07410008541370079,-1.227679629407707,0.9794226423878982,-0.1305166710555956,-2.7086473450161455
intraday,everybar,5,1,0.75,research,32473,0.04816308933575586,1564,-0.1269480171354561,-2.6357947317389163,0.9539871437743105,-0.07410008541370079,-1.227679629407707,0.9794226423878982,-0.052847931721755295,-1.4081151023312093
intraday,everybar,5,1,1.0,research,32473,0.04385181535429434,1424,-0.17347648816657502,-3.955970505781735,0.9315305538520801,-0.07410008541370079,-1.227679629407707,0.9794226423878982,-0.09937640275287422,-2.728290876374028
intraday,everybar,5,1,0.25,locked,17316,0.05520905520905521,956,-0.06478355241035991,-1.1734225873826278,0.9866265319108228,-0.24408696460440268,-4.107492593867674,0.9538416719034395,0.17930341219404278,2.934070006485046
intraday,everybar,5,1,0.5,locked,17316,0.050184800184800184,869,-0.23925120387801854,-4.767403735732761,0.9459045467176017,-0.24408696460440268,-4.107492593867674,0.9538416719034395,0.004835760726384142,-0.6599111418650869
intraday,everybar,5,1,0.75,locked,17316,0.04625779625779626,801,-0.10523235277288776,-2.274910637472315,0.9725875356761999,-0.24408696460440268,-4.107492593867674,0.9538416719034395,0.13885461183151493,1.8325819563953587
intraday,everybar,5,1,1.0,locked,17316,0.04175329175329175,723,0.10475138784461181,2.5088174715315326,1.0310604228362672,-0.24408696460440268,-4.107492593867674,0.9538416719034395,0.3488383524490145,6.616310065399206
intraday,everybar,5,-1,0.25,research,32473,0.057986635050657466,1883,-0.416130839719095,-7.17632329166127,0.880830509600967,-0.4518950873220861,-7.09936583000005,0.8813658161907438,0.03576424760299113,-0.07695746166122053
intraday,everybar,5,-1,0.5,research,32473,0.05219720998983771,1695,-0.32017596574330176,-6.133967041641438,0.8968877212920644,-0.4518950873220861,-7.09936583000005,0.8813658161907438,0.13171912157878435,0.9653987883586117
intraday,everybar,5,-1,0.75,research,32473,0.047762756751763,1551,-0.34394238816310635,-7.201058137215057,0.8788523696577433,-0.4518950873220861,-7.09936583000005,0.8813658161907438,0.10795269915897976,-0.1016923072150071
intraday,everybar,5,-1,1.0,research,32473,0.042404459089089394,1377,-0.41644384043289273,-9.820755868102632,0.8331133969112062,-0.4518950873220861,-7.09936583000005,0.8813658161907438,0.03545124688919338,-2.721390038102582
intraday,everybar,5,-1,0.25,locked,17316,0.05671055671055671,982,-0.301343935570877,-5.313718521736565,0.9399079767736124,-0.43682900722301404,-7.183410341000675,0.9184843202539013,0.13548507165213702,1.8696918192641103
intraday,everybar,5,-1,0.5,locked,17316,0.050646800646800647,877,-0.3721750376340337,-7.348441221973691,0.9172554488299618,-0.43682900722301404,-7.183410341000675,0.9184843202539013,0.06465396958898034,-0.1650308809730161
intraday,everybar,5,-1,0.75,locked,17316,0.044987294987294986,779,-0.41207706703433233,-9.159854291099485,0.8944568520137456,-0.43682900722301404,-7.183410341000675,0.9184843202539013,0.02475194018868171,-1.97644395009881
intraday,everybar,5,-1,1.0,locked,17316,0.04013629013629014,695,-0.39519557499008334,-9.846340397882422,0.8878905528694085,-0.43682900722301404,-7.183410341000675,0.9184843202539013,0.0416334322329307,-2.6629300568817467
intraday,everybar,15,1,0.25,research,10837,0.0977207714312079,1059,0.06556014986129957,0.6708926761538276,1.0096380317645453,-0.09321780743088978,-0.8481959522489947,0.9881514020072955,0.15877795729218935,1.5190886284028222
intraday,everybar,15,1,0.5,research,10837,0.08923133708590938,967,-0.2279223404539463,-2.5542858360903993,0.9631029514979319,-0.09321780743088978,-0.8481959522489947,0.9881514020072955,-0.13470453302305652,-1.7060898838414045
intraday,everybar,15,1,0.75,research,10837,0.07861954415428624,852,-0.10176137152594884,-1.2943520929890935,0.9810477141322117,-0.09321780743088978,-0.8481959522489947,0.9881514020072955,-0.008543564095059061,-0.4461561407400988
intraday,everybar,15,1,1.0,research,10837,0.06634677493771339,719,-0.15214131126371686,-2.2931229348607785,0.9652997025203429,-0.09321780743088978,-0.8481959522489947,0.9881514020072955,-0.05892350383282707,-1.4449269826117837
