cond,p_sig,p_pop,lift,n_sig,inert
ema13x48 fresh<=5,0.17273048392794066,0.09340965100564433,1.8491717083655876,489,False
+DI>-DI,0.9304132815259626,0.5170919786946498,1.799318728313488,2634,False
d_ema200>=2.0,0.6372306605439774,0.42101915891565306,1.5135431418018677,1804,False
d_ema200>=1.0,0.7220063581773225,0.501709197869465,1.4390933258615972,2044,False
ema13>34>89,0.5860120098904981,0.42205262739486443,1.3884808951615324,1659,False
d_ema200>=0,0.8000706464146945,0.5870100961920661,1.3629589194542853,2265,False
ema13>48,0.7456729070999647,0.5643135384370777,1.321380502699226,2111,False
atrpct250>=0.5,0.6594842811727305,0.5926146752524049,1.1128382551306963,1867,False
adx>=30,0.30943129636170963,0.29636696080769537,1.0440816193492344,876,False
atr/tod>=1.0,0.6824443659484282,0.6629700294141029,1.0293743844673275,1932,False
atr/tod>=1.2,0.5174849876368774,0.5041736227045075,1.0264023430281113,1465,False
atrpct250>=0.8,0.26527728717767574,0.26031481039828286,1.0190633670508422,751,False
adx>=20,0.7036382903567644,0.6912314174417681,1.0179489424264219,1992,False
adx>=15,0.9131049099258213,0.9016614993242706,1.0126914708126349,2585,False
adx>=25,0.4722712822324267,0.4674059941171794,1.0104091264906363,1337,False
adx<=25,0.5277287177675732,0.5325940058828206,0.9908649213819395,1494,False
adx<=20,0.2963617096432356,0.308768582558232,0.9598182146246809,839,False
atr/tod<=1.0,0.3175556340515719,0.3370299705858971,0.9422177900070109,899,False
atr/tod<=0.8,0.15506888025432708,0.1666269178790047,0.9306352312591509,439,False
atrpct250<=0.5,0.3440480395619922,0.41112171078782095,0.8368520331915885,974,False
atrpct250<=0.2,0.07311903920876016,0.1122505763574211,0.6513912140276161,207,False
ema13<48,0.2543270929000353,0.43568646156292234,0.583738801494306,720,False
d_ema200<=1.0,0.2779936418226775,0.498290802130535,0.5578943874421602,787,False
-DI>+DI,0.06958671847403744,0.4829080213053502,0.14409932203225234,197,False
