param,cell,Q,p,I2,fe,fese,m_US30,m_US100,m_NQ
atr,don10 0.9676N/3.2253N,1.4717374252104172,0.4790890874182111,0.0,-0.047053408017337366,0.02625705665589134,-0.01576153910680349,-0.08256934537448883,-0.027216073706386085
atr,don10 0.9676N/4.838N,0.9148252883012087,0.632919115799194,0.0,-0.057462508529895574,0.031062005470222524,-0.031770475815407234,-0.09048784011090177,-0.02814193292456356
atr,don10 0.9676N/none,0.12253558506271471,0.9405713280706124,0.0,-0.049659329963767096,0.03821135707612216,-0.03480729857091299,-0.0616546237667523,-0.06185844915907748
atr,don10 1.6127N/3.2253N,0.0509914345019487,0.9748265538942749,0.0,-0.0517983440667349,0.033835616516810794,-0.042762412148317275,-0.05701685477470067,-0.061149605527169415
atr,don10 1.6127N/4.838N,0.5203219916180687,0.7709274597218603,0.0,-0.05987464424281947,0.03994739141041304,-0.02601167674470397,-0.08817462800643926,-0.06558970305179981
atr,don10 1.6127N/none,0.34056470193448984,0.8434266406455746,0.0,-0.041079916939137026,0.05033095413505153,-0.039075872958293505,-0.01887240880347416,-0.10958653309914895
atr,don10 3.2253N/3.2253N,0.18286266586023345,0.9126239812151686,0.0,-0.11216928958581664,0.04591449005181788,-0.09161466475866659,-0.1202127686890901,-0.14723584523404837
atr,don10 3.2253N/4.838N,0.5066748528178926,0.7762059252527298,0.0,-0.0902563961158415,0.05431314590296313,-0.052648658162942355,-0.13391819625962467,-0.06885100719555617
atr,don10 3.2253N/none,0.5477750270121855,0.760417607160735,0.0,-0.09087871677032308,0.06737650170486341,-0.07417455300778888,-0.06748904404830713,-0.21618616415876238
atr,don20 0.9676N/3.2253N,1.7087865807880207,0.42554129276803876,0.0,0.00014697856468802426,0.029380123859380426,0.047339333938105195,-0.03448261690297146,-0.01971890173453763
atr,don20 0.9676N/4.838N,1.7972290259468418,0.40713334713018323,0.0,-0.0004605339022838511,0.03503852982474926,0.05285509392086198,-0.048965609453909535,0.013512577760177193
atr,don20 0.9676N/none,0.3163418762979631,0.8537038389412146,0.0,0.02007807296474223,0.043214675270368465,0.04814107360750533,-0.0009161843153932239,-0.0011489900283879028
atr,don20 1.6127N/3.2253N,1.283079635022138,0.5264811147295009,0.0,0.002044923557721923,0.037286634816799044,0.03192906542231921,0.00880465344579256,-0.09254967723951478
atr,don20 1.6127N/4.838N,1.665304590036934,0.4348942873477174,0.0,-0.0013245638121694057,0.0441025586260184,0.07025525605878008,-0.04470369816035617,-0.05218468173472231
atr,don20 1.6127N/none,0.33134120722255445,0.847325294118166,0.0,0.03446242916031099,0.056160596160602046,0.06052570018525587,0.03182899867877652,-0.03791430895666431
atr,don20 3.2253N/3.2253N,1.1801026911802288,0.554298823203649,0.0,-0.01897636314721944,0.04928128814726202,0.03875762300950001,-0.043678740418475054,-0.11012665957769135
atr,don20 3.2253N/4.838N,2.3074065765092686,0.31546634070504515,0.1332260121119724,0.016429647531847804,0.05858343277182899,0.11690486107339218,-0.07458739702507626,0.00971252306474689
atr,don20 3.2253N/none,1.329660313540507,0.5143608810015237,0.0,0.017406912046344054,0.07330177091729959,0.10302964134743801,-0.022467320374612652,-0.1358754733862941
atr,don40 0.9676N/3.2253N,3.8647141456530325,0.14480647649917344,0.4824973013205731,-0.012736698622897398,0.031280605612447006,0.06540885653721855,-0.06797521898865841,-0.036091230031521
atr,don40 0.9676N/4.838N,2.7224016211169975,0.2563527609540816,0.2653545367860151,-0.021068171543646368,0.036985425789776524,0.05274352183112647,-0.08105429681220892,-0.01533518482209109
atr,don40 0.9676N/none,1.4888132214683192,0.47501608577369925,0.0,0.008923142131648173,0.04625259243521245,0.07693979779300852,-0.03501392290853811,-0.045676800448812435
atr,don40 1.6127N/3.2253N,1.1671665132702342,0.5578956972103528,0.0,-0.047895915402539464,0.03980371070464026,0.007568066886897267,-0.08136305374478386,-0.08086021340651045
atr,don40 1.6127N/4.838N,2.5240790645543063,0.28307609451298504,0.20763179407252302,-0.05670061193782913,0.04651529133896142,0.028707536087283703,-0.1303894202630717,-0.028439527357925258
atr,don40 1.6127N/none,0.4780989245649202,0.787375935998559,0.0,0.0011110841717008769,0.060180585464233716,0.04921703972363153,-0.037447818498453085,-0.025982905567069278
atr,don40 3.2253N/3.2253N,2.365260957274488,0.30647151060702094,0.154427339677302,-0.0876183002507184,0.053288162640640215,0.01180861641300543,-0.16472828766952208,-0.11579622190109254
atr,don40 3.2253N/4.838N,3.7096345286720616,0.1564815348196371,0.46086333180752975,-0.07703569224664508,0.06243192604501947,0.05381304632480953,-0.20318426418104527,-0.03433021096624466
atr,don40 3.2253N/none,1.810945937363345,0.4043505947016909,0.0,-0.038815147541796616,0.07864177604290339,0.08221962797137937,-0.12217364568324161,-0.1557411182656653
pts,don10 30pts/100pts,1.0775638203059792,0.5834585246034432,0.0,-0.04214901950162164,0.04513963636185778,-0.009236378124950715,-0.12479904718922152,-0.07089709273367395
pts,don10 30pts/150pts,1.4780289527870616,0.47758435432395185,0.0,-0.05886999399812708,0.04923653049052065,-0.0167697822650601,-0.16111501098631767,-0.08447975249554263
pts,don10 30pts/none,0.857892005406794,0.6511950910061777,0.0,-0.08787571003979783,0.05193110630640622,-0.050823198367895776,-0.1622516220550711,-0.11737324310048762
pts,don10 50pts/100pts,1.389070503246544,0.49930644593086204,0.0,-0.08888311651967523,0.05504111107963482,-0.04904782172210362,-0.21047011585513828,-0.08415585500181111
pts,don10 50pts/150pts,1.9208778013833538,0.3827248708962835,0.0,-0.10501425169325188,0.05991976198801195,-0.053416493178188446,-0.2518886410910631,-0.08584144895108349
pts,don10 50pts/none,1.4943638469716238,0.4736995952550803,0.0,-0.123290746674577,0.06469329357228899,-0.0739347849011025,-0.2535193270412551,-0.08183765041684517
pts,don10 100pts/100pts,0.9127889317928868,0.6335638684604126,0.0,-0.08637320179953756,0.06597228858086333,-0.03765548628768083,-0.17066712718635813,-0.16185239842315347
pts,don10 100pts/150pts,1.3053229009716771,0.5206582250439603,0.0,-0.1133451913199452,0.07183225881723829,-0.048715411773954005,-0.22796506130755315,-0.1833605167722172
pts,don10 100pts/none,1.0342916429544184,0.5962198396368752,0.0,-0.1273892402500477,0.07797835678137059,-0.05909574391036985,-0.22029247650015402,-0.21726381954275817
pts,don20 30pts/100pts,4.21984704697692,0.12124723864466938,0.5260491724616437,-0.003289298850815271,0.0490485184956032,0.07680095356016263,-0.1147068535014893,-0.14550999894965824
pts,don20 30pts/150pts,2.5807021463877025,0.2751741598586646,0.22501711295917323,-0.006272633509617421,0.053929936081083804,0.0636122796063999,-0.10143012878741907,-0.12889423808697004
pts,don20 30pts/none,1.7023893056945585,0.4269046243642012,0.0,-0.022746255065257195,0.05686570617929509,0.03938891658454493,-0.11076980444482425,-0.11227226295791135
pts,don20 50pts/100pts,3.268987944991166,0.19505104752544786,0.3881898515213384,-0.024890205022084062,0.060154627605948995,0.05679081456155799,-0.2022455042222214,-0.06747845654967033
pts,don20 50pts/150pts,2.385775650564944,0.3033439935205669,0.16169820933229556,-0.02982546676063646,0.06579825592728228,0.04822601752712324,-0.18734905228899199,-0.06432557873244418
pts,don20 50pts/none,2.648767641600417,0.2659667918135351,0.2449318813062908,-0.03341408325939168,0.07109472153874714,0.06253658947108953,-0.19892241732217356,-0.055540550007556096
pts,don20 100pts/100pts,2.816153483109574,0.24461328560782353,0.28981143535130904,-0.025045460550293268,0.0708949160198312,0.06651237000591852,-0.2068601028755922,-0.060063543512170685
pts,don20 100pts/150pts,2.169130397354898,0.33804873798327856,0.07797152147290938,-0.042688147251691726,0.0771370606923826,0.05300859567829557,-0.19188328839027124,-0.1323281762632347
pts,don20 100pts/none,2.5958312919060313,0.2731004382028096,0.22953390451986289,-0.031175131615464483,0.08387616291361168,0.09398863073664052,-0.19300117619613066,-0.1222915906191511
pts,don40 30pts/100pts,4.407127496587693,0.11040898657745522,0.5461896662738847,-0.031481348782815305,0.05407526555679928,0.06187214220605361,-0.18850750673053757,-0.14357609047939787
pts,don40 30pts/150pts,3.2739574012458244,0.19456700031329507,0.38911850250740926,-0.02900423896547718,0.05922126689631624,0.05991076714323511,-0.17197553436125676,-0.13510562121094555
pts,don40 30pts/none,2.6306166989268323,0.26839155208760057,0.2397220009985089,-0.04885649507964629,0.06250409959090023,0.03679382883442268,-0.190162531601762,-0.11921206405491686
pts,don40 50pts/100pts,3.2639753090289214,0.19554052060446314,0.387250266732248,-0.08231552005095152,0.06649751982812306,-0.004404654609755382,-0.29224226829680716,-0.05188568835181686
pts,don40 50pts/150pts,2.810274208219108,0.24533341792718028,0.28832567507089807,-0.07773037410621662,0.0725796828346777,0.009722815092759952,-0.27391403774738826,-0.06602120643759658
pts,don40 50pts/none,3.1578205169358813,0.2061996801698897,0.36665178110228563,-0.08460740754895406,0.07792460681474898,0.021280868333029283,-0.2908449424373809,-0.05192998688747573
pts,don40 100pts/100pts,3.9011880866971524,0.14218957971901336,0.48733566401991857,-0.08045490981293286,0.07790075660542752,0.03353314917290034,-0.32244674499803716,-0.07948434890220296
pts,don40 100pts/150pts,3.6680684179971963,0.1597677295157253,0.45475389984900527,-0.09189533820717319,0.08437888590646613,0.04289181834556524,-0.3159869969282676,-0.1610895027127152
pts,don40 100pts/none,3.8806272543959515,0.14365888737736268,0.4846194007078593,-0.10257679100807865,0.09052743104434371,0.05782608717454369,-0.3321511810579929,-0.15382983742472792
