,adx>=15,adx>=20,adx>=25,adx>=30,adx<=20,adx<=25,+DI>-DI,-DI>+DI,atr/tod>=1.0,atr/tod>=1.2,atr/tod<=1.0,atr/tod<=0.8,atrpct250>=0.5,atrpct250>=0.8,atrpct250<=0.5,atrpct250<=0.2,ema13>48,ema13<48,ema13x48 fresh<=5,ema13>34>89,d_ema200>=0,d_ema200>=1.0,d_ema200>=2.0,d_ema200<=1.0
adx>=15,1.0,0.47533628374104925,0.29182848780903775,0.20649804865327928,-0.47533628374104947,-0.29182848780903764,-0.0400099391984446,0.04000993919844458,0.03469914732730038,0.005775271835098675,-0.03469914732730026,-0.05492147257699674,0.16733086942319875,0.11435229776012436,-0.16990292976413382,-0.1397537101071077,-0.013143818232862897,0.01314381823286288,-0.06471629022740785,0.0080426358357238,0.05586548093842796,0.060497944455493675,0.061967218734573976,-0.06049794445549366
adx>=20,0.47533628374104925,1.0,0.6139411145142376,0.4344251758524999,-1.0000000000000004,-0.6139411145142374,-0.05588505433399662,0.055885054333996716,0.06575153532320785,0.03896293193691156,-0.06575153532320789,-0.09167067214173445,0.18984998379430218,0.14992434495869342,-0.1926965396396355,-0.12376411337674802,0.002876757987929404,-0.0028767579879294043,-0.13521679066446102,0.05914997208317694,0.0759301309673959,0.06174821602586229,0.08468333183225904,-0.061748216025862314
adx>=25,0.29182848780903775,0.6139411145142376,1.0,0.7076007219295374,-0.6139411145142379,-1.0000000000000002,-0.06663325591377836,0.06663325591377824,0.0419065475047798,0.024245084056209874,-0.041906547504779776,-0.05341699493903405,0.136274293419657,0.12232349281449471,-0.13552447703144468,-0.0917563683637202,0.03255253802918196,-0.032552538029181906,-0.20016762672257693,0.12426182556998888,0.09784197946521649,0.1132019476865121,0.13100735733402225,-0.11320194768651202
adx>=30,0.20649804865327928,0.4344251758524999,0.7076007219295374,1.0,-0.43442517585250034,-0.707600721929537,-0.06919811461763994,0.06919811461764006,0.0052177757612764655,-0.0157767431334727,-0.005217775761276506,-0.018662529700197134,0.10528395709739034,0.10145818794799186,-0.10678396618294825,-0.05885875503608001,0.06455652647556605,-0.06455652647556614,-0.2047986254573997,0.16236077218245118,0.09388378666184319,0.12199130755585462,0.1554130086239354,-0.12199130755585459
adx<=20,-0.47533628374104947,-1.0000000000000004,-0.6139411145142379,-0.43442517585250034,1.0,0.6139411145142376,0.05588505433399691,-0.055885054333996896,-0.06575153532320809,-0.03896293193691189,0.06575153532320807,0.09167067214173485,-0.18984998379430262,-0.14992434495869345,0.19269653963963565,0.12376411337674795,-0.002876757987929309,0.002876757987929337,0.13521679066446093,-0.05914997208317695,-0.07593013096739575,-0.06174821602586226,-0.08468333183225923,0.06174821602586229
adx<=25,-0.29182848780903764,-0.6139411145142374,-1.0000000000000002,-0.707600721929537,0.6139411145142376,1.0,0.06663325591377847,-0.06663325591377837,-0.041906547504779824,-0.024245084056209756,0.041906547504779706,0.053416994939033964,-0.13627429341965727,-0.12232349281449496,0.13552447703144474,0.09175636836372027,-0.03255253802918196,0.0325525380291819,0.20016762672257724,-0.12426182556998887,-0.09784197946521644,-0.11320194768651205,-0.13100735733402222,0.11320194768651208
+DI>-DI,-0.0400099391984446,-0.05588505433399662,-0.06663325591377836,-0.06919811461763994,0.05588505433399691,0.06663325591377847,1.0,-0.9999999999999996,-0.04341410965753226,-0.08627652402273618,0.04341410965753233,0.02511495811874548,-0.04125153314831929,-0.052639578422785674,0.043183053132862005,0.007489249330230754,0.34714160394476506,-0.34714160394476506,0.09191269485031858,0.2577322855677597,0.22427590818321497,0.23622556830579752,0.2296416247081585,-0.2362255683057976
-DI>+DI,0.04000993919844458,0.055885054333996716,0.06663325591377824,0.06919811461764006,-0.055885054333996896,-0.06663325591377837,-0.9999999999999996,1.0,0.04341410965753119,0.08627652402273547,-0.043414109657531216,-0.02511495811874478,0.04125153314831934,0.05263957842278536,-0.04318305313286202,-0.007489249330230658,-0.34714160394476523,0.3471416039447654,-0.09191269485031876,-0.25773228556775946,-0.22427590818321502,-0.23622556830579752,-0.2296416247081585,0.23622556830579752
atr/tod>=1.0,0.03469914732730038,0.06575153532320785,0.0419065475047798,0.0052177757612764655,-0.06575153532320809,-0.041906547504779824,-0.04341410965753226,0.04341410965753119,1.0,0.7064309976549077,-0.9999999999999998,-0.6280227664593356,0.19034493157358057,0.14348600322626068,-0.19598303119980254,-0.12319139017433356,-0.15618819977939355,0.15618819977939305,0.056775405128505464,-0.2128627042650969,-0.2081925593545371,-0.22680991731542827,-0.23219514516644593,0.22680991731542835
atr/tod>=1.2,0.005775271835098675,0.03896293193691156,0.024245084056209874,-0.0157767431334727,-0.03896293193691189,-0.024245084056209756,-0.08627652402273618,0.08627652402273547,0.7064309976549077,1.0,-0.7064309976549075,-0.44365474945986394,0.14000543298638354,0.1559063392875722,-0.1428956193744248,-0.07092374994201905,-0.17273131807936581,0.1727313180793656,0.07844732733824941,-0.22748815249038173,-0.23525716236429592,-0.2441566540350687,-0.247800812940464,0.2441566540350689
atr/tod<=1.0,-0.03469914732730026,-0.06575153532320789,-0.041906547504779776,-0.005217775761276506,0.06575153532320807,0.041906547504779706,0.04341410965753233,-0.043414109657531216,-0.9999999999999998,-0.7064309976549075,1.0,0.6280227664593351,-0.19034493157358046,-0.14348600322626065,0.1959830311998024,0.1231913901743335,0.15618819977939344,-0.15618819977939316,-0.056775405128505534,0.21286270426509682,0.208192559354537,0.22680991731542793,0.2321951451664458,-0.22680991731542832
atr/tod<=0.8,-0.05492147257699674,-0.09167067214173445,-0.05341699493903405,-0.018662529700197134,0.09167067214173485,0.053416994939033964,0.02511495811874548,-0.02511495811874478,-0.6280227664593356,-0.44365474945986394,0.6280227664593351,1.0,-0.20286752603733038,-0.1667912874187951,0.20945166430394768,0.1458202425724247,0.11125828374914198,-0.11125828374914162,-0.05635165424532914,0.16987410736326122,0.13607472105666243,0.1678073670931549,0.18115890554550343,-0.16780736709315505
atrpct250>=0.5,0.16733086942319875,0.18984998379430218,0.136274293419657,0.10528395709739034,-0.18984998379430262,-0.13627429341965727,-0.04125153314831929,0.04125153314831934,0.19034493157358057,0.14000543298638354,-0.19034493157358046,-0.20286752603733038,1.0,0.4317721826000086,-0.9921853984007903,-0.39087410461209837,-0.11668647390995435,0.1166864739099545,0.08777285936129127,-0.13027670470890024,-0.04236649650015293,-0.10146835281136199,-0.12357669338448089,0.101468352811362
atrpct250>=0.8,0.11435229776012436,0.14992434495869342,0.12232349281449471,0.10145818794799186,-0.14992434495869345,-0.12232349281449496,-0.052639578422785674,0.05263957842278536,0.14348600322626068,0.1559063392875722,-0.14348600322626065,-0.1667912874187951,0.4317721826000086,1.0,-0.4351728853256057,-0.16876856527019002,-0.09921434491284514,0.09921434491284509,0.14028749801438237,-0.1366065457235115,-0.02771350702983569,-0.09505841629986841,-0.13073367496495278,0.09505841629986846
atrpct250<=0.5,-0.16990292976413382,-0.1926965396396355,-0.13552447703144468,-0.10678396618294825,0.19269653963963565,0.13552447703144474,0.043183053132862005,-0.04318305313286202,-0.19598303119980254,-0.1428956193744248,0.1959830311998024,0.20945166430394768,-0.9921853984007903,-0.4351728853256057,1.0,0.3878195792091076,0.11561823032627479,-0.11561823032627486,-0.08701952113264341,0.1256370132825775,0.04226046777044968,0.0991926324737263,0.11960247374013651,-0.09919263247372628
atrpct250<=0.2,-0.1397537101071077,-0.12376411337674802,-0.0917563683637202,-0.05885875503608001,0.12376411337674795,0.09175636836372027,0.007489249330230754,-0.007489249330230658,-0.12319139017433356,-0.07092374994201905,0.1231913901743335,0.1458202425724247,-0.39087410461209837,-0.16876856527019002,0.3878195792091076,1.0,0.06432683767928496,-0.0643268376792849,-0.045783872705360586,0.10659734839154093,0.07933682624383107,0.09856552205094428,0.09056972233332186,-0.09856552205094421
ema13>48,-0.013143818232862897,0.002876757987929404,0.03255253802918196,0.06455652647556605,-0.002876757987929309,-0.03255253802918196,0.34714160394476506,-0.34714160394476523,-0.15618819977939355,-0.17273131807936581,0.15618819977939344,0.11125828374914198,-0.11668647390995435,-0.09921434491284514,0.11561823032627479,0.06432683767928496,1.0,-1.0,0.2668597751458223,0.6849538941642601,0.5192941542927622,0.5410620493855339,0.5277171348065088,-0.5410620493855339
ema13<48,0.01314381823286288,-0.0028767579879294043,-0.032552538029181906,-0.06455652647556614,0.002876757987929337,0.0325525380291819,-0.34714160394476506,0.3471416039447654,0.15618819977939305,0.1727313180793656,-0.15618819977939316,-0.11125828374914162,0.1166864739099545,0.09921434491284509,-0.11561823032627486,-0.0643268376792849,-1.0,1.0,-0.2668597751458225,-0.6849538941642599,-0.5192941542927619,-0.5410620493855338,-0.5277171348065088,0.5410620493855336
ema13x48 fresh<=5,-0.06471629022740785,-0.13521679066446102,-0.20016762672257693,-0.2047986254573997,0.13521679066446093,0.20016762672257724,0.09191269485031858,-0.09191269485031876,0.056775405128505464,0.07844732733824941,-0.056775405128505534,-0.05635165424532914,0.08777285936129127,0.14028749801438237,-0.08701952113264341,-0.045783872705360586,0.2668597751458223,-0.2668597751458225,1.0,-0.15283533301772614,0.02047972335712624,-0.023070810947388564,-0.08086159621752632,0.02307081094738853
ema13>34>89,0.0080426358357238,0.05914997208317694,0.12426182556998888,0.16236077218245118,-0.05914997208317695,-0.12426182556998887,0.2577322855677597,-0.25773228556775946,-0.2128627042650969,-0.22748815249038173,0.21286270426509682,0.16987410736326122,-0.13027670470890024,-0.1366065457235115,0.1256370132825775,0.10659734839154093,0.6849538941642601,-0.6849538941642599,-0.15283533301772614,1.0,0.5750243231092705,0.6790268869271203,0.7306318582706547,-0.6790268869271204
