cond,p_sig,p_pop,lift,n_sig,inert
ema13x48 fresh<=5,0.1918238993710692,0.09340965100564433,2.0535768767563227,427,False
+DI>-DI,0.9784366576819407,0.5170919786946498,1.8921907474796111,2178,True
d_ema200>=2.0,0.692722371967655,0.42101915891565306,1.6453464344752893,1542,False
ema13>34>89,0.6621743036837376,0.42205262739486443,1.5689377596605267,1474,False
d_ema200>=1.0,0.7794249775381851,0.501709197869465,1.5535393428066597,1735,False
ema13>48,0.8418688230008985,0.5643135384370777,1.4918458723009513,1874,False
d_ema200>=0,0.8566936208445642,0.5870100961920661,1.459418886322288,1907,False
atrpct250>=0.5,0.6850853548966757,0.5926146752524049,1.1560384572064233,1525,False
adx>=30,0.3252470799640611,0.29636696080769537,1.097447161713499,724,False
atrpct250>=0.8,0.2830188679245283,0.26031481039828286,1.0872176941892324,630,False
adx>=20,0.7219227313566936,0.6912314174417681,1.0444009244089532,1607,False
adx>=25,0.48697214734950584,0.4674059941171794,1.0418611517151857,1084,False
adx>=15,0.9281221922731356,0.9016614993242706,1.0293465928940022,2066,False
atr/tod>=1.0,0.6819407008086253,0.6629700294141029,1.0286146741976974,1518,False
atr/tod>=1.2,0.5098831985624438,0.5041736227045075,1.0113246223142511,1135,False
adx<=25,0.5130278526504941,0.5325940058828206,0.9632625357848444,1142,False
atr/tod<=1.0,0.31805929919137466,0.3370299705858971,0.9437122124137992,708,False
adx<=20,0.2780772686433064,0.308768582558232,0.9006009171637877,619,False
atr/tod<=0.8,0.14690026954177898,0.1666269178790047,0.8816118752700562,327,False
atrpct250<=0.5,0.31761006289308175,0.41112171078782095,0.7725450993197478,707,False
atrpct250<=0.2,0.06289308176100629,0.1122505763574211,0.5602918381527607,140,False
d_ema200<=1.0,0.2205750224618149,0.498290802130535,0.4426632430675127,491,False
ema13<48,0.15813117699910154,0.43568646156292234,0.3629471901234738,352,False
-DI>+DI,0.0215633423180593,0.4829080213053502,0.04465310445614749,48,False
