rule,geom,n,pts,sd,mde,pf,win,be,res_win,amb,flat_sh,tot,kept,ctl_med,p,lift_pts,stk,arm,conds
S1 CONV full,30/150,328,1.9996341463414657,59.85424408028488,9.260323517694934,1.0892613631724066,0.2865853658536585,0.17938888888888888,0.11811023622047244,0.01524390243902439,0.22560975609756098,655.8800000000008,0.29110512129380056,0.5860488318770543,0.2375,0.5380646396150064,S1 CONV,full,adx>=25 & atr/tod>=1.0 & ema13>48
S1 CONV -ADX,30/150,656,2.9721951219512217,59.90403142379433,6.553484276792936,1.1358383617131111,0.30335365853658536,0.17938888888888888,0.1254980079681275,0.012195121951219513,0.2347560975609756,1949.7600000000016,0.5561545372866128,0.9480657449585785,0.04,1.5106256152247624,S1 CONV,-ADX,atr/tod>=1.0 & ema13>48
S1 CONV -ATR,30/150,455,2.81769230769231,56.54813011933483,7.428150277337824,1.136605849954662,0.3252747252747253,0.17938888888888888,0.11006289308176101,0.01098901098901099,0.3010989010989011,1282.050000000001,0.4335130278526505,0.8388133826555977,0.08,1.3561228009658506,S1 CONV,-ATR,adx>=25 & ema13>48
S1 CONV -EMA,30/150,392,-1.0425510204081623,57.59038259456777,8.150327519901282,0.9546707395120345,0.2627551020408163,0.17938888888888888,0.10749185667752444,0.012755102040816327,0.21683673469387754,-408.6799999999996,0.33647798742138363,0.553957323861189,0.8425,-2.5041205271346216,S1 CONV,-EMA,adx>=25 & atr/tod>=1.0
S2 LIFT full,30/150,24,7.418333333333332,56.74541097451552,32.455870047843426,1.4101737087038655,0.4166666666666667,0.17938888888888888,0.13333333333333333,0.041666666666666664,0.375,178.03999999999996,0.02021563342318059,0.58936046511628,0.1975,5.956763826606872,S2 LIFT,full,adx>=30 & atrpct250>=0.5 & ema13x48 fresh<=5
S2 LIFT -ADX,30/150,208,-3.381346153846153,48.160423567272694,9.356787390170474,0.8361613507393846,0.3076923076923077,0.17938888888888888,0.07352941176470588,0.019230769230769232,0.34615384615384615,-703.3199999999998,0.15049415992812218,0.18097934918648534,0.8825,-4.842915660572612,S2 LIFT,-ADX,atrpct250>=0.5 & ema13x48 fresh<=5
S2 LIFT -ATR,30/150,26,4.363846153846154,55.48761469567227,30.491410351109767,1.2275389058238408,0.38461538461538464,0.17938888888888888,0.11764705882352941,0.038461538461538464,0.34615384615384615,113.46000000000001,0.0215633423180593,-0.24424671385237445,0.3175,2.902276647119695,S2 LIFT,-ATR,adx>=30 & ema13x48 fresh<=5
S2 LIFT -EMA,30/150,273,-0.22406593406593225,50.08018618656415,8.492836087465028,0.9886453073953072,0.34065934065934067,0.17938888888888888,0.08,0.007326007326007326,0.358974358974359,-61.169999999999504,0.238544474393531,0.5784378629500597,0.64,-1.6856354407923917,S2 LIFT,-EMA,adx>=30 & atrpct250>=0.5
S3 DIST full,30/150,219,0.27621004566210233,49.46269977988779,9.365347380805783,1.0141913022261744,0.3470319634703196,0.17938888888888888,0.07352941176470588,0.0091324200913242,0.3789954337899543,60.49000000000041,0.1958670260557053,0.6099681609261107,0.5575,-1.185359461064357,S3 DIST,full,adx>=30 & atrpct250>=0.5 & d_ema200>=2.0
S3 DIST -ADX,30/150,526,0.7594296577946786,51.5232488407191,6.294750179410007,1.0386097923078113,0.33079847908745247,0.17938888888888888,0.08656716417910448,0.009505703422053232,0.36311787072243346,399.46000000000095,0.4532794249775382,0.7972305535387942,0.5125,-0.7021398489317807,S3 DIST,-ADX,atrpct250>=0.5 & d_ema200>=2.0
S3 DIST -ATR,30/150,286,1.5806293706293726,53.70315464244043,8.897846560470988,1.0774156204672063,0.3321678321678322,0.17938888888888888,0.08376963350785341,0.006993006993006993,0.3321678321678322,452.06000000000057,0.27628032345013476,0.5535557909604535,0.305,0.11905986390291323,S3 DIST,-ATR,adx>=30 & d_ema200>=2.0
S3 DIST -EMA,30/150,273,-0.22406593406593225,50.08018618656415,8.492836087465028,0.9886453073953072,0.34065934065934067,0.17938888888888888,0.08,0.007326007326007326,0.358974358974359,-61.169999999999504,0.238544474393531,0.5512398921832897,0.67,-1.6856354407923917,S3 DIST,-EMA,adx>=30 & atrpct250>=0.5
S1 CONV full,50/150,309,0.525533980582525,70.3795481434275,11.21851480596082,1.01780069014807,0.3786407766990291,0.26145,0.1683673469387755,0.009708737864077669,0.3656957928802589,162.3900000000002,0.29110512129380056,0.6539046968946085,0.5225,-0.45815022994379195,S1 CONV,full,adx>=25 & atr/tod>=1.0 & ema13>48
