name,market,block,c_tf,c_ema,c_win,c_vwap,c_anchor,c_weight,c_atrg,c_stop,c_trail,c_tp,n,pct,tot,pf,win_rate,dd,filter_p,entry_p,keep
F1 marginal consensus,US100,research,60,13/34/89,30,0<dist<=2.0,session,vol,atr>=mean,3.0,2.5,0.0,262,0.10861576495983805,28.457330419477568,1.446418609885426,0.4312977099236641,5.759029962462172,0.339,0.1,0.19433470622846097
F1 marginal consensus,US100,validation,60,13/34/89,30,0<dist<=2.0,session,vol,atr>=mean,3.0,2.5,0.0,107,0.27848121080665533,29.79748955631212,1.7468590707826395,0.4392523364485981,8.8208664150012,0.061,0.0,0.19433470622846097
F1 marginal consensus,US100,test,60,13/34/89,30,0<dist<=2.0,session,vol,atr>=mean,3.0,2.5,0.0,100,-0.0973192151074119,-9.73192151074119,0.7170267791700692,0.3,12.60599529523542,1.0,0.9975,0.19433470622846097
F1 marginal consensus,US30,research,60,13/34/89,30,0<dist<=2.0,session,vol,atr>=mean,3.0,2.5,0.0,243,0.05113014646651887,12.424625591364086,1.2155354868788635,0.3662551440329218,7.690544895953611,0.981,0.71,0.1958481289265228
F1 marginal consensus,US30,validation,60,13/34/89,30,0<dist<=2.0,session,vol,atr>=mean,3.0,2.5,0.0,111,0.03824656769406171,4.24536901404085,1.1454176713658415,0.43243243243243246,8.735530387014153,0.682,0.1825,0.1958481289265228
F1 marginal consensus,US30,test,60,13/34/89,30,0<dist<=2.0,session,vol,atr>=mean,3.0,2.5,0.0,76,0.2622139071502836,19.92825694342155,3.0325305905688054,0.5921052631578947,1.550126621107628,0.0,0.0,0.1958481289265228
F1 marginal consensus,NQ,research,60,13/34/89,30,0<dist<=2.0,session,vol,atr>=mean,3.0,2.5,0.0,113,0.1628987072308478,18.4075539170858,1.6507410161584974,0.3893805309734513,4.650206903331494,0.292,0.0525,0.19859578736208625
F1 marginal consensus,NQ,locked,60,13/34/89,30,0<dist<=2.0,session,vol,atr>=mean,3.0,2.5,0.0,53,0.03397452786540698,1.80064997686657,1.1244681192238457,0.37735849056603776,5.283533877189689,0.1,0.3775,0.19859578736208625
F2 top research Sharpe,US100,research,30,13/34/89,30,above and rising,roll,flat,off,1.5,2.5,0.0,899,0.1024624133015451,92.11370955808904,1.6425510425550265,0.39933259176863184,6.501849866909907,0.0,0.0,0.7058329836340747
F2 top research Sharpe,US100,validation,30,13/34/89,30,above and rising,roll,flat,off,1.5,2.5,0.0,324,0.06798128388886512,22.0259359799923,1.2670282228897527,0.32407407407407407,10.305290381031687,0.005,0.0325,0.7058329836340747
F2 top research Sharpe,US100,test,30,13/34/89,30,above and rising,roll,flat,off,1.5,2.5,0.0,325,0.02137318919180368,6.946286487336196,1.106990047205225,0.3323076923076923,11.84061433585381,0.46,0.6,0.7058329836340747
F2 top research Sharpe,US30,research,30,13/34/89,30,above and rising,roll,flat,off,1.5,2.5,0.0,861,0.05938882291989654,51.13377653403092,1.4128913891672223,0.3554006968641115,9.70860753107098,0.06,0.0325,0.6832283756251157
F2 top research Sharpe,US30,validation,30,13/34/89,30,above and rising,roll,flat,off,1.5,2.5,0.0,320,0.020744847005039015,6.638351041612485,1.124341220460069,0.334375,5.351022944059886,0.551,0.43,0.6832283756251157
F2 top research Sharpe,US30,test,30,13/34/89,30,above and rising,roll,flat,off,1.5,2.5,0.0,285,-0.005481369830549532,-1.5621904017066166,0.9620977722515407,0.3192982456140351,11.45059558407961,0.044,0.8975,0.6832283756251157
F2 top research Sharpe,NQ,research,30,13/34/89,30,above and rising,roll,flat,off,1.5,2.5,0.0,352,0.03688037687253895,12.98189265913371,1.23231269785542,0.3352272727272727,5.587557458218118,0.723,0.4825,0.7029226785053644
F2 top research Sharpe,NQ,locked,30,13/34/89,30,above and rising,roll,flat,off,1.5,2.5,0.0,185,0.05121920167449253,9.475552309781119,1.2700100594888082,0.35135135135135137,9.826982846064734,0.032,0.1425,0.7029226785053644
F3 top research total,US100,research,30,10/30/60,3,0<dist<=2.0,session,vol,off,2.5,0.0,0.0,230,0.5694091522446117,130.9641050162607,2.2755909230613125,0.2391304347826087,12.59142434135591,0.0,0.0,0.6354759967453214
