stop,tp_mode,tp_val,partial,market,n_research,pct_research,R_research,pf_research,win_research,stopsh_research,tgtsh_research,capsh_research,amb_research,bars_research,tot_research,n_validation,pct_validation,R_validation,pf_validation,win_validation,stopsh_validation,tgtsh_validation,capsh_validation,amb_validation,bars_validation,tot_validation,n_test,pct_test,R_test,pf_test,win_test,stopsh_test,tgtsh_test,capsh_test,amb_test,bars_test,tot_test,n_locked,pct_locked,R_locked,pf_locked,win_locked,stopsh_locked,tgtsh_locked,capsh_locked,amb_locked,bars_locked,tot_locked
0.75,0,0.0,0.0,US100,376.0,0.20208438815541974,1.2303016434790497,2.1737472359960304,0.09574468085106383,0.9042553191489362,0.0,0.09574468085106383,0.0,75.5372340425532,75.98372994643782,154.0,0.24014175339321023,0.9694683471650916,1.9171265512169284,0.07792207792207792,0.922077922077922,0.0,0.07792207792207792,0.0,60.188311688311686,36.98183002255438,171.0,0.11350703376943974,0.46405048814828365,1.5762572289797991,0.07017543859649122,0.9298245614035088,0.0,0.07017543859649122,0.0,55.45029239766082,19.409702774574196,,,,,,,,,,,
0.75,0,0.0,1.0,US100,376.0,0.10069338171492258,0.6062592113290025,2.05415960180572,0.09840425531914894,0.47606382978723405,0.0,0.0,0.0,75.5372340425532,37.86071152481089,154.0,0.12864730949135342,0.47965641942599513,1.9475783190854092,0.08441558441558442,0.4935064935064935,0.0,0.0,0.0,60.188311688311686,19.811685661668427,171.0,0.05739698395622294,0.23922555464528417,1.5035548425281435,0.0935672514619883,0.5087719298245614,0.0,0.0,0.0,55.45029239766082,9.814884256514123,,,,,,,,,,,
0.75,0,0.0,2.0,US100,376.0,0.10740321342345402,0.6620296950359967,1.9072803408191175,0.38563829787234044,0.6117021276595744,0.0,0.0,0.0,75.5372340425532,40.38360824721871,154.0,0.1452286313549167,0.5493504090189338,1.845227012275654,0.37662337662337664,0.6168831168831169,0.0,0.0,0.0,60.188311688311686,22.36520922865717,171.0,0.0642552739687612,0.2536232808861989,1.474250798991477,0.3333333333333333,0.6549707602339181,0.0,0.0,0.0,55.45029239766082,10.987651848658166,,,,,,,,,,,
0.75,1,0.5,0.0,US100,1624.0,-0.00906096913474142,-0.07480685491718653,0.8333319657908889,0.6773399014778325,0.3226600985221675,0.6773399014778325,0.0,0.05172413793103448,2.1108374384236455,-14.715013874820066,509.0,-0.0017069091193426757,-0.04176337836104866,0.9794287557971791,0.656188605108055,0.343811394891945,0.656188605108055,0.0,0.05304518664047151,2.611001964636542,-0.8688167417454219,623.0,-0.004864575586287082,-0.02594806669070934,0.9208556880280566,0.6645264847512039,0.33547351524879615,0.6645264847512039,0.0,0.051364365971107544,2.3402889245585876,-3.0306305902568518,,,,,,,,,,,
0.75,1,0.5,1.0,US100,1624.0,-6.581029616728415e-05,-0.013915363943791373,0.9987894812872864,0.6773399014778325,0.3226600985221675,0.43103448275862066,0.0,0.05172413793103448,2.1108374384236455,-0.10687592097566945,509.0,0.014524658858848164,0.024565994352366824,1.1750475763250365,0.656188605108055,0.343811394891945,0.38703339882121807,0.0,0.05304518664047151,2.611001964636542,7.3930513591537155,623.0,0.003538097164795237,0.022265307736352415,1.0575631441696498,0.6645264847512039,0.33547351524879615,0.4654895666131621,0.0,0.051364365971107544,2.3402889245585876,2.2042345336674325,,,,,,,,,,,
0.75,1,0.5,2.0,US100,1624.0,-0.003991607314891506,-0.038712472355387814,0.9265781248545575,0.6773399014778325,0.3226600985221675,0.6280788177339901,0.0,0.05172413793103448,2.1108374384236455,-6.482370279383806,509.0,0.00641712652328963,-0.006399920832918793,1.0773376129373715,0.656188605108055,0.343811394891945,0.6070726915520629,0.0,0.05304518664047151,2.611001964636542,3.2663174003544215,623.0,-0.0005629595854334398,-0.0011181739907364582,0.9908409175133926,0.6645264847512039,0.33547351524879615,0.6308186195826645,0.0,0.051364365971107544,2.3402889245585876,-0.350723821725033,,,,,,,,,,,
0.75,1,1.0,0.0,US100,1292.0,0.004684352307147709,0.016099270323642265,1.0615866542636496,0.5510835913312694,0.44891640866873067,0.5510835913312694,0.0,0.021671826625386997,3.5456656346749225,6.052183180834841,419.0,0.010308670996499259,0.024280236233451578,1.0854690145945192,0.5274463007159904,0.47255369928400953,0.5274463007159904,0.0,0.026252983293556086,4.544152744630072,4.3193331475331895,489.0,-0.00044678984871235946,-0.004276195817275202,0.9952168086676916,0.5010224948875256,0.49897750511247446,0.5010224948875256,0.0,0.032719836400818,4.122699386503068,-0.21848023602034378,,,,,,,,,,,
0.75,1,1.0,1.0,US100,1292.0,0.004684352307147709,0.016099270323642265,1.0615866542636496,0.5510835913312694,0.44891640866873067,0.0,0.0,0.021671826625386997,3.5456656346749225,6.052183180834841,419.0,0.010308670996499259,0.024280236233451578,1.0854690145945192,0.5274463007159904,0.47255369928400953,0.0,0.0,0.026252983293556086,4.544152744630072,4.3193331475331895,489.0,-0.00044678984871235946,-0.004276195817275202,0.9952168086676916,0.5010224948875256,0.49897750511247446,0.0,0.0,0.032719836400818,4.122699386503068,-0.21848023602034378,,,,,,,,,,,
0.75,1,1.0,2.0,US100,1292.0,0.010204655381018946,0.057646433359375145,1.1341638163874952,0.5510835913312694,0.44891640866873067,0.46439628482972134,0.0,0.021671826625386997,3.5456656346749225,13.184414752276478,419.0,0.017527909422828787,0.05673747868058395,1.1453235966867021,0.5274463007159904,0.47255369928400953,0.45823389021479716,0.0,0.026252983293556086,4.544152744630072,7.344194048165262,489.0,0.003966765171969656,0.020200333839284296,1.0424669379632219,0.5010224948875256,0.49897750511247446,0.4437627811860941,0.0,0.032719836400818,4.122699386503068,1.9397481690931617,,,,,,,,,,,
0.75,1,1.5,0.0,US100,1085.0,0.018422655237971538,0.11268211721530957,1.207474251667824,0.4783410138248848,0.5216589861751152,0.4783410138248848,0.0,0.013824884792626729,5.223041474654378,19.988580933199117,348.0,0.0053159189370543675,0.0361589210523121,1.0352473037827528,0.4281609195402299,0.5718390804597702,0.4281609195402299,0.0,0.008620689655172414,6.163793103448276,1.84993979009492,431.0,0.00625002969184189,0.027797225249081924,1.056934818918609,0.41067285382830626,0.5893271461716937,0.41067285382830626,0.0,0.016241299303944315,5.626450116009281,2.6937627971838545,,,,,,,,,,,
0.75,1,1.5,1.0,US100,1085.0,0.012542694589428246,0.06793878804310921,1.1654825000755236,0.4783410138248848,0.4470046082949309,0.0,0.0,0.013824884792626729,5.223041474654378,13.608823629529647,348.0,0.007834934263118801,0.028025196329417287,1.0639833161895575,0.4281609195402299,0.47413793103448276,0.0,0.0,0.008620689655172414,6.163793103448276,2.726557123565343,431.0,0.0006601645029590826,-0.0007643516877605677,1.0068058710774348,0.41067285382830626,0.5127610208816705,0.0,0.0,0.016241299303944315,5.626450116009281,0.2845309007753646,,,,,,,,,,,
0.75,1,1.5,2.0,US100,1085.0,0.024893018840273836,0.15803307093582866,1.280342892429198,0.4783410138248848,0.5216589861751152,0.2903225806451613,0.0,0.013824884792626729,5.223041474654378,27.008925441697112,348.0,0.013791735630716244,0.07207846013751329,1.0914463710269917,0.4281609195402299,0.5718390804597702,0.28160919540229884,0.0,0.008620689655172414,6.163793103448276,4.799523999489253,431.0,0.011385451767246509,0.05605351994181993,1.1037160888244857,0.41067285382830626,0.5893271461716937,0.2853828306264501,0.0,0.016241299303944315,5.626450116009281,4.907129711683245,,,,,,,,,,,
0.75,1,2.0,0.0,US100,965.0,0.02343726281371283,0.15271158433859466,1.232683090189322,0.41243523316062175,0.5875647668393782,0.41243523316062175,0.0,0.00932642487046632,6.689119170984456,22.616958615232882,313.0,0.024991331145074135,0.08930683258271223,1.1538257487532837,0.3738019169329074,0.6261980830670927,0.3738019169329074,0.0,0.006389776357827476,7.738019169329074,7.8222866484082045,379.0,0.01340965813051603,0.05222724968909308,1.110526571857023,0.35092348284960423,0.6490765171503958,0.35092348284960423,0.0,0.013192612137203167,7.258575197889182,5.082260431465575,,,,,,,,,,,
0.75,1,2.0,1.0,US100,965.0,0.014041482677079324,0.08462449726505454,1.179892995392808,0.41347150259067356,0.45077720207253885,0.0,0.0,0.00932642487046632,6.689119170984456,13.550030783381548,313.0,0.01388788257497937,0.0358471600884373,1.10984671840647,0.3738019169329074,0.49201277955271566,0.0,0.0,0.006389776357827476,7.738019169329074,4.346907245968543,379.0,0.004531353653183317,0.0192501983602866,1.0458903104835209,0.35092348284960423,0.5065963060686016,0.0,0.0,0.013192612137203167,7.258575197889182,1.717383034556477,,,,,,,,,,,
0.75,1,2.0,2.0,US100,965.0,0.02343726281371283,0.15271158433859466,1.232683090189322,0.41243523316062175,0.5875647668393782,0.0,0.0,0.00932642487046632,6.689119170984456,22.616958615232882,313.0,0.024991331145074135,0.08930683258271223,1.1538257487532837,0.3738019169329074,0.6261980830670927,0.0,0.0,0.006389776357827476,7.738019169329074,7.8222866484082045,379.0,0.01340965813051603,0.05222724968909308,1.110526571857023,0.35092348284960423,0.6490765171503958,0.0,0.0,0.013192612137203167,7.258575197889182,5.082260431465575,,,,,,,,,,,
0.75,1,3.0,0.0,US100,853.0,0.027863701789181943,0.16860162228706604,1.235976148758771,0.31652989449003516,0.6834701055099648,0.31652989449003516,0.0,0.0011723329425556857,9.403282532239157,23.7677376261722,274.0,0.031572191947904144,0.11940614183253491,1.1716635197858511,0.28832116788321166,0.7116788321167883,0.28832116788321166,0.0,0.0036496350364963502,10.412408759124087,8.650780593725734,334.0,0.012975009393053868,0.02365625196763378,1.0931531154764476,0.25748502994011974,0.7425149700598802,0.25748502994011974,0.0,0.0029940119760479044,9.380239520958083,4.333653137279992,,,,,,,,,,,
0.75,1,3.0,1.0,US100,853.0,0.01773377326316615,0.09534558853632973,1.2243697526512072,0.31887456037514655,0.4490035169988277,0.0,0.0,0.0011723329425556857,9.403282532239157,15.126908593480726,274.0,0.02036623698865337,0.05736234557759443,1.164468579854794,0.28832116788321166,0.48905109489051096,0.0,0.0,0.0036496350364963502,10.412408759124087,5.580348934891023,334.0,0.00248595543324048,-0.00699704381666525,1.0242215990618742,0.26047904191616766,0.5209580838323353,0.0,0.0,0.0029940119760479044,9.380239520958083,0.8303091147023204,,,,,,,,,,,
