stop,tp_mode,tp_val,partial,n,blocks,pos,pct,R,tot,win,amb,bars,tgt_share,stop_share,label
0.75,0,0.0,0.0,1265.0,7.0,7.0,0.12726897150981123,0.7938614838285347,160.9952489599112,0.07984189723320158,0.0,62.03794466403162,0.0,0.9201581027667984,0.75N / none
0.75,0,0.0,1.0,1265.0,7.0,7.0,0.06415770572976055,0.3794382761322143,81.1594977481471,0.08774703557312254,0.0,62.03794466403162,0.0,0.5067193675889328,0.75N / none +half@1R
0.75,0,0.0,2.0,1265.0,7.0,7.0,0.0710906964060549,0.4122999506045245,89.92973095365946,0.34703557312252964,0.0,62.03794466403162,0.0,0.6482213438735178,0.75N / none +half@2R
0.75,1,0.5,0.0,4399.0,7.0,1.0,-0.00437937956653468,-0.053794830801844336,-19.26489071318606,0.6560581950443283,0.05523982723346215,2.4473744032734714,0.6560581950443283,0.3439418049556717,0.75N / 0.5R
0.75,1,0.5,1.0,4399.0,7.0,7.0,0.005215382932133376,0.0063292543549780325,22.942469518454722,0.6560581950443283,0.05523982723346215,2.4473744032734714,0.411002500568311,0.3439418049556717,0.75N / 0.5R +half@1R
0.75,1,0.5,2.0,4399.0,7.0,4.0,0.00016367774008373576,-0.02118591229149617,0.7200183786283536,0.6560581950443283,0.05523982723346215,2.4473744032734714,0.6110479654466924,0.3439418049556717,0.75N / 0.5R +half@2R
0.75,1,1.0,0.0,3577.0,7.0,4.0,0.00026984411885455336,-0.022021039980819217,0.9652324131427374,0.5054514956667598,0.02460162147050601,4.044450656975119,0.5054514956667598,0.49454850433324016,0.75N / 1R
0.75,1,1.0,1.0,3577.0,7.0,4.0,0.00026984411885455336,-0.022021039980819217,0.9652324131427374,0.5054514956667598,0.02460162147050601,4.044450656975119,0.0,0.49454850433324016,0.75N / 1R +half@1R
0.75,1,1.0,2.0,3577.0,7.0,5.0,0.004902269092808144,0.01084667861290624,17.53541654497473,0.5054514956667598,0.02460162147050601,4.044450656975119,0.4350013978194017,0.49454850433324016,0.75N / 1R +half@2R
0.75,1,1.5,0.0,3132.0,7.0,4.0,0.001715374556490497,-0.005420664111018551,5.372553110928237,0.4115581098339719,0.015006385696040868,5.5098978288633464,0.4115581098339719,0.5884418901660281,0.75N / 1.5R
0.75,1,1.5,1.0,3132.0,7.0,4.0,0.00016384232980090784,-0.01825236326056864,0.5131541769364434,0.4115581098339719,0.015006385696040868,5.5098978288633464,0.0,0.49776500638569604,0.75N / 1.5R +half@1R
0.75,1,1.5,2.0,3132.0,7.0,5.0,0.007012186789141201,0.029916937151310087,21.962169023590242,0.4115581098339719,0.015006385696040868,5.5098978288633464,0.26309067688378035,0.5884418901660281,0.75N / 1.5R +half@2R
0.75,1,2.0,0.0,2800.0,7.0,6.0,0.009840663357380744,0.03921080903969196,27.553857400666082,0.3582142857142857,0.010357142857142856,6.926071428571428,0.3582142857142857,0.6417857142857143,0.75N / 2R
0.75,1,2.0,1.0,2800.0,7.0,5.0,0.00417944713350846,0.0072519447956672,11.702451973823688,0.35892857142857143,0.010357142857142856,6.926071428571428,0.0,0.495,0.75N / 2R +half@1R
0.75,1,2.0,2.0,2800.0,7.0,6.0,0.009840663357380744,0.03921080903969196,27.553857400666082,0.3582142857142857,0.010357142857142856,6.926071428571428,0.0,0.6417857142857143,0.75N / 2R +half@2R
0.75,1,3.0,0.0,2451.0,7.0,7.0,0.010658327151266921,0.04009322013616998,26.123559847755224,0.2696858425132599,0.005711954304365565,9.235822113423092,0.2696858425132599,0.7303141574867401,0.75N / 3R
0.75,1,3.0,1.0,2451.0,7.0,5.0,0.005314139327068596,0.0080745211413361,13.024955490645128,0.27090983272133823,0.005711954304365565,9.235822113423092,0.0,0.4949000407996736,0.75N / 3R +half@1R
0.75,1,3.0,2.0,2451.0,7.0,7.0,0.010340851329823026,0.03147432803254648,25.345426609396238,0.3525091799265606,0.005711954304365565,9.235822113423092,0.0,0.6470828233374133,0.75N / 3R +half@2R
0.75,1,4.0,0.0,2280.0,7.0,5.0,0.0031802793642200368,0.03997599996821097,7.251036950421684,0.2162280701754386,0.003947368421052632,11.174122807017543,0.2162280701754386,0.7837719298245615,0.75N / 4R
0.75,1,4.0,1.0,2280.0,7.0,3.0,0.0008169171827515857,0.0012938901541028076,1.8625711766736153,0.21973684210526315,0.003947368421052632,11.174122807017543,0.0,0.5013157894736842,0.75N / 4R +half@1R
0.75,1,4.0,2.0,2280.0,7.0,6.0,0.006497233504163976,0.027849799210290047,14.813692389493866,0.34912280701754383,0.003947368421052632,11.174122807017543,0.0,0.6491228070175439,0.75N / 4R +half@2R
0.75,1,6.0,0.0,2077.0,7.0,5.0,0.013085284161703969,0.09819482714855213,27.178135203859142,0.16321617717862302,0.0,15.079922965816081,0.16321617717862302,0.836783822821377,0.75N / 6R
0.75,1,6.0,1.0,2077.0,7.0,5.0,0.005977651560945929,0.03066568495709032,12.415582292084695,0.16803081367356765,0.0,15.079922965816081,0.0,0.502166586422725,0.75N / 6R +half@1R
0.75,1,6.0,2.0,2077.0,7.0,7.0,0.011872581665739516,0.05981036383020954,24.659352119740973,0.3495426095329803,0.0,15.079922965816081,0.0,0.6485315358690419,0.75N / 6R +half@2R
0.75,1,8.0,0.0,1967.0,7.0,6.0,0.029688683747350314,0.17195260980758553,58.39764093103807,0.13523131672597866,0.0,18.835282155566855,0.13472292831723437,0.8647686832740213,0.75N / 8R
0.75,1,8.0,1.0,1967.0,7.0,5.0,0.014002442895623614,0.06551617500074303,27.542805175691647,0.14031520081342144,0.0,18.835282155566855,0.0,0.5048296898830706,0.75N / 8R +half@1R
0.75,1,8.0,2.0,1967.0,7.0,6.0,0.019614111824140374,0.09304715070526694,38.58095795808411,0.3472292831723437,0.0,18.835282155566855,0.0,0.6507371631926792,0.75N / 8R +half@2R
0.75,2,1.0,0.0,3255.0,7.0,4.0,0.0012734776456046967,-0.011089117966655095,4.145169736443288,0.43870967741935485,0.017818740399385562,5.072811059907834,0.43870967741935485,0.5612903225806452,0.75N / 1ATR
0.75,2,1.0,1.0,3255.0,7.0,4.0,0.00013682683608832476,-0.01949708845834766,0.44537135146749707,0.43870967741935485,0.017818740399385562,5.072811059907834,0.0,0.49554531490015363,0.75N / 1ATR +half@1R
0.75,2,1.0,2.0,3255.0,7.0,6.0,0.006661825791406994,0.0263062199208662,21.684242951029766,0.43870967741935485,0.017818740399385562,5.072811059907834,0.31981566820276497,0.5612903225806452,0.75N / 1ATR +half@2R
0.75,2,2.0,0.0,2547.0,7.0,7.0,0.010598244133183509,0.043105472530563314,26.9937278072184,0.2944640753828033,0.007067137809187279,8.628975265017667,0.2944640753828033,0.7055359246171967,0.75N / 2ATR
0.75,2,2.0,1.0,2547.0,7.0,6.0,0.005621423191669411,0.013539617333551175,14.317764869181989,0.29524931291715745,0.007067137809187279,8.628975265017667,0.0,0.49155869650569295,0.75N / 2ATR +half@1R
0.75,2,2.0,2.0,2547.0,7.0,6.0,0.010834636259559445,0.040926908568915184,27.595818553097907,0.35767569689831175,0.007067137809187279,8.628975265017667,0.0,0.6419316843345112,0.75N / 2ATR +half@2R
