window,flat,n,pct,tot,pos,blocks,flat_share,cap_share
all hours,False,850,0.19882938046862836,169.0049733983341,6,7,0.0,0.14470588235294118
09:30-16:00,False,710,0.1693455704646373,120.23535502989249,6,7,0.0,0.14084507042253522
09:30-16:00,True,1132,0.035001409093301024,39.62159509361676,6,7,0.6042402826855123,0.0
09:30-12:00,False,437,0.1964016911962356,85.82753905275496,7,7,0.0,0.15102974828375287
09:30-12:00,True,588,-0.005994941307203129,-3.52502548863544,3,7,0.6394557823129252,0.0
08:00-12:00,False,479,0.18409065408154152,88.17942330505839,6,7,0.0,0.1440501043841336
08:00-12:00,True,649,-0.01648214450493164,-10.696911783700633,2,7,0.5947611710323575,0.0
07:00-11:00,False,364,0.1590484889068258,57.893649962084595,6,7,0.0,0.12912087912087913
07:00-11:00,True,448,-0.007247919419899802,-3.2470679001151113,4,7,0.5513392857142857,0.0
09:30-11:00,False,316,0.18031185464839986,56.97854606889435,6,7,0.0,0.13924050632911392
09:30-11:00,True,379,0.011856645917565523,4.493668802757333,5,7,0.6306068601583114,0.0
13:00-16:00,False,581,0.15795068127233544,91.76934581922688,6,7,0.0,0.14457831325301204
13:00-16:00,True,856,0.03557387295133169,30.45123524633993,6,7,0.7242990654205608,0.0
03:00-12:00,False,499,0.18935857737254713,94.48993010890102,6,7,0.0,0.1462925851703407
03:00-12:00,True,700,-0.013182254791182263,-9.227578353827584,2,7,0.57,0.0
