      #   tf condition                           CHOP    n    rPF   rShp  |    n  LOCK PF  LOCK Shp   LOCK R     DD     ePF   eShp
     45  30m LR 13/34 VALUE state r2>=0.2        <=40  215  1.281   0.77  |  117    1.447      1.27  +0.2098   11.3  +0.129  +0.29
     46  30m LR 11/26 VALUE cross                <=40  122  1.278   0.57  |   61    0.985     -0.04  -0.0090   14.5  -0.333  -1.02
     47  30m LR 9/21 SLOPE cross r2>=0.6         <=40  101  1.278   0.52  |   54    1.150      0.30  +0.0831   10.8  -0.168  -0.68
     48  30m LR 13/34 SLOPE state r2>=0.6        <=40  185  1.272   0.69  |  107    1.250      0.75  +0.1150    9.4  -0.068  -0.23
     49  30m LR 21/55 SLOPE state                <=40  217  1.271   0.75  |  119    1.429      1.23  +0.1973   11.2  +0.111  +0.25
     50  15m LR 9/21 SLOPE cross                 <=40  220  1.271   0.78  |  119    1.009      0.03  +0.0051   22.2  -0.018  -0.09
     51  30m LR 9/21 FORECAST state r2>=0.4      <=40  212  1.271   0.73  |  113    1.472      1.28  +0.2170   10.4  +0.154  +0.30
     52  30m LR 11/26 VALUE cross r2>=0.2        <=40  117  1.270   0.53  |   59    1.037      0.09  +0.0226   13.1  -0.281  -0.89
     53  30m LR 21/55 SLOPE state r2>=0.4        <=40  189  1.269   0.66  |  106    1.179      0.55  +0.0855   10.6  -0.139  -0.43
     54  30m LR 5/13 VALUE state r2>=0.6         <=40  205  1.268   0.73  |  109    1.215      0.64  +0.1103   13.2  -0.103  -0.34
     55  30m LR 5/13 VALUE cross r2>=0.4         <=40  161  1.263   0.62  |   88    1.043      0.13  +0.0252   13.2  -0.275  -0.85
     56  30m LR 13/34 FORECAST state r2>=0.2     <=40  217  1.262   0.72  |  117    1.446      1.27  +0.2096   11.3  +0.128  +0.29
     57  30m LR 9/21 VALUE cross r2>=0.4          off  272  1.260   0.73  |  134    0.981     -0.07  -0.0112   23.6  -0.174  -0.75
     58  30m LR 13/34 VALUE state                <=40  222  1.257   0.73  |  121    1.356      1.07  +0.1722   11.4  +0.038  +0.09
     59  30m LR 5/13 VALUE cross                 <=40  165  1.256   0.61  |   92    1.054      0.16  +0.0305   12.4  -0.264  -0.82
     60  30m LR 21/55 VALUE state r2>=0.4         off  272  1.256   0.73  |  159    1.161      0.57  +0.0841   18.2  +0.006  -0.11
     61  30m LR 5/13 SLOPE state r2>=0.6         <=40  208  1.255   0.70  |  110    1.192      0.58  +0.0992   14.4  -0.127  -0.40
     62  15m LR 13/34 VALUE cross r2>=0.4        <=40  160  1.254   0.59  |  104    0.627     -1.47  -0.2825   37.7  -0.399  -1.59
     63  30m LR 13/34 FORECAST state r2>=0.6      off  275  1.252   0.79  |  160    0.979     -0.09  -0.0117   16.8  -0.177  -0.77
     64  30m LR 7/17 SLOPE cross r2>=0.2         <=40  146  1.252   0.61  |   79    1.008      0.02  +0.0048   16.1  -0.310  -0.96
     65  30m LR 13/34 FORECAST state             <=40  223  1.250   0.71  |  121    1.355      1.07  +0.1720   11.4  +0.037  +0.09
     66  30m LR 9/21 SLOPE state r2>=0.2         <=40  211  1.250   0.69  |  115    1.385      1.11  +0.1871   11.6  +0.067  +0.13
     67  30m LR 11/26 SLOPE cross r2>=0.6        <=40   80  1.248   0.44  |   41    1.007      0.01  +0.0041   10.1  -0.311  -0.97
     68  30m LR 11/26 SLOPE cross r2>=0.4        <=40  100  1.248   0.50  |   50    1.380      0.69  +0.2095    8.8  +0.061  -0.29
     69  30m LR 5/13 FORECAST state r2>=0.6      <=40  214  1.247   0.69  |  114    1.166      0.52  +0.0859   14.6  -0.152  -0.46
     70  30m LR 5/13 VALUE cross r2>=0.2         <=40  165  1.246   0.59  |   90    1.087      0.26  +0.0485   11.9  -0.231  -0.72
     71  30m LR 7/17 FORECAST state r2>=0.4      <=40  213  1.243   0.68  |  114    1.325      0.97  +0.1602   12.4  +0.006  -0.01
     72  30m LR 9/21 VALUE state r2>=0.2         <=40  215  1.243   0.68  |  116    1.309      0.93  +0.1567   13.3  -0.009  -0.05
     73  30m LR 7/17 FORECAST state r2>=0.2      <=40  217  1.241   0.69  |  116    1.331      1.00  +0.1664   12.4  +0.013  +0.02
     74  30m LR 21/55 VALUE state r2>=0.6        <=40  150  1.241   0.52  |   89    0.884     -0.38  -0.0574   11.3  -0.434  -1.37
     75  30m LR 13/34 VALUE state r2>=0.6         off  275  1.241   0.78  |  159    0.992     -0.03  -0.0044   16.7  -0.164  -0.71
     76  30m LR 13/34 SLOPE state r2>=0.2        <=40  216  1.239   0.68  |  117    1.446      1.27  +0.2096   11.3  +0.128  +0.29
     77  30m LR 9/21 SLOPE cross                 <=40  134  1.237   0.54  |   71    1.074      0.19  +0.0441   15.1  -0.244  -0.79
     78  30m LR 7/17 SLOPE state r2>=0.4         <=40  210  1.236   0.65  |  112    1.357      1.04  +0.1737   11.8  +0.039  +0.06
     79  30m LR 5/13 SLOPE state r2>=0.4         <=40  216  1.235   0.67  |  115    1.260      0.81  +0.1355   15.4  -0.058  -0.17
     80  30m LR 7/17 SLOPE state r2>=0.2         <=40  214  1.234   0.66  |  113    1.389      1.12  +0.1910   11.9  +0.071  +0.14
     81  30m LR 21/55 FORECAST state r2>=0.4      off  276  1.233   0.68  |  158    1.177      0.62  +0.0916   17.1  +0.021  -0.05
     82  30m LR 9/21 VALUE cross r2>=0.6          off  236  1.233   0.60  |  114    0.945     -0.18  -0.0345   23.7  -0.210  -0.86
     83  30m LR 11/26 VALUE cross r2>=0.4        <=40  104  1.232   0.43  |   53    1.126      0.27  +0.0763   13.4  -0.192  -0.71
     84  30m LR 13/34 SLOPE state                <=40  222  1.232   0.68  |  120    1.368      1.10  +0.1774   11.4  +0.050  +0.12
     85  15m LR 9/21 VALUE cross r2>=0.2         <=40  212  1.232   0.68  |  112    0.877     -0.43  -0.0741   27.2  -0.150  -0.55
     86  30m LR 9/21 VALUE state r2>=0.4         <=40  210  1.229   0.63  |  110    1.409      1.13  +0.1962    9.7  +0.091  +0.15
     87  30m LR 13/34 VALUE state r2>=0.4        <=40  204  1.229   0.62  |  112    1.536      1.43  +0.2432   10.5  +0.217  +0.45
     88  30m LR 9/21 SLOPE state r2>=0.4         <=40  206  1.229   0.62  |  109    1.499      1.31  +0.2286    9.3  +0.181  +0.33
     89  15m LR 9/21 VALUE cross r2>=0.4         <=40  202  1.227   0.64  |  106    0.853     -0.51  -0.0880   27.8  -0.174  -0.63
     90  30m LR 7/17 FORECAST state r2>=0.6      <=40  203  1.225   0.60  |  103    1.392      1.06  +0.1885    9.1  +0.074  +0.08
     91  30m LR 5/13 VALUE state r2>=0.4         <=40  216  1.224   0.64  |  113    1.269      0.82  +0.1396   14.3  -0.049  -0.16
     92  15m LR 21/55 VALUE state r2>=0.6        <=40  275  1.223   0.69  |  154    1.133      0.47  +0.0740   22.1  +0.106  +0.35
     93  15m LR 9/21 VALUE cross r2>=0.6         <=40  182  1.223   0.59  |   96    0.734     -0.93  -0.1709   34.4  -0.293  -1.05
     94  30m LR 9/21 FORECAST state r2>=0.6      <=40  198  1.222   0.59  |  107    1.397      1.06  +0.1872    9.5  +0.079  +0.08
     95  30m LR 7/17 SLOPE cross                 <=40  150  1.221   0.55  |   80    1.027      0.08  +0.0162   15.2  -0.291  -0.90
     96  30m LR 21/55 VALUE cross                 off  150  1.221   0.58  |   90    1.160      0.44  +0.0801   15.0  +0.005  -0.23
     97  30m LR 13/34 SLOPE state r2>=0.6         off  278  1.220   0.71  |  160    0.983     -0.07  -0.0094   16.4  -0.173  -0.75
     98  30m LR 9/21 FORECAST state              <=40  224  1.220   0.63  |  120    1.371      1.10  +0.1788   11.2  +0.053  +0.12
     99  15m LR 9/21 SLOPE cross r2>=0.2         <=40  215  1.219   0.64  |  116    1.048      0.15  +0.0260   21.0  +0.021  +0.03
    100  30m LR 5/13 FORECAST state r2>=0.4      <=40  223  1.217   0.63  |  117    1.316      0.97  +0.1615   12.5  -0.002  -0.01

   Of the top 100 on research: 35 of 99 beat the baseline's PF and 28 beat its SHARPE. Chance is 50%.
