
      #   tf momentum            ADX   CHOP     n   RES PF    RES R  RES Shp  |     n  LOCK PF   LOCK R  LOCK Shp
     61  30m stoch14>=50         off   <=40   276    1.341  +0.1669     1.39  |   147    1.163  +0.0817      0.74
     62  30m agree20_60>=0       off   <=40   276    1.341  +0.1669     1.39  |   147    1.229  +0.1116      1.01
     63  30m roc20>=0            off   <=40   276    1.341  +0.1669     1.39  |   147    1.229  +0.1116      1.01
     64  30m rsi14>=60           off   <=40   273    1.337  +0.1645     1.37  |   145    1.134  +0.0669      0.61
     65  30m tsmom20>=0.75      >=20   <=50    35    1.335  +0.1635     0.51  |     0      nan     +nan       nan
     66  30m agree20_60>=0.75    off   <=40   159    1.333  +0.1555     1.05  |    97    1.022  +0.0107      0.08
     67  30m roc20>=1           >=20    off    76    1.327  +0.1624     0.71  |    45    1.145  +0.0787      0.39
     68  15m ao>=0.75           >=20    off    71    1.325  +0.1842     0.74  |    35    1.088  +0.0484      0.21
     69  30m cmo14>=20           off   <=40   273    1.317  +0.1563     1.30  |   146    1.244  +0.1181      1.07
     70  30m ao>=0              >=20   <=45    34    1.315  +0.1463     0.45  |     0      nan     +nan       nan
     71  15m slope50>=0         >=20   <=45    28    1.311  +0.1769     0.43  |     0      nan     +nan       nan
     72  15m ao>=0.25           >=20   <=50    76    1.310  +0.1808     0.72  |    35    1.118  +0.0637      0.29
     73  15m roc20>=2           >=20    off    59    1.309  +0.1718     0.61  |    28    1.053  +0.0276      0.12
     74  30m tsmom20>=0.3       >=20   <=50    64    1.304  +0.1493     0.62  |    39    1.158  +0.0864      0.39
     75  30m roc20>=2            off   <=40   264    1.301  +0.1477     1.25  |   140    1.094  +0.0476      0.43
     76  30m macdh>=0.2          off   <=40   232    1.300  +0.1461     1.13  |   125    1.351  +0.1665      1.33
     77  30m slope50>=0         >=20    off    49    1.298  +0.1282     0.49  |    32    0.971  -0.0156     -0.07
     78  30m stoch14>=80        >=20    off    91    1.295  +0.1396     0.69  |    54    0.987  -0.0075     -0.04
     79  30m macdh>=0.2         >=20   <=45    28    1.292  +0.1348     0.41  |     0      nan     +nan       nan
     80  30m roc20>=1           >=20   <=50    61    1.286  +0.1439     0.58  |    34    1.254  +0.1311      0.56
     81  30m stoch14>=70         off   <=40   275    1.286  +0.1428     1.20  |   145    1.177  +0.0887      0.80
     82  15m aroon21>=40        >=20   <=45    33    1.286  +0.1696     0.46  |     0      nan     +nan       nan
     83  30m tsi>=0             >=20   <=50    56    1.283  +0.1308     0.52  |    36    1.230  +0.1178      0.52
     84  30m rsi14>=65           off   <=45   319    1.279  +0.1433     1.29  |   166    1.153  +0.0776      0.75
     85  30m stoch14>=80         off   <=40   267    1.277  +0.1390     1.16  |   137    1.198  +0.0971      0.86
     86  30m stoch14>=80        >=20   <=50    71    1.275  +0.1310     0.59  |    40    0.988  -0.0069     -0.03
     87  30m ao>=0.75           >=20    off    39    1.262  +0.1153     0.42  |    30    1.249  +0.1378      0.52
     88  30m cci21>=0           >=20   <=45    50    1.258  +0.1228     0.46  |    28    1.255  +0.1300      0.52
     89  30m agree20_60>=0.75    off   <=45   206    1.257  +0.1254     0.94  |   117    1.064  +0.0319      0.27
     90  30m slope50>=0.2        off   <=50    51    1.254  +0.1193     0.45  |    37    1.455  +0.2338      0.94
     91  30m agree20_60>=0.75    off    off   241    1.252  +0.1198     1.00  |   141    0.977  -0.0122     -0.11
     92  30m ao>=0.75            off   <=45   329    1.246  +0.1247     1.14  |   178    1.126  +0.0625      0.63
     93  30m tsi>=0             >=20   <=45    36    1.244  +0.1132     0.37  |     0      nan     +nan       nan
     94  15m agree20_60>=0      >=25   <=50    25    1.242  +0.1356     0.34  |     0      nan     +nan       nan
     95  15m tsmom20>=0         >=25   <=50    25    1.242  +0.1356     0.34  |     0      nan     +nan       nan
     96  15m roc20>=0           >=25   <=50    25    1.242  +0.1356     0.34  |     0      nan     +nan       nan
     97  30m slope50>=0.2        off   <=45    48    1.240  +0.1130     0.41  |    34    1.396  +0.2145      0.81
     98  30m ao>=0.25            off   <=45   352    1.238  +0.1243     1.14  |   186    1.166  +0.0842      0.83
     99  15m tsi>=5             >=20    off    94    1.237  +0.1341     0.63  |    43    1.441  +0.2203      1.02
    100  30m tsi>=5              off   <=45   348    1.236  +0.1215     1.12  |   182    1.154  +0.0782      0.79

