keep,n,r,up,boot,rand,pf
0.8,527,0.09410867047444617,0.018744304197174946,0.29,0.104,1.3311917182649133
0.6,395,0.07913668749345858,0.003772321216187355,0.471,0.423,1.2785891986409446
0.5,330,0.1372082529749525,0.06184388669768129,0.072,0.01,1.5474954761952588
0.4,264,0.13067618883368884,0.05531182255641762,0.125,0.061,1.520880587653015
0.3,198,0.16105616119007232,0.0856917949128011,0.05,0.027,1.7089478949042505
