keep,n,r,up,boot,rand,pf,p90
0.8,527,0.07831088759834838,0.0029465213210771585,0.478,0.405,1.2660234203350655,0.8351985928904619
0.6,395,0.055813882811601226,-0.019550483465669996,0.687,0.802,1.1824707290608187,0.8353716134877676
0.5,330,0.06352528770449771,-0.011839078572773512,0.626,0.635,1.208455131735358,0.83542234959906
0.4,264,0.07884884531389923,0.003484479036628005,0.453,0.489,1.2691373594868482,0.8356175173461479
0.3,198,0.08051707551808102,0.005152709240809794,0.481,0.458,1.2744171654359384,0.8355770437854783
