feat,mean,sd,coef
vol.atr_pct,0.0016329203532620398,0.0006580390567460616,-0.18555479889773474
vol.atr_rank250,0.7711380880121396,0.15682474504541616,0.08705860359155418
vol.atr_ratio50,1.610226723690875,0.29916116869714476,0.039599762505895364
vol.rv96,0.09409757188240662,0.033821543657284465,0.14523863243312163
vol.rv_ratio,0.986721852300651,0.2207285180559429,-0.10769254597995034
vol.parkinson,0.09189314732186883,0.039289481218385686,0.11891262943102772
vol.vol_of_vol,0.08976846637722005,0.0685858695718891,-0.02683074281359076
