feat,fam,pass_sig,pass_all,lift
trend.adx14,trend,0.615535889872173,0.5088915611515881,1.2095619909264281
trend.di_diff,trend,0.7620452310717798,0.4960741317111127,1.5361519223815414
trend.d_ema50,trend,0.7177974434611603,0.5036853646459645,1.4250909274794852
trend.d_ema200,trend,0.6106194690265486,0.5061469901676452,1.206407389332297
trend.slope200,trend,0.47394296951819076,0.508501451121965,0.932038578203614
trend.er20,trend,0.5024582104228122,0.5029646925635038,0.9989930065704807
trend.er60,trend,0.5162241887905604,0.49486725663716813,1.0431568907963757
trend.r2_50,trend,0.5221238938053098,0.5074183136077921,1.0289811774686641
trend.align,trend,0.7256637168141593,0.5950908962297518,1.2194165990635424
trend.up_share20,trend,0.7807276302851525,0.6330059717544505,1.233365347440995
struct.excess,struct,0.8495575221238938,0.5081016061699568,1.6720229021274184
struct.ch_width,struct,0.632251720747296,0.503523618147341,1.2556545471960097
struct.pos_in_ch,struct,0.8200589970501475,0.5078821498316022,1.6146639477722409
struct.close_pos,struct,0.6696165191740413,0.49978071726674683,1.3398206374109636
struct.body,struct,0.7748279252704031,0.5042512555704888,1.5365909687102222
struct.upper_wick,struct,0.5388397246804326,0.49673905354742875,1.084754099425734
struct.range_atr,struct,0.8377581120943953,0.49809719176628703,1.681916955049771
struct.gap_open,struct,0.6253687315634219,0.6090825493386149,1.026738875120444
struct.d_hi55,struct,0.8475909537856441,0.50802775024777,1.66839499096706
mom.roc5,mom,0.9095378564405113,0.5030277306168648,1.8081266719135776
mom.roc20,mom,0.7158308751229105,0.5055119224510012,1.416051419029183
mom.roc60,mom,0.6588003933136677,0.501224778761062,1.3143811344325482
mom.roc240,mom,0.5899705014749262,0.5134502093832067,1.149031572474459
mom.rsi14,mom,0.8279252704031466,0.5032609464525712,1.645121236287252
mom.rsi48,mom,0.6863323500491643,0.5031902100870057,1.363962049123515
mom.macd_hist,mom,0.8997050147492626,0.49760203720732826,1.8080814536022412
mom.tsmom96,mom,0.5693215339233039,0.49714544759098445,1.1451810263617273
vol.atr_pct,vol,0.8613569321533924,0.5373134328358209,1.603080957063258
vol.atr_rank250,vol,0.9183874139626352,0.49896359816003183,1.8405900096705696
vol.atr_ratio50,vol,0.9911504424778761,0.498145421598052,1.9896809234906998
vol.rv96,vol,0.5624385447394297,0.5266326675166454,1.0679902319611658
vol.rv_ratio,vol,0.52015732546706,0.49171011024698746,1.0578536308838218
vol.parkinson,vol,0.5309734513274337,0.5213058127353549,1.018545042767414
vol.vol_of_vol,vol,0.38446411012782694,0.5293566919639691,0.7262855385872702
volu.vs_tod,volu,0.5909537856440511,0.4832417271078876,1.222894780177201
volu.vs_ma50,volu,0.9980334316617503,0.4905005945976556,2.034724203505625
volu.z50,volu,0.9970501474926253,0.4881646752364234,2.0424463261495585
volu.up_share20,volu,0.6991150442477876,0.49995754676930915,1.3983488173454333
volu.trend20,volu,0.983284169124877,0.5038959567052956,1.9513634829579558
regime.chop14,regime,0.4729596853490659,0.5030705229793978,0.9401458915700274
regime.chop48,regime,0.4532940019665683,0.49922138225884083,0.9080019768294707
regime.hmm_bear,regime,0.7620452310717798,0.53548843460423,1.4230843876861579
regime.hmm_side,regime,0.3805309734513274,0.4717691165027941,0.8066042480105281
regime.hmm_bull,regime,0.4749262536873156,0.42672419891066,1.1129583344457747
regime.hmm_edge,regime,0.415929203539823,0.4213765296739054,0.9870725449794322
regime.hmm_conf,regime,0.44837758112094395,0.5647025535827969,0.7940066469970419
regime.tod,regime,0.0,0.5089340029709274,0.0
ffd.price,ffd,0.8357915437561455,0.644345954518422,1.2971161499427866
ffd.price_z,ffd,0.8328416912487709,0.5007201631419078,1.6632877054977662
ffd.cvd,ffd,0.8023598820058997,0.6282178358018747,1.2772000988824923
ffd.cvd_z,ffd,0.8023598820058997,0.5027451763330149,1.5959573950728911
pin.pin,pin,0.3795180722891566,0.3704872525385346,1.0243755208546148
pin.alpha,pin,0.4799196787148594,0.48481262327416175,0.9899075553638474
pin.delta,pin,0.5030120481927711,0.5081452260939441,0.9898982069739568
pin.mu,pin,0.34236947791164657,0.3210168748630287,1.066515515914011
pin.ratio,pin,0.36646586345381527,0.35092409964204835,1.0442881062532323
pin.pin_sd,pin,0.5110441767068273,0.501161516546132,1.0197195112442072
pin.ci_w,pin,0.4939759036144578,0.48824603696398566,1.0117356132291448
pin.pg,pin,0.8423694779116466,0.6480970121995763,1.299758310955221
pin.pb,pin,0.41767068273092367,0.5138286215209292,0.8128599016041989
pin.pnone,pin,0.41967871485943775,0.5212944700124187,0.8050703374034254
pin.entropy,pin,0.6024096385542169,0.543794287384031,1.107789567728194
pin.dispB,pin,0.4979919678714859,0.48599605522682443,1.0246831481771241
pin.dispS,pin,0.5060240963855421,0.5001534078457155,1.0117377757458719
pin.imb,pin,0.608433734939759,0.5035868215355395,1.2082002723671756
