keep,thr,n,r,pf,p,nl,keptl,rl,pfl
0.7,-0.024699598171401306,461,0.10756888011877667,1.395070660319064,0.036,233,0.6913946587537092,0.006350322188596365,1.0182586598578154
0.6,-0.00024924191258401376,395,0.12237557415815616,1.45803199169522,0.017,208,0.6172106824925816,0.020995300511641942,1.0612674745049049
0.5,0.02019314915854674,330,0.10308532918454245,1.376664991238369,0.176,180,0.5341246290801187,0.04702676401979041,1.1422079559434792
0.4,0.04032743103295729,264,0.11846935055462887,1.4515699952114702,0.113,164,0.486646884272997,0.026803173214292667,1.078073747221837
0.3,0.0654913768060481,198,0.1339066445716283,1.523009560785454,0.086,140,0.41543026706231456,-0.008245015466264285,0.9768516451460308
