name,n,pct,PF,p,per_yr
P1 cvd15 gated,225,0.06966526706680078,1.5457005021937125,0.02,116.94726692872506
P2 cvd15 ungated,905,0.01291374224804086,1.0909976414357494,0.53,470.3878958688719
P3 bayesopt rth,680,0.061604367418489424,1.3526967193299768,0.03,353.44062894014684
P4 don30 ungated,432,0.035673975125315845,1.1727162858781703,0.525,224.54208324680332
